tone_index,fft_bin,freq_hz,phase_rad
0,19388,3550048828.125000,2.227728106752
1,19486,3567993164.062500,1.989887687170
2,19585,3586120605.468750,5.055497236273
3,19683,3604064941.406250,5.464390258443
4,19781,3622009277.343750,2.001040581413
5,19879,3639953613.281250,2.624097261250
6,19978,3658081054.687500,1.126115498054
7,20076,3676025390.625000,1.443074735114
8,20174,3693969726.562500,1.305627490688
9,20273,3712097167.968750,0.406431251825
10,20371,3730041503.906250,4.235717105586
11,20469,3747985839.843750,4.119873329623
12,20567,3765930175.781250,1.672304964985
13,20666,3784057617.187500,5.821610247039
14,20764,3802001953.125000,1.746778302614
15,20862,3819946289.062500,0.451598829350
16,20960,3837890625.000000,0.161261247790
17,21059,3856018066.406250,0.106462752649
18,21157,3873962402.343750,4.209805780525
19,21255,3891906738.281250,5.363851954992
20,21354,3910034179.687500,4.194984089087
21,21452,3927978515.625000,1.081371536899
22,21550,3945922851.562500,2.199052888805
23,21648,3963867187.500000,3.641020159140
24,21747,3981994628.906250,3.248487271874
25,21845,3999938964.843750,3.087647152697
26,21943,4017883300.781250,1.466849442517
27,22042,4036010742.187500,3.618006930833
28,22140,4053955078.125000,3.449506573074
29,22238,4071899414.062500,1.822897149379
30,22336,4089843750.000000,0.472871681397
31,22435,4107971191.406250,4.115027445355
32,22533,4125915527.343750,2.172323970979
33,22631,4143859863.281250,0.656949282940
34,22730,4161987304.687500,4.885736914757
35,22828,4179931640.625000,0.835641115565
36,22926,4197875976.562500,4.358523301501
37,23024,4215820312.500000,3.769132883172
38,23123,4233947753.906250,2.118554763176
39,23221,4251892089.843750,2.913483119363
40,23319,4269836425.781250,0.020937605144
41,23417,4287780761.718750,2.142894441310
42,23516,4305908203.125000,1.095265430604
43,23614,4323852539.062500,2.888639344535
44,23712,4341796875.000000,1.174146212166
45,23811,4359924316.406250,3.249273513137
46,23909,4377868652.343750,0.299180928308
47,24007,4395812988.281250,4.013841179922
48,24105,4413757324.218750,5.542362422942
49,24204,4431884765.625000,4.683673781356
50,24302,4449829101.562500,1.832440958917
