tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.632210264801e-02,4.759412620409e-02,4.628074979114e-02,4.627080330573e-02,0.235301865,-0.007757566,-0.009624506,0.558757009532,-2.056402074375,2.223212576227,2.223212576227,-2.615159083907,-2.003570656577,-2.003570656577,1.664455566695,1.664455566695
1,3567993164.062500,4.632210264801e-02,4.712129283613e-02,4.629236197275e-02,4.627849499193e-02,0.148578656,-0.005578486,-0.008180753,2.726198465358,-0.055323428663,3.928328803677,3.928328803677,-2.781521894022,-2.299533074840,-2.299533074840,1.202130338318,1.202130338318
2,3586120605.468750,4.632210264801e-02,4.679463153877e-02,4.641936508480e-02,4.640229110946e-02,0.088155347,0.018218627,0.015023194,1.938448275284,-1.001439803340,2.683229986061,2.683229986061,-2.939888078624,-2.598515517779,-2.598515517779,0.744781710777,0.744781710777
3,3604064941.406250,4.632210264801e-02,4.654769658221e-02,4.651901742623e-02,4.649958646562e-02,0.042198602,0.036845368,0.033216520,4.752623172862,1.657758915941,5.046466287079,5.046466287079,-3.094864256921,-2.894477936041,-2.894477936041,0.293843114217,0.293843114217
4,3622009277.343750,4.632210264802e-02,4.619665978006e-02,4.637629448805e-02,4.635540431579e-02,-0.023553786,0.010155610,0.006242175,3.694555371231,0.435644118016,3.528389070892,3.528389070892,-3.258911253214,-3.190440354304,-3.190440354304,-0.166166300339,-0.166166300339
5,3639953613.281250,4.632210264801e-02,4.620321114442e-02,4.645045334998e-02,4.642874722090e-02,-0.022322087,0.024033848,0.019974014,6.722893926478,3.310020044216,6.106802578829,6.106802578829,-3.412873882262,-3.486402772567,-3.486402772567,-0.616091347649,-0.616091347649
6,3658081054.687500,4.632210264802e-02,4.606144620583e-02,4.625436191872e-02,4.623262304711e-02,-0.049013902,-0.012711408,-0.016794608,7.654737731293,4.066604609627,6.564404701301,6.564404701301,-3.588133121667,-3.785385215506,-3.785385215506,-1.090333029993,-1.090333029993
7,3676025390.625000,4.632210264801e-02,4.601772770559e-02,4.607639820517e-02,4.605516808698e-02,-0.057261893,-0.046194834,-0.050197859,10.376978843755,6.625920419771,8.827758093183,8.827758093183,-3.751058423984,-4.081347633768,-4.081347633768,-1.549220750573,-1.549220750572
8,3693969726.562500,4.632210264801e-02,4.622459208214e-02,4.611598898403e-02,4.609558437408e-02,-0.018303546,-0.038734757,-0.042578791,12.644813474731,8.716966315871,10.622841571020,10.622841571020,-3.927847158860,-4.377310052031,-4.377310052031,-2.021971903711,-2.021971903711
9,3712097167.968750,4.632210264800e-02,4.641143524407e-02,4.614729173764e-02,4.612800300776e-02,0.016734686,-0.032840922,-0.036472225,14.175442803885,10.059792813340,11.666685625550,11.666685625550,-4.115649990545,-4.676292494970,-4.676292494970,-2.508757178335,-2.508757178335
