freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
3500000000.000000,1.000000000000e+00,1.000000000000e+00,5.785964799320e-15,-0.195160041497,-0.195634641863,-4.746003662828e-04,5.264056122,5.109035530,5.109030310,10.373091652,10.373086432
3501000000.000000,1.000000000000e+00,1.000000000000e+00,3.857309866213e-15,-0.227261058476,-0.227735626043,-4.745675675630e-04,4.436279279,5.123901662,5.123890471,9.560180941,9.560169750
3502000000.000000,1.000000000000e+00,1.000000000000e+00,-5.303801066043e-14,-0.259548888775,-0.260023348512,-4.744597374965e-04,4.355409109,5.153393892,5.153370716,9.508803001,9.508779825
3503000000.000000,1.000000000000e+00,1.000000000000e+00,3.664444372902e-14,-0.292020516039,-0.292494792373,-4.742763339632e-04,4.334299131,5.182395983,5.182360744,9.516695114,9.516659875
3504000000.000000,1.000000000000e+00,1.000000000000e+00,-2.121520426417e-14,-0.324672797361,-0.325146814285,-4.740169233462e-04,3.527794140,5.210888018,5.210840658,8.738682158,8.738634798
3505000000.000000,1.000000000000e+00,1.000000000000e+00,-2.121520426417e-14,-0.357502466105,-0.357976147289,-4.736811845631e-04,3.857981670,5.238850560,5.238791035,9.096832230,9.096772705
3506000000.000000,1.000000000000e+00,1.000000000000e+00,-2.121520426417e-14,-0.390506135094,-0.390979404007,-4.732689128399e-04,4.107390745,5.266264709,5.266192997,9.373655454,9.373583742
3507000000.000000,1.000000000000e+00,1.000000000000e+00,-9.643274665533e-16,-0.423680300192,-0.424153080215,-4.727800231498e-04,4.077422486,5.293112163,5.293028260,9.370534649,9.370450746
3508000000.000000,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,-0.457021344240,-0.457493558793,-4.722145533330e-04,3.912818975,5.319375278,5.319279200,9.232194253,9.232098175
3509000000.000000,1.000000000000e+00,1.000000000000e+00,3.857309866213e-15,-0.490525541376,-0.490997114043,-4.715726668556e-04,4.825037050,5.345037126,5.344928909,10.170074176,10.169965959
3510000000.000000,1.000000000000e+00,1.000000000000e+00,-9.643274665533e-16,-0.524189061712,-0.524659916367,-4.708546551759e-04,4.575079396,5.370081550,5.369961251,9.945160946,9.945040647
3511000000.000000,1.000000000000e+00,1.000000000000e+00,-3.278713386281e-14,-0.558007976362,-0.558478037302,-4.700609397070e-04,3.518540641,5.394493222,5.394360918,8.913033863,8.912901559
3512000000.000000,1.000000000000e+00,1.000000000000e+00,9.643274665533e-15,-0.591978262820,-0.592447454894,-4.691920733431e-04,4.391167630,5.418257697,5.418113487,9.809425327,9.809281117
3513000000.000000,1.000000000000e+00,1.000000000000e+00,-3.278713386281e-14,-0.626095810665,-0.626564059406,-4.682487415525e-04,4.508434985,5.441361460,5.441205464,9.949796445,9.949640449
3514000000.000000,1.000000000000e+00,1.000000000000e+00,-2.121520426417e-14,-0.660356427579,-0.660823659342,-4.672317629886e-04,4.075258785,5.463791982,5.463624340,9.539050767,9.538883125
3515000000.000000,1.000000000000e+00,1.000000000000e+00,-1.832222186451e-14,-0.694755845672,-0.695221987762,-4.661420896183e-04,4.864188675,5.485537759,5.485358634,10.349726434,10.349547309
3516000000.000000,1.000000000000e+00,1.000000000000e+00,2.892982399660e-14,-0.729289728082,-0.729754708889,-4.649808063992e-04,4.298410902,5.506588361,5.506397935,9.804999263,9.804808837
3517000000.000000,1.000000000000e+00,1.000000000000e+00,-5.785964799320e-15,-0.763953675837,-0.764417424967,-4.637491304192e-04,3.903400600,5.526934467,5.526732945,9.430335067,9.430133545
3518000000.000000,1.000000000000e+00,1.000000000000e+00,-2.603684159694e-14,-0.798743234952,-0.799205683362,-4.624484095459e-04,3.527653142,5.546567904,5.546355511,9.074221046,9.074008653
3519000000.000000,1.000000000000e+00,1.000000000000e+00,-1.928654933107e-14,-0.833653903751,-0.834114983871,-4.610801206072e-04,3.656629221,5.565481678,5.565258658,9.222110899,9.221887879
3520000000.000000,1.000000000000e+00,1.000000000000e+00,-9.643274665533e-16,-0.868681140360,-0.869140786228,-4.596458670248e-04,4.744818367,5.583670002,5.583436622,10.328488369,10.328254989
3521000000.000000,1.000000000000e+00,1.000000000000e+00,3.857309866213e-15,-0.903820370384,-0.904278517760,-4.581473760011e-04,4.200158171,5.601128321,5.600884864,9.801286492,9.801043035
3522000000.000000,1.000000000000e+00,1.000000000000e+00,1.735789439796e-14,-0.939066994699,-0.939523581194,-4.565864951975e-04,4.523197078,5.617853328,5.617600098,10.141050406,10.140797176
3523000000.000000,1.000000000000e+00,1.000000000000e+00,9.643274665533e-15,-0.974416397364,-0.974871362553,-4.549651889491e-04,4.225351708,5.633842983,5.633580301,9.859194691,9.858932009
3524000000.000000,1.000000000000e+00,1.000000000000e+00,-9.643274665533e-16,-1.009863953603,-1.010317239137,-4.532855340413e-04,3.483435216,5.649096517,5.648824723,9.132531733,9.132259939
3525000000.000000,1.000000000000e+00,1.000000000000e+00,-2.507251413039e-14,-1.045405037837,-1.045856587552,-4.515497150364e-04,4.145869392,5.663614444,5.663333893,9.809483836,9.809203285
3526000000.000000,1.000000000000e+00,1.000000000000e+00,-4.821637332766e-15,-1.081035031727,-1.081484791746,-4.497600191959e-04,4.435272485,5.677398555,5.677109619,10.112671040,10.112382104
3527000000.000000,1.000000000000e+00,1.000000000000e+00,-1.832222186451e-14,-1.116749332208,-1.117197251039,-4.479188310220e-04,3.527802756,5.690451917,5.690154982,9.218254673,9.217957738
