freq_hz,h1_phase_rad,h2_fixed_phase_rad,pre_l1_09_phase_rad,phase_unwrapped_rad,omega_rad,group_delay_s,group_delay_ns
3500000000.000000,-33.552647540181,-1.178097245096,-34.730744785277,-34.730744785277,21991148575.128551483154,5.264056121537141e-09,5.264056122
3501000000.000000,-33.569229218828,-1.194590606528,-34.763819825356,-34.763819825356,21997431760.435729980469,4.436279278624613e-09,4.436279279
3502000000.000000,-33.575408746882,-1.211083967959,-34.786492714841,-34.786492714841,22003714945.742912292480,4.355409108693216e-09,4.355409109
3503000000.000000,-33.590974181003,-1.227577329390,-34.818551510393,-34.818551510393,22009998131.050090789795,4.334299130790904e-09,4.334299131
3504000000.000000,-33.596888433250,-1.244070690822,-34.840959124072,-34.840959124072,22016281316.357269287109,3.527794140445128e-09,3.527794140
3505000000.000000,-33.602319026760,-1.260564052253,-34.862883079013,-34.862883079013,22022564501.664451599121,3.857981669950139e-09,3.857981670
3506000000.000000,-33.612382537876,-1.277057413684,-34.889439951560,-34.889439951560,22028847686.971630096436,4.107390744789304e-09,4.107390745
3507000000.000000,-33.620947298254,-1.293550775116,-34.914498073370,-34.914498073370,22035130872.278808593750,4.077422485571100e-09,4.077422486
3508000000.000000,-33.630634217118,-1.310044136547,-34.940678353665,-34.940678353665,22041414057.585987091064,3.912818974940208e-09,3.912818975
3509000000.000000,-33.637130508778,-1.326537497978,-34.963668006756,-34.963668006756,22047697242.893169403076,4.825037050134630e-09,4.825037050
3510000000.000000,-33.658280698055,-1.343030859410,-35.001311557465,-35.001311557465,22053980428.200347900391,4.575079395742099e-09,4.575079396
3511000000.000000,-33.661635929192,-1.359524220841,-35.021160150033,-35.021160150033,22060263613.507526397705,3.518540640561856e-09,3.518540641
3512000000.000000,-33.669509260904,-1.376017582272,-35.045526843176,-35.045526843176,22066546798.814708709717,4.391167629651841e-09,4.391167630
3513000000.000000,-33.683830246193,-1.392510943704,-35.076341189897,-35.076341189897,22072829984.121887207031,4.508434984980749e-09,4.508434985
3514000000.000000,-33.693177202953,-1.409004305135,-35.102181508088,-35.102181508088,22079113169.429065704346,4.075258784942810e-09,4.075258785
3515000000.000000,-33.702054735572,-1.425497666566,-35.127552402138,-35.127552402138,22085396354.736244201660,4.864188674504039e-09,4.864188675
3516000000.000000,-33.721315677712,-1.441991027998,-35.163306705710,-35.163306705710,22091679540.043426513672,4.298410902131231e-09,4.298410902
3517000000.000000,-33.723083437158,-1.458484389429,-35.181567826587,-35.181567826587,22097962725.350605010986,3.903400599530053e-09,3.903400600
3518000000.000000,-33.737380533440,-1.474977750860,-35.212358284300,-35.212358284300,22104245910.657783508301,3.527653142136670e-09,3.527653142
3519000000.000000,-33.734426511078,-1.491471112292,-35.225897623370,-35.225897623370,22110529095.964965820312,3.656629221447627e-09,3.656629221
3520000000.000000,-33.750344368573,-1.507964473723,-35.258308842296,-35.258308842296,22116812281.272144317627,4.744818367037887e-09,4.744818367
3521000000.000000,-33.761064934314,-1.524457835154,-35.285522769468,-35.285522769468,22123095466.579322814941,4.200158171341043e-09,4.200158171
3522000000.000000,-33.770138389930,-1.540951196586,-35.311089586516,-35.311089586516,22129378651.886501312256,4.523197078322060e-09,4.523197078
3523000000.000000,-33.784918382299,-1.557444558017,-35.342362940316,-35.342362940316,22135661837.193683624268,4.225351707621544e-09,4.225351708
3524000000.000000,-33.790249002602,-1.573937919448,-35.364186922050,-35.364186922050,22141945022.500862121582,3.483435216449736e-09,3.483435216
3525000000.000000,-33.795705797377,-1.590431280880,-35.386137078257,-35.386137078257,22148228207.808040618896,4.145869392190169e-09,4.145869392
3526000000.000000,-33.809360811040,-1.606924642311,-35.416285453351,-35.416285453351,22154511393.115222930908,4.435272485303246e-09,4.435272485
3527000000.000000,-33.818454352340,-1.623418003743,-35.441872356083,-35.441872356083,22160794578.422401428223,3.527802756139430e-09,3.527802756
3528000000.000000,-33.820705765065,-1.639911365174,-35.460617130239,-35.460617130239,22167077763.729579925537,4.059575161798637e-09,4.059575162
3529000000.000000,-33.836481755498,-1.656404726605,-35.492886482103,-35.492886482103,22173360949.036758422852,4.548696585685754e-09,4.548696586
3530000000.000000,-33.844879649310,-1.672898088037,-35.517777737347,-35.517777737347,22179644134.343940734863,3.578075092629870e-09,3.578075093
3531000000.000000,-33.848458450335,-1.689391449468,-35.537849899803,-35.537849899803,22185927319.651119232178,4.035374026853991e-09,4.035374027
3532000000.000000,-33.862602932037,-1.705884810899,-35.568487742936,-35.568487742936,22192210504.958297729492,4.262289430473160e-09,4.262289430
3533000000.000000,-33.869033236121,-1.722378172331,-35.591411408452,-35.591411408452,22198493690.265480041504,4.088212562766683e-09,4.088212563
3534000000.000000,-33.880990203388,-1.738871533762,-35.619861737150,-35.619861737150,22204776875.572658538818,4.546094442792657e-09,4.546094443
3535000000.000000,-33.893174420875,-1.755364895193,-35.648539316068,-35.648539316068,22211060060.879837036133,4.703988180602032e-09,4.703988181
3536000000.000000,-33.907115539368,-1.771858256625,-35.678973795993,-35.678973795993,22217343246.187015533447,4.055509505725216e-09,4.055509506
3537000000.000000,-33.911150733491,-1.788351618056,-35.699502351547,-35.699502351547,22223626431.494197845459,3.868975726407708e-09,3.868975726
3538000000.000000,-33.922747799382,-1.804844979487,-35.727592778869,-35.727592778869,22229909616.801376342773,4.214431567973961e-09,4.214431568
3539000000.000000,-33.931124119640,-1.821338340919,-35.752462460559,-35.752462460559,22236192802.108554840088,3.939505310421612e-09,3.939505310
3540000000.000000,-33.939266360287,-1.837831702350,-35.777098062637,-35.777098062637,22242475987.415737152100,3.752160493031161e-09,3.752160493
3541000000.000000,-33.945288436138,-1.854325063781,-35.799613499919,-35.799613499919,22248759172.722915649414,4.273592711060473e-09,4.273592711
3542000000.000000,-33.959983187286,-1.870818425213,-35.830801612499,-35.830801612499,22255042358.030094146729,4.523317455324578e-09,4.523317455
3543000000.000000,-33.969143396825,-1.887311786644,-35.856455183469,-35.856455183469,22261325543.337272644043,4.070749697493701e-09,4.070749697
3544000000.000000,-33.978151013801,-1.903805148075,-35.881956161876,-35.881956161876,22267608728.644454956055,4.182484389401678e-09,4.182484389
3545000000.000000,-33.988715322888,-1.920298509507,-35.909013832395,-35.909013832395,22273891913.951633453369,3.743370895352843e-09,3.743370895
3546000000.000000,-33.992204876956,-1.936791870938,-35.928996747894,-35.928996747894,22280175099.258811950684,4.108866108244740e-09,4.108866108
3547000000.000000,-34.007362134347,-1.953285232369,-35.960647366716,-35.960647366716,22286458284.565994262695,4.057245064753879e-09,4.057245065
3548000000.000000,-34.010202999250,-1.969778593801,-35.979981593051,-35.979981593051,22292741469.873172760010,3.611414711114187e-09,3.611414711
3549000000.000000,-34.019757787186,-1.986271955232,-36.006029742418,-36.006029742418,22299024655.180351257324,4.266802877017243e-09,4.266802877
3550000000.000000,-34.030834502679,-2.002765316663,-36.033599819342,-36.033599819342,22305307840.487529754639,3.915714298746524e-09,3.915714299
3551000000.000000,-34.035977381421,-2.019258678095,-36.055236059516,-36.055236059516,22311591025.794712066650,4.512071449986651e-09,4.512071450
3552000000.000000,-34.054548141895,-2.035752039526,-36.090300181421,-36.090300181421,22317874211.101890563965,3.923343169003139e-09,3.923343169
3553000000.000000,-34.052292842867,-2.052245400958,-36.104538243825,-36.104538243825,22324157396.409069061279,3.568919882303685e-09,3.568919882
3554000000.000000,-34.066409788966,-2.068738762389,-36.135148551355,-36.135148551355,22330440581.716251373291,4.598544600377099e-09,4.598544600
3555000000.000000,-34.077093135740,-2.085232123820,-36.162325259560,-36.162325259560,22336723767.023429870605,4.084188948427363e-09,4.084188948
3556000000.000000,-34.084746498088,-2.101725485252,-36.186471983340,-36.186471983340,22343006952.330608367920,3.686877606336891e-09,3.686877606
3557000000.000000,-34.090437083288,-2.118218846683,-36.208655929971,-36.208655929971,22349290137.637786865234,4.215872086683104e-09,4.215872087
3558000000.000000,-34.104737986330,-2.134712208114,-36.239450194444,-36.239450194444,22355573322.944969177246,4.523137165478991e-09,4.523137165
3559000000.000000,-34.114289778386,-2.151205569546,-36.265495347932,-36.265495347932,22361856508.252147674561,4.085925701437480e-09,4.085925701
3560000000.000000,-34.123096520134,-2.167698930977,-36.290795451111,-36.290795451111,22368139693.559326171875,3.769647270300472e-09,3.769647270
3561000000.000000,-34.128673840208,-2.184192292408,-36.312866132616,-36.312866132616,22374422878.866504669189,3.856399216780715e-09,3.856399217
3562000000.000000,-34.138570739066,-2.200685653840,-36.339256392906,-36.339256392906,22380706064.173686981201,4.008968914097425e-09,4.008968914
3563000000.000000,-34.146065306501,-2.217179015271,-36.363244321772,-36.363244321772,22386989249.480865478516,3.501813976402576e-09,3.501813976
3564000000.000000,-34.149589108454,-2.233672376702,-36.383261485156,-36.383261485156,22393272434.788043975830,3.892185550385071e-09,3.892185550
3565000000.000000,-34.161989229764,-2.250165738134,-36.412154967898,-36.412154967898,22399555620.095226287842,4.353045692960768e-09,4.353045693
3566000000.000000,-34.171304371070,-2.266659099565,-36.437963470635,-36.437963470635,22405838805.402404785156,4.226289679560839e-09,4.226289680
3567000000.000000,-34.182111629339,-2.283152460996,-36.465264090335,-36.465264090335,22412121990.709583282471,4.713878538432037e-09,4.713878538
3568000000.000000,-34.197553992952,-2.299645822428,-36.497199815380,-36.497199815380,22418405176.016761779785,4.305400610354372e-09,4.305400610
3569000000.000000,-34.203228166189,-2.316139183859,-36.519367350048,-36.519367350048,22424688361.323944091797,3.838277000909406e-09,3.838277001
3570000000.000000,-34.212800481404,-2.332632545290,-36.545433026694,-36.545433026694,22430971546.631122589111,4.328658258085105e-09,4.328658258
3571000000.000000,-34.224636967260,-2.349125906722,-36.573762873982,-36.573762873982,22437254731.938301086426,3.489968690632208e-09,3.489968691
3572000000.000000,-34.223669998540,-2.365619268153,-36.589289266693,-36.589289266693,22443537917.245483398438,3.680733851121101e-09,3.680733851
3573000000.000000,-34.237903710104,-2.382112629584,-36.620016339688,-36.620016339688,22449821102.552661895752,4.624451594131141e-09,4.624451594
3574000000.000000,-34.248795848297,-2.398605991016,-36.647401839313,-36.647401839313,22456104287.859840393066,3.978564172688040e-09,3.978564173
3575000000.000000,-34.254913099148,-2.415099352447,-36.670012451595,-36.670012451595,22462387473.167018890381,4.161100180846006e-09,4.161100181
3576000000.000000,-34.268099052470,-2.431592713879,-36.699691766349,-36.699691766349,22468670658.474201202393,3.879233424349983e-09,3.879233424
3577000000.000000,-34.270674261195,-2.448086075310,-36.718760336505,-36.718760336505,22474953843.781379699707,3.607559941069966e-09,3.607559941
3578000000.000000,-34.280446264841,-2.464579436741,-36.745025701582,-36.745025701582,22481237029.088558197021,3.753095091681650e-09,3.753095092
3579000000.000000,-34.284850322205,-2.481072798173,-36.765923120378,-36.765923120378,22487520214.395740509033,4.230015550493946e-09,4.230015550
3580000000.000000,-34.300615485090,-2.497566159604,-36.798181644694,-36.798181644694,22493803399.702919006348,4.273896912815507e-09,4.273896913
3581000000.000000,-34.305570971917,-2.514059521035,-36.819630492952,-36.819630492952,22500086585.010097503662,3.778908890586542e-09,3.778908891
3582000000.000000,-34.315115931864,-2.530552882467,-36.845668814331,-36.845668814331,22506369770.317276000977,4.416888769345385e-09,4.416888769
3583000000.000000,-34.328088510292,-2.547046243898,-36.875134754190,-36.875134754190,22512652955.624458312988,3.829699640562865e-09,3.829699641
3584000000.000000,-34.330254634027,-2.563539605329,-36.893794239356,-36.893794239356,22518936140.931636810303,3.691988755448159e-09,3.691988755
3585000000.000000,-34.341496686434,-2.580032966761,-36.921529653195,-36.921529653195,22525219326.238815307617,4.628746132914941e-09,4.628746133
3586000000.000000,-34.355434450550,-2.596526328192,-36.951960778742,-36.951960778742,22531502511.545997619629,3.984970467667420e-09,3.984970468
3587000000.000000,-34.358586579356,-2.613019689623,-36.971606268979,-36.971606268979,22537785696.853176116943,4.106172042471118e-09,4.106172042
3588000000.000000,-34.374047407379,-2.629513051055,-37.003560458434,-37.003560458434,22544068882.160354614258,4.323857413127764e-09,4.323857413
3589000000.000000,-34.379935051230,-2.646006412486,-37.025941463716,-37.025941463716,22550352067.467533111572,3.989575479788967e-09,3.989575480
3590000000.000000,-34.391195168590,-2.662499773917,-37.053694942507,-37.053694942507,22556635252.774715423584,4.178598963012482e-09,4.178598963
3591000000.000000,-34.399458151585,-2.678993135349,-37.078451286934,-37.078451286934,22562918438.081893920898,3.908160449516609e-09,3.908160450
3592000000.000000,-34.407319838356,-2.695486496780,-37.102806335136,-37.102806335136,22569201623.389072418213,4.048558371727235e-09,4.048558372
3593000000.000000,-34.417347113676,-2.711979858211,-37.129326971887,-37.129326971887,22575484808.696254730225,3.819280963681586e-09,3.819280964
3594000000.000000,-34.422327615563,-2.728473219643,-37.150800835206,-37.150800835206,22581767994.003433227539,3.610474605942743e-09,3.610474606
3595000000.000000,-34.429730952805,-2.744966581074,-37.174697533879,-37.174697533879,22588051179.310611724854,3.562459618917803e-09,3.562459619
3596000000.000000,-34.434108080571,-2.761459942505,-37.195568023076,-37.195568023076,22594334364.617790222168,4.317403104042146e-09,4.317403104
3597000000.000000,-34.450998317439,-2.777953303937,-37.228951621376,-37.228951621376,22600617549.924972534180,4.427093272691918e-09,4.427093273
3598000000.000000,-34.456753852517,-2.794446665368,-37.251200517885,-37.251200517885,22606900735.232151031494,3.717547788271603e-09,3.717547788
3599000000.000000,-34.464727677861,-2.810940026799,-37.275667704660,-37.275667704660,22613183920.539329528809,4.544521749481170e-09,4.544521749
3600000000.000000,-34.480875274223,-2.827433388231,-37.308308662454,-37.308308662454,22619467105.846511840820,3.480428701744979e-09,3.480428702
3601000000.000000,-34.475477311961,-2.843926749662,-37.319404061623,-37.319404061623,22625750291.153690338135,4.041857460018500e-09,4.041857460
3602000000.000000,-34.498680030174,-2.860420111093,-37.359100141267,-37.359100141267,22632033476.460868835449,4.571233056214685e-09,4.571233056
3603000000.000000,-34.499934397847,-2.876913472525,-37.376847870372,-37.376847870372,22638316661.768047332764,3.523716823089127e-09,3.523716823
3604000000.000000,-34.509973638850,-2.893406833956,-37.403380472806,-37.403380472806,22644599847.075229644775,4.425216149398723e-09,4.425216149
3605000000.000000,-34.522556581166,-2.909900195388,-37.432456776554,-37.432456776554,22650883032.382408142090,4.118450882776787e-09,4.118450883
3606000000.000000,-34.528740896137,-2.926393556819,-37.455134452956,-37.455134452956,22657166217.689586639404,3.608133405853316e-09,3.608133406
3607000000.000000,-34.534910999908,-2.942886918250,-37.477797918158,-37.477797918158,22663449402.996768951416,4.314537885508794e-09,4.314537886
3608000000.000000,-34.549972255373,-2.959380279682,-37.509352535055,-37.509352535055,22669732588.303947448730,4.453831989329444e-09,4.453831989
3609000000.000000,-34.557892780477,-2.975873641113,-37.533766421590,-37.533766421590,22676015773.611125946045,3.526726045813697e-09,3.526726046
3610000000.000000,-34.561303679058,-2.992367002544,-37.553670681602,-37.553670681602,22682298958.918304443359,4.029464489621497e-09,4.029464490
3611000000.000000,-34.575541801768,-3.008860363976,-37.584402165744,-37.584402165744,22688582144.225486755371,4.148227863057350e-09,4.148227863
3612000000.000000,-34.580445124915,-3.025353725407,-37.605798850322,-37.605798850322,22694865329.532665252686,3.124513137957424e-09,3.124513138
3613000000.000000,-34.581818868987,-3.041847086838,-37.623665955825,-37.623665955825,22701148514.839843750000,4.501666517087809e-09,4.501666517
3614000000.000000,-34.604028011888,-3.058340448270,-37.662368460158,-37.662368460158,22707431700.147026062012,5.048226490351376e-09,5.048226490
3615000000.000000,-34.612270031147,-3.074833809701,-37.687103840848,-37.687103840848,22713714885.454204559326,3.818049715737765e-09,3.818049716
3616000000.000000,-34.619020316778,-3.091327171132,-37.710347487910,-37.710347487910,22719998070.761383056641,3.872947687250231e-09,3.872947687
3617000000.000000,-34.627952204292,-3.107820532564,-37.735772736856,-37.735772736856,22726281256.068561553955,3.753377372946951e-09,3.753377373
3618000000.000000,-34.633199925039,-3.124313893995,-37.757513819034,-37.757513819034,22732564441.375743865967,4.105557945588438e-09,4.105557946
3619000000.000000,-34.646557444153,-3.140807255426,-37.787364699579,-37.787364699579,22738847626.682922363281,4.227429992260740e-09,4.227429992
3620000000.000000,-34.653336654205,-3.157300616858,-37.810637271063,-37.810637271063,22745130811.990100860596,4.053824343823261e-09,4.053824344
3621000000.000000,-34.664512580400,-3.173793978289,-37.838306558689,-37.838306558689,22751413997.297283172607,4.330814378401250e-09,4.330814378
3622000000.000000,-34.674772549884,-3.190287339720,-37.865059889604,-37.865059889604,22757697182.604461669922,4.001059332004741e-09,4.001059332
3623000000.000000,-34.681804651953,-3.206780701152,-37.888585353105,-37.888585353105,22763980367.911640167236,3.999459077036938e-09,3.999459077
3624000000.000000,-34.692044512040,-3.223274062583,-37.915318574623,-37.915318574623,22770263553.218818664551,3.893292931778906e-09,3.893292932
3625000000.000000,-34.697742490982,-3.239767424014,-37.937509914996,-37.937509914996,22776546738.526000976562,4.302865872284080e-09,4.302865872
3626000000.000000,-34.713129196432,-3.256260785446,-37.969389981878,-37.969389981878,22782829923.833179473877,3.859438637802372e-09,3.859438638
3627000000.000000,-34.713254904405,-3.272754146877,-37.986009051282,-37.986009051282,22789113109.140357971191,3.572452193928483e-09,3.572452194
3628000000.000000,-34.725035231840,-3.289247508309,-38.014282740149,-38.014282740149,22795396294.447540283203,3.804399530073050e-09,3.804399530
3629000000.000000,-34.728075676002,-3.305740869740,-38.033816545742,-38.033816545742,22801679479.754718780518,4.014393817525173e-09,4.014393818
3630000000.000000,-34.742494869481,-3.322234231171,-38.064729100652,-38.064729100652,22807962665.061897277832,4.640367737474240e-09,4.640367737
3631000000.000000,-34.753401533915,-3.338727592603,-38.092129126518,-38.092129126518,22814245850.369075775146,4.259409103598204e-09,4.259409104
3632000000.000000,-34.763033460012,-3.355220954034,-38.118254414046,-38.118254414046,22820529035.676258087158,4.195038280723128e-09,4.195038281
