metric,value
signal_model,pre_l1_09_response = H1 * H2_fixed
h1_csv,D:\桌面\Rigol\data\base_plan_pipeline_data_20260611_032425\h1_full_combined_random\together.csv
h2_fixed_response_csv,D:\桌面\Rigol\data\base_plan_pipeline_data_20260611_032425\l1_08_h2_fixed_point\h2_fixed_point_response.csv
run_name,base_plan_pipeline_data_20260611_032425
point_count,1001
f_min_hz,3500000000.000000
f_max_hz,4500000000.000000
group_delay_mean_ns,4.113093304
group_delay_ripple_pp_ns,2.994723830
group_delay_rms_error_ns,0.467371597
