subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
0,19388,3550048828.125000,-3.904253304380e+01,3.904253304380e+01,-4.051574804088e+01,3.797001075306e+01,-4.459669351445e+01,3.798304776270e+01,1.000000000000e+00,-1.953867235874
1,19389,3550231933.593750,1.171275991314e+02,-1.952126652190e+02,1.242750009111e+02,-1.923597344171e+02,1.098380365125e+02,-1.976308019042e+02,1.000000000000e+00,-1.960554617472
2,19390,3550415039.062500,-1.171275991314e+02,1.952126652190e+02,-1.244570620177e+02,1.923235521594e+02,-1.217331760012e+02,1.946596254411e+02,1.000000000000e+00,-1.967241858966
3,19391,3550598144.531250,3.904253304380e+01,-1.952126652190e+02,4.608894603701e+01,-1.950127784551e+02,3.199487907378e+01,-1.972339113829e+02,1.000000000000e+00,-1.973928946768
4,19392,3550781250.000000,1.171275991314e+02,-2.732977313066e+02,1.276068436335e+02,-2.708224535007e+02,1.098858780562e+02,-2.759607386199e+02,1.000000000000e+00,-1.980615867444
5,19393,3550964355.468750,1.171275991314e+02,3.904253304380e+01,1.164667762390e+02,4.356487825313e+01,1.116571961099e+02,3.682798829502e+01,1.000000000000e+00,-1.987302607720
6,19394,3551147460.937500,1.171275991314e+02,-2.732977313066e+02,1.274860624105e+02,-2.708987584458e+02,1.097087702701e+02,-2.761818265115e+02,1.000000000000e+00,-1.993989154478
7,19395,3551330566.406250,-3.904253304380e+01,2.732977313066e+02,-4.842375428557e+01,2.736286897718e+02,-4.270961812275e+01,2.720759508988e+02,1.000000000000e+00,-2.000675494758
8,19396,3551513671.875000,-2.732977313066e+02,1.171275991314e+02,-2.785665123969e+02,1.091171173742e+02,-2.781529812131e+02,1.180399560220e+02,1.000000000000e+00,-2.007361615755
9,19397,3551696777.343750,-2.732977313066e+02,-1.171275991314e+02,-2.712452387554e+02,-1.259580316052e+02,-2.805842617628e+02,-1.158862925733e+02,1.000000000000e+00,-2.014047504824
10,19398,3551879882.812500,-1.171275991314e+02,-3.904253304380e+01,-1.166122415775e+02,-4.255258533035e+01,-1.234750647708e+02,-3.945437317870e+01,1.000000000000e+00,-2.020733149475
11,19399,3552062988.281250,-1.952126652190e+02,1.171275991314e+02,-1.994133328146e+02,1.122439744574e+02,-1.993121250068e+02,1.177570896905e+02,1.000000000000e+00,-2.027418537376
12,19400,3552246093.750000,-2.732977313066e+02,1.171275991314e+02,-2.780945848167e+02,1.094768509694e+02,-2.775902492202e+02,1.182466553800e+02,1.000000000000e+00,-2.034103656351
13,19401,3552429199.218750,-1.171275991314e+02,-2.732977313066e+02,-1.088869449896e+02,-2.783158767275e+02,-1.256442623644e+02,-2.741969872866e+02,1.000000000000e+00,-2.040788494385
14,19402,3552612304.687500,1.952126652190e+02,2.732977313066e+02,1.867325161076e+02,2.812094513339e+02,1.915319598070e+02,2.693428048070e+02,1.000000000000e+00,-2.047473039614
15,19403,3552795410.156250,2.732977313066e+02,-3.904253304380e+01,2.759160516248e+02,-2.927820806889e+01,2.671422012738e+02,-4.300730784524e+01,1.000000000000e+00,-2.054157280336
16,19404,3552978515.625000,3.904253304380e+01,-2.732977313066e+02,4.972336019181e+01,-2.729644972244e+02,3.212499860337e+01,-2.757104521162e+02,1.000000000000e+00,-2.060841205004
17,19405,3553161621.093750,-2.732977313066e+02,1.171275991314e+02,-2.788925412375e+02,1.072562186550e+02,-2.783644341143e+02,1.159074297551e+02,1.000000000000e+00,-2.067524802226
18,19406,3553344726.562500,-1.952126652190e+02,-1.171275991314e+02,-1.916883460604e+02,-1.248440632611e+02,-2.015175281678e+02,-1.184434647305e+02,1.000000000000e+00,-2.074208060770
19,19407,3553527832.031250,1.952126652190e+02,-3.904253304380e+01,1.974258443743e+02,-3.214936409398e+01,1.890561576194e+02,-4.289654021593e+01,1.000000000000e+00,-2.080890969559
20,19408,3553710937.500000,1.171275991314e+02,3.904253304380e+01,1.162269802415e+02,4.332807636424e+01,1.115942279130e+02,3.547232707461e+01,1.000000000000e+00,-2.087573517671
21,19409,3553894042.968750,1.171275991314e+02,3.904253304380e+01,1.162555350794e+02,4.322092195876e+01,1.116354362948e+02,3.528956494503e+01,1.000000000000e+00,-2.094255694343
22,19410,3554077148.437500,-3.904253304380e+01,1.171275991314e+02,-4.314356780599e+01,1.162699119808e+02,-4.360593034001e+01,1.146143328206e+02,1.000000000000e+00,-2.100937488965
23,19411,3554260253.906250,1.171275991314e+02,3.904253304380e+01,1.162649111962e+02,4.310716201969e+01,1.116765736932e+02,3.502622366269e+01,1.000000000000e+00,-2.107618891087
24,19412,3554443359.375000,-1.171275991314e+02,1.952126652190e+02,-1.240313384257e+02,1.920395256406e+02,-1.206668073114e+02,1.932591681415e+02,1.000000000000e+00,-2.114299890409
25,19413,3554626464.843750,1.171275991314e+02,-1.171275991314e+02,1.213941880062e+02,-1.136852516373e+02,1.100583714454e+02,-1.211352324474e+02,1.000000000000e+00,-2.120980476793
26,19414,3554809570.312500,1.171275991314e+02,-1.171275991314e+02,1.213475216721e+02,-1.137010639590e+02,1.100156382451e+02,-1.212233576544e+02,1.000000000000e+00,-2.127660640251
27,19415,3554992675.781250,1.952126652190e+02,-1.952126652190e+02,2.021681029222e+02,-1.895281094175e+02,1.870423555769e+02,-2.001378092256e+02,1.000000000000e+00,-2.134340370953
28,19416,3555175781.250000,-1.171275991314e+02,-1.952126652190e+02,-1.111314126008e+02,-1.996643956550e+02,-1.246940817479e+02,-1.966989311670e+02,1.000000000000e+00,-2.141019659224
29,19417,3555358886.718750,2.732977313066e+02,3.904253304380e+01,2.728813881267e+02,4.816919037251e+01,2.676353494351e+02,3.279787074073e+01,1.000000000000e+00,-2.147698495540
30,19418,3555541992.187500,-3.904253304380e+01,-1.952126652190e+02,-3.267780509556e+01,-1.971246834629e+02,-4.663449152266e+01,-1.976949700405e+02,1.000000000000e+00,-2.154376870537
31,19419,3555725097.656250,1.952126652190e+02,1.952126652190e+02,1.892754661610e+02,2.023653774798e+02,1.913489311130e+02,1.894779585246e+02,1.000000000000e+00,-2.161054775001
32,19420,3555908203.125000,-3.904253304380e+01,-2.732977313066e+02,-2.991954171436e+01,-2.754596100985e+02,-4.732334198289e+01,-2.757634074035e+02,1.000000000000e+00,-2.167732199872
33,19421,3556091308.593750,2.732977313066e+02,1.952126652190e+02,2.674751588784e+02,2.052104007779e+02,2.692519819842e+02,1.887089914006e+02,1.000000000000e+00,-2.174409136245
34,19422,3556274414.062500,-2.732977313066e+02,-2.732977313066e+02,-2.646881700518e+02,-2.837998264579e+02,-2.809617675937e+02,-2.738374228240e+02,1.000000000000e+00,-2.181085575368
35,19423,3556457519.531250,-3.904253304380e+01,2.732977313066e+02,-4.892585924334e+01,2.729259042789e+02,-4.204571426343e+01,2.697608170740e+02,1.000000000000e+00,-2.187761508642
36,19424,3556640625.000000,-1.171275991314e+02,1.171275991314e+02,-1.218469843445e+02,1.133443815010e+02,-1.214988829642e+02,1.143708490377e+02,1.000000000000e+00,-2.194436927618
37,19425,3556823730.468750,-1.952126652190e+02,1.952126652190e+02,-2.032603930316e+02,1.888292619782e+02,-1.990095195546e+02,1.929253303810e+02,1.000000000000e+00,-2.201111824003
38,19426,3557006835.937500,1.952126652190e+02,1.952126652190e+02,1.887599245157e+02,2.034279974518e+02,1.911761309637e+02,1.899882899572e+02,1.000000000000e+00,-2.207786189654
39,19427,3557189941.406250,1.952126652190e+02,-1.171275991314e+02,2.003612069760e+02,-1.104902720121e+02,1.887830601421e+02,-1.225017823392e+02,1.000000000000e+00,-2.214460016579
40,19428,3557373046.875000,2.732977313066e+02,-1.171275991314e+02,2.786463447395e+02,-1.078702059019e+02,2.666940120957e+02,-1.234681369660e+02,1.000000000000e+00,-2.221133296937
41,19429,3557556152.343750,1.171275991314e+02,1.171275991314e+02,1.135406805631e+02,1.216856657158e+02,1.129246140340e+02,1.118943726760e+02,1.000000000000e+00,-2.227806023040
42,19430,3557739257.812500,3.904253304380e+01,1.952126652190e+02,3.259411822553e+01,1.973187015448e+02,3.592537829683e+01,1.905907791868e+02,1.000000000000e+00,-2.234478187348
43,19431,3557922363.281250,3.904253304380e+01,1.171275991314e+02,3.534059874814e+01,1.188685460038e+02,3.518074544034e+01,1.124604203625e+02,1.000000000000e+00,-2.241149782471
44,19432,3558105468.750000,-1.171275991314e+02,3.904253304380e+01,-1.188439031783e+02,3.538795999934e+01,-1.217199184974e+02,3.638801051189e+01,1.000000000000e+00,-2.247820801171
45,19433,3558288574.218750,-1.171275991314e+02,-2.732977313066e+02,-1.087119871851e+02,-2.781344134195e+02,-1.257458802420e+02,-2.756098261244e+02,1.000000000000e+00,-2.254491236356
46,19434,3558471679.687500,3.904253304380e+01,-2.732977313066e+02,4.803588666892e+01,-2.730662635288e+02,3.021941282885e+01,-2.776995062279e+02,1.000000000000e+00,-2.261161081084
47,19435,3558654785.156250,-3.904253304380e+01,1.952126652190e+02,-4.549674671316e+01,1.946835023547e+02,-4.154166616677e+01,1.911862272581e+02,1.000000000000e+00,-2.267830328562
48,19436,3558837890.625000,3.904253304380e+01,-1.952126652190e+02,4.548500605332e+01,-1.946807346030e+02,3.124872207214e+01,-1.998323149090e+02,1.000000000000e+00,-2.274498972143
49,19437,3559020996.093750,-1.171275991314e+02,1.952126652190e+02,-1.238545348283e+02,1.921680227013e+02,-1.194065002197e+02,1.921345053575e+02,1.000000000000e+00,-2.281167005328
50,19438,3559204101.562500,-1.171275991314e+02,-2.732977313066e+02,-1.087658823193e+02,-2.781753992578e+02,-1.257723925492e+02,-2.758889139481e+02,1.000000000000e+00,-2.287834421766
51,19439,3559387207.031250,1.952126652190e+02,3.904253304380e+01,1.947804024450e+02,4.553425425921e+01,1.905712504065e+02,3.182634469824e+01,1.000000000000e+00,-2.294501215252
52,19440,3559570312.500000,-3.904253304380e+01,-2.732977313066e+02,-3.033924320298e+01,-2.758048405047e+02,-4.773031815869e+01,-2.772125577253e+02,1.000000000000e+00,-2.301167379724
53,19441,3559753417.968750,-1.171275991314e+02,-2.732977313066e+02,-1.087843040944e+02,-2.784254053283e+02,-1.257751342043e+02,-2.762791031290e+02,1.000000000000e+00,-2.307832909270
54,19442,3559936523.437500,1.952126652190e+02,-2.732977313066e+02,2.051313332613e+02,-2.683028126194e+02,1.865711791534e+02,-2.806688794037e+02,1.000000000000e+00,-2.314497798118
55,19443,3560119628.906250,-3.904253304380e+01,-2.732977313066e+02,-3.018217140416e+01,-2.759854495727e+02,-4.755105469925e+01,-2.775616358253e+02,1.000000000000e+00,-2.321162040644
56,19444,3560302734.375000,2.732977313066e+02,-3.904253304380e+01,2.759879800265e+02,-2.999430148097e+01,2.679614391312e+02,-4.732549469245e+01,1.000000000000e+00,-2.327825631366
57,19445,3560485839.843750,-1.171275991314e+02,-1.171275991314e+02,-1.136636294007e+02,-1.217450641313e+02,-1.233476379022e+02,-1.205836168537e+02,1.000000000000e+00,-2.334488564945
58,19446,3560668945.312500,-3.904253304380e+01,3.904253304380e+01,-4.060459351346e+01,3.785809318290e+01,-4.336199887143e+01,3.455444382891e+01,1.000000000000e+00,-2.341150836187
59,19447,3560852050.781250,-1.952126652190e+02,1.171275991314e+02,-2.003382036545e+02,1.106857067372e+02,-1.986389567361e+02,1.142489311221e+02,1.000000000000e+00,-2.347812440036
60,19448,3561035156.250000,-1.171275991314e+02,-1.952126652190e+02,-1.105706938756e+02,-2.003769991328e+02,-1.238384415628e+02,-1.989844483187e+02,1.000000000000e+00,-2.354473371581
61,19449,3561218261.718750,-2.732977313066e+02,2.732977313066e+02,-2.844095372932e+02,2.645993177545e+02,-2.749104511058e+02,2.709831605784e+02,1.000000000000e+00,-2.361133626051
