subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
0,19388,3550048828.125000,-3.904253304380e+01,3.904253304380e+01,-4.051574804088e+01,3.797001075306e+01,-4.459207525284e+01,3.798913213909e+01,1.000000000000e+00,-1.953469582214
1,19389,3550231933.593750,1.171275991314e+02,-1.952126652190e+02,1.242750009111e+02,-1.923597344171e+02,1.098125594510e+02,-1.976445337646e+02,1.000000000000e+00,-1.960157372759
2,19390,3550415039.062500,-1.171275991314e+02,1.952126652190e+02,-1.244570620177e+02,1.923235521594e+02,-1.217085065015e+02,1.946756389201e+02,1.000000000000e+00,-1.966845022602
3,19391,3550598144.531250,3.904253304380e+01,-1.952126652190e+02,4.608894603701e+01,-1.950127784551e+02,3.196936117101e+01,-1.972377033960e+02,1.000000000000e+00,-1.973532518137
4,19392,3550781250.000000,1.171275991314e+02,-2.732977313066e+02,1.276068436335e+02,-2.708224535007e+02,1.098502378921e+02,-2.759745623588e+02,1.000000000000e+00,-1.980219845917
5,19393,3550964355.468750,1.171275991314e+02,3.904253304380e+01,1.164667762390e+02,4.356487825313e+01,1.116617210764e+02,3.681400066355e+01,1.000000000000e+00,-1.986906992650
6,19394,3551147460.937500,1.171275991314e+02,-2.732977313066e+02,1.274860624105e+02,-2.708987584458e+02,1.096730073889e+02,-2.761956702802e+02,1.000000000000e+00,-1.993593945203
7,19395,3551330566.406250,-3.904253304380e+01,2.732977313066e+02,-4.842375428557e+01,2.736286897718e+02,-4.267481278352e+01,2.720818780644e+02,1.000000000000e+00,-2.000280690599
8,19396,3551513671.875000,-2.732977313066e+02,1.171275991314e+02,-2.785665123969e+02,1.091171173742e+02,-2.781380760941e+02,1.180762234015e+02,1.000000000000e+00,-2.006967216020
9,19397,3551696777.343750,-2.732977313066e+02,-1.171275991314e+02,-2.712452387554e+02,-1.259580316052e+02,-2.805995623604e+02,-1.158497355488e+02,1.000000000000e+00,-2.013653508802
10,19398,3551879882.812500,-1.171275991314e+02,-3.904253304380e+01,-1.166122415775e+02,-4.255258533035e+01,-1.234804577827e+02,-3.943807680286e+01,1.000000000000e+00,-2.020339556441
11,19399,3552062988.281250,-1.952126652190e+02,1.171275991314e+02,-1.994133328146e+02,1.122439744574e+02,-1.992971894130e+02,1.177832644687e+02,1.000000000000e+00,-2.027025346591
12,19400,3552246093.750000,-2.732977313066e+02,1.171275991314e+02,-2.780945848167e+02,1.094768509694e+02,-2.775752563554e+02,1.182830055542e+02,1.000000000000e+00,-2.033710867059
13,19401,3552429199.218750,-1.171275991314e+02,-2.732977313066e+02,-1.088869449896e+02,-2.783158767275e+02,-1.256801535820e+02,-2.741804288892e+02,1.000000000000e+00,-2.040396105814
14,19402,3552612304.687500,1.952126652190e+02,2.732977313066e+02,1.867325161076e+02,2.812094513339e+02,1.915667465466e+02,2.693183071843e+02,1.000000000000e+00,-2.047081050980
15,19403,3552795410.156250,2.732977313066e+02,-3.904253304380e+01,2.759160516248e+02,-2.927820806889e+01,2.671364075626e+02,-4.304176122445e+01,1.000000000000e+00,-2.053765690836
