tap_index,coeff_float
0,5.970323429051830333e-01
1,-2.115854580089969739e-01
2,6.402788583722528459e-01
3,-1.713772634316647892e-01
4,-5.718843184173308947e-01
5,2.350494901678507054e-01
6,9.454002998496327526e-02
7,-1.204915371596226026e-01
8,3.215711793969154852e-01
9,-4.688055181050154729e-02
10,-4.975729141779196008e-01
11,1.781789678093396168e-01
12,4.318756523248210577e-01
13,-2.277671146265423385e-01
14,-2.108227323151758703e-01
15,1.894409043675155113e-01
16,-5.536798883755946615e-02
17,-8.595849199754963810e-02
18,2.730463393830953045e-01
19,-4.437781746494016272e-02
20,-3.853508976016288279e-01
21,1.609367854398797704e-01
22,3.766749380064127184e-01
23,-2.314247270683381374e-01
24,-2.662816771375392522e-01
25,2.385883810237609814e-01
26,9.584478024534696938e-02
27,-1.824730594062797251e-01
28,8.489739869107441883e-02
29,7.858272537461932772e-02
30,-2.310964052007354608e-01
31,4.707433464900336040e-02
32,3.121665378028750104e-01
33,-1.646781629213707465e-01
34,-3.165033192917306448e-01
35,2.475241331703685599e-01
36,2.514954642235778248e-01
37,-2.778034282023591484e-01
38,-1.396000703977552382e-01
39,2.501871484454157857e-01
40,1.180706848169242942e-02
41,-1.726374160461700835e-01
42,9.991935183505909479e-02
43,6.440468348470340665e-02
44,-1.696594513289437778e-01
45,4.831432500667065533e-02
46,1.827242204083708299e-01
47,-1.381658491565138647e-01
48,-1.381658491565138647e-01
49,1.827242204083708299e-01
50,4.831432500667065533e-02
51,-1.696594513289437778e-01
52,6.440468348470340665e-02
53,9.991935183505909479e-02
54,-1.726374160461700835e-01
55,1.180706848169242942e-02
56,2.501871484454157857e-01
57,-1.396000703977552382e-01
58,-2.778034282023591484e-01
59,2.514954642235778248e-01
60,2.475241331703685599e-01
61,-3.165033192917306448e-01
62,-1.646781629213707465e-01
63,3.121665378028750104e-01
64,4.707433464900336040e-02
65,-2.310964052007354608e-01
66,7.858272537461932772e-02
67,8.489739869107441883e-02
68,-1.824730594062797251e-01
69,9.584478024534696938e-02
70,2.385883810237609814e-01
71,-2.662816771375392522e-01
72,-2.314247270683381374e-01
73,3.766749380064127184e-01
74,1.609367854398797704e-01
75,-3.853508976016288279e-01
76,-4.437781746494016272e-02
77,2.730463393830953045e-01
78,-8.595849199754963810e-02
79,-5.536798883755946615e-02
80,1.894409043675155113e-01
81,-2.108227323151758703e-01
82,-2.277671146265423385e-01
83,4.318756523248210577e-01
84,1.781789678093396168e-01
85,-4.975729141779196008e-01
86,-4.688055181050154729e-02
87,3.215711793969154852e-01
88,-1.204915371596226026e-01
89,9.454002998496327526e-02
90,2.350494901678507054e-01
91,-5.718843184173308947e-01
92,-1.713772634316647892e-01
93,6.402788583722528459e-01
94,-2.115854580089969739e-01
95,5.970323429051830333e-01
