freq_hz,h_db,phase_rad
3500000000.000000,0.385545101,-33.552647540181
3501000000.000000,0.390103627,-33.569229218828
3502000000.000000,0.388335144,-33.575408746882
3503000000.000000,0.411742411,-33.590974181003
3504000000.000000,0.370056173,-33.596888433250
3505000000.000000,0.389723039,-33.602319026760
3506000000.000000,0.378267416,-33.612382537876
3507000000.000000,0.384897054,-33.620947298254
3508000000.000000,0.369610607,-33.630634217118
3509000000.000000,0.363948630,-33.637130508778
3510000000.000000,0.358643051,-33.658280698055
3511000000.000000,0.381527957,-33.661635929192
3512000000.000000,0.359485517,-33.669509260904
3513000000.000000,0.365130939,-33.683830246193
3514000000.000000,0.348838602,-33.693177202953
3515000000.000000,0.353846978,-33.702054735572
3516000000.000000,0.354219621,-33.721315677712
3517000000.000000,0.379389740,-33.723083437158
3518000000.000000,0.346440227,-33.737380533440
3519000000.000000,0.344266768,-33.734426511078
3520000000.000000,0.334339359,-33.750344368573
3521000000.000000,0.352910279,-33.761064934314
3522000000.000000,0.323927543,-33.770138389930
3523000000.000000,0.320546411,-33.784918382299
3524000000.000000,0.321070052,-33.790249002602
3525000000.000000,0.316487500,-33.795705797377
3526000000.000000,0.321173580,-33.809360811040
3527000000.000000,0.302954152,-33.818454352340
3528000000.000000,0.299820389,-33.820705765065
3529000000.000000,0.307630077,-33.836481755498
3530000000.000000,0.307521184,-33.844879649310
3531000000.000000,0.314253072,-33.848458450335
3532000000.000000,0.295837769,-33.862602932037
3533000000.000000,0.294224839,-33.869033236121
3534000000.000000,0.293877858,-33.880990203388
3535000000.000000,0.292222115,-33.893174420875
3536000000.000000,0.295793278,-33.907115539368
3537000000.000000,0.257978061,-33.911150733491
3538000000.000000,0.282513694,-33.922747799382
3539000000.000000,0.268421081,-33.931124119640
3540000000.000000,0.264366940,-33.939266360287
3541000000.000000,0.259884767,-33.945288436138
3542000000.000000,0.268320112,-33.959983187286
3543000000.000000,0.247414499,-33.969143396825
3544000000.000000,0.244932981,-33.978151013801
3545000000.000000,0.265245013,-33.988715322888
3546000000.000000,0.245134451,-33.992204876956
3547000000.000000,0.246635045,-34.007362134347
3548000000.000000,0.247277721,-34.010202999250
3549000000.000000,0.233482322,-34.019757787186
3550000000.000000,0.234840983,-34.030834502679
3551000000.000000,0.244274976,-34.035977381421
3552000000.000000,0.221875094,-34.054548141895
3553000000.000000,0.215546963,-34.052292842867
3554000000.000000,0.206624766,-34.066409788966
3555000000.000000,0.195111605,-34.077093135740
3556000000.000000,0.189037771,-34.084746498088
3557000000.000000,0.197832243,-34.090437083288
3558000000.000000,0.185507347,-34.104737986330
3559000000.000000,0.179280281,-34.114289778386
3560000000.000000,0.186995608,-34.123096520134
3561000000.000000,0.178977644,-34.128673840208
3562000000.000000,0.163484446,-34.138570739066
3563000000.000000,0.172030295,-34.146065306501
3564000000.000000,0.174336264,-34.149589108454
3565000000.000000,0.160114140,-34.161989229764
3566000000.000000,0.169186889,-34.171304371070
3567000000.000000,0.148007316,-34.182111629339
3568000000.000000,0.148582588,-34.197553992952
3569000000.000000,0.151986124,-34.203228166189
3570000000.000000,0.157070928,-34.212800481404
3571000000.000000,0.130327178,-34.224636967260
3572000000.000000,0.147729774,-34.223669998540
3573000000.000000,0.123429191,-34.237903710104
3574000000.000000,0.135891322,-34.248795848297
3575000000.000000,0.133347125,-34.254913099148
3576000000.000000,0.121355517,-34.268099052470
3577000000.000000,0.113738385,-34.270674261195
3578000000.000000,0.101294044,-34.280446264841
3579000000.000000,0.114563368,-34.284850322205
3580000000.000000,0.092685139,-34.300615485090
3581000000.000000,0.111766829,-34.305570971917
3582000000.000000,0.099320028,-34.315115931864
3583000000.000000,0.098002406,-34.328088510292
3584000000.000000,0.109891195,-34.330254634027
3585000000.000000,0.083891178,-34.341496686434
3586000000.000000,0.087311897,-34.355434450550
3587000000.000000,0.094302890,-34.358586579356
3588000000.000000,0.063510981,-34.374047407379
3589000000.000000,0.076308885,-34.379935051230
3590000000.000000,0.075206652,-34.391195168590
3591000000.000000,0.056876786,-34.399458151585
3592000000.000000,0.054734959,-34.407319838356
3593000000.000000,0.046984997,-34.417347113676
3594000000.000000,0.045303467,-34.422327615563
3595000000.000000,0.041254529,-34.429730952805
3596000000.000000,0.042456831,-34.434108080571
3597000000.000000,0.039190590,-34.450998317439
3598000000.000000,0.044076475,-34.456753852517
3599000000.000000,0.055318316,-34.464727677861
3600000000.000000,0.037307265,-34.480875274223
3601000000.000000,0.041130615,-34.475477311961
3602000000.000000,0.031714462,-34.498680030174
3603000000.000000,0.028585077,-34.499934397847
3604000000.000000,0.041998470,-34.509973638850
3605000000.000000,0.045079698,-34.522556581166
3606000000.000000,0.019404789,-34.528740896137
3607000000.000000,0.025176006,-34.534910999908
3608000000.000000,0.002018566,-34.549972255373
3609000000.000000,0.006572680,-34.557892780477
3610000000.000000,0.005641941,-34.561303679058
3611000000.000000,0.017988899,-34.575541801768
3612000000.000000,0.013313955,-34.580445124915
3613000000.000000,-0.005246800,-34.581818868987
3614000000.000000,-0.005179258,-34.604028011888
3615000000.000000,0.022775649,-34.612270031147
3616000000.000000,-0.012625905,-34.619020316778
3617000000.000000,-0.011631957,-34.627952204292
3618000000.000000,-0.004798041,-34.633199925039
3619000000.000000,0.014757704,-34.646557444153
3620000000.000000,0.003196523,-34.653336654205
3621000000.000000,0.015093102,-34.664512580400
3622000000.000000,-0.023565465,-34.674772549884
3623000000.000000,-0.022306703,-34.681804651953
3624000000.000000,-0.011148135,-34.692044512040
3625000000.000000,-0.013105759,-34.697742490982
3626000000.000000,-0.029106726,-34.713129196432
3627000000.000000,-0.010532899,-34.713254904405
3628000000.000000,-0.021766216,-34.725035231840
3629000000.000000,-0.020878766,-34.728075676002
3630000000.000000,-0.025068859,-34.742494869481
3631000000.000000,-0.042797494,-34.753401533915
3632000000.000000,-0.002390482,-34.763033460012
3633000000.000000,-0.033510430,-34.773131216830
3634000000.000000,-0.022376386,-34.777652851652
3635000000.000000,-0.031784420,-34.794186849421
3636000000.000000,-0.018587187,-34.798025275145
3637000000.000000,-0.034838360,-34.806456960634
3638000000.000000,-0.020228560,-34.815182816112
3639000000.000000,-0.043439221,-34.824582069320
3640000000.000000,-0.021296192,-34.829005611780
3641000000.000000,-0.038408400,-34.842567761854
3642000000.000000,-0.042433800,-34.858660466688
3643000000.000000,-0.034092578,-34.863493608747
3644000000.000000,-0.046770251,-34.873327520779
3645000000.000000,-0.035976595,-34.875574400541
3646000000.000000,-0.045555285,-34.885552694744
3647000000.000000,-0.042061043,-34.902608686345
