freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3500000000.000000,0.385545101,-0.385545101,-0.350812715,-0.350085370,-1.178097245096,-1.178097245096,0.034732386,0.035459731
3501000000.000000,0.390103627,-0.390103627,-0.352717943,-0.352045553,-1.194590606528,-1.194590606528,0.037385684,0.038058074
3502000000.000000,0.388335144,-0.388335144,-0.354406435,-0.353789056,-1.211083967959,-1.211083967959,0.033928709,0.034546088
3503000000.000000,0.411742411,-0.411742411,-0.355880529,-0.355318202,-1.227577329390,-1.227577329390,0.055861882,0.056424209
3504000000.000000,0.370056173,-0.370056173,-0.357142669,-0.356635422,-1.244070690822,-1.244070690822,0.012913504,0.013420751
3505000000.000000,0.389723039,-0.389723039,-0.358195399,-0.357743248,-1.260564052253,-1.260564052253,0.031527640,0.031979791
3506000000.000000,0.378267416,-0.378267416,-0.359041363,-0.358644311,-1.277057413684,-1.277057413684,0.019226053,0.019623105
3507000000.000000,0.384897054,-0.384897054,-0.359683299,-0.359341338,-1.293550775116,-1.293550775116,0.025213755,0.025555716
3508000000.000000,0.369610607,-0.369610607,-0.360124038,-0.359837147,-1.310044136547,-1.310044136547,0.009486569,0.009773460
3509000000.000000,0.363948630,-0.363948630,-0.360366498,-0.360134643,-1.326537497978,-1.326537497978,0.003582132,0.003813987
3510000000.000000,0.358643051,-0.358643051,-0.360413681,-0.360236816,-1.343030859410,-1.343030859410,-0.001770630,-0.001593765
3511000000.000000,0.381527957,-0.381527957,-0.360268670,-0.360146738,-1.359524220841,-1.359524220841,0.021259287,0.021381219
3512000000.000000,0.359485517,-0.359485517,-0.359934625,-0.359867557,-1.376017582272,-1.376017582272,-0.000449108,-0.000382040
3513000000.000000,0.365130939,-0.365130939,-0.359414781,-0.359402496,-1.392510943704,-1.392510943704,0.005716158,0.005728443
3514000000.000000,0.348838602,-0.348838602,-0.358712441,-0.358754846,-1.409004305135,-1.409004305135,-0.009873839,-0.009916244
3515000000.000000,0.353846978,-0.353846978,-0.357830976,-0.357927966,-1.425497666566,-1.425497666566,-0.003983998,-0.004080988
3516000000.000000,0.354219621,-0.354219621,-0.356773818,-0.356925279,-1.441991027998,-1.441991027998,-0.002554197,-0.002705658
3517000000.000000,0.379389740,-0.379389740,-0.355544462,-0.355750265,-1.458484389429,-1.458484389429,0.023845278,0.023639475
3518000000.000000,0.346440227,-0.346440227,-0.354146455,-0.354406464,-1.474977750860,-1.474977750860,-0.007706228,-0.007966237
3519000000.000000,0.344266768,-0.344266768,-0.352583398,-0.352897464,-1.491471112292,-1.491471112292,-0.008316630,-0.008630696
3520000000.000000,0.334339359,-0.334339359,-0.350858943,-0.351226906,-1.507964473723,-1.507964473723,-0.016519584,-0.016887547
3521000000.000000,0.352910279,-0.352910279,-0.348976785,-0.349398475,-1.524457835154,-1.524457835154,0.003933494,0.003511804
3522000000.000000,0.323927543,-0.323927543,-0.346940662,-0.347415899,-1.540951196586,-1.540951196586,-0.023013119,-0.023488356
3523000000.000000,0.320546411,-0.320546411,-0.344754351,-0.345282944,-1.557444558017,-1.557444558017,-0.024207940,-0.024736533
3524000000.000000,0.321070052,-0.321070052,-0.342421666,-0.343003413,-1.573937919448,-1.573937919448,-0.021351614,-0.021933361
3525000000.000000,0.316487500,-0.316487500,-0.339946450,-0.340581141,-1.590431280880,-1.590431280880,-0.023458950,-0.024093641
3526000000.000000,0.321173580,-0.321173580,-0.337332578,-0.338019993,-1.606924642311,-1.606924642311,-0.016158998,-0.016846413
3527000000.000000,0.302954152,-0.302954152,-0.334583950,-0.335323860,-1.623418003743,-1.623418003743,-0.031629798,-0.032369708
3528000000.000000,0.299820389,-0.299820389,-0.331704490,-0.332496654,-1.639911365174,-1.639911365174,-0.031884101,-0.032676265
3529000000.000000,0.307630077,-0.307630077,-0.328698139,-0.329542309,-1.656404726605,-1.656404726605,-0.021068062,-0.021912232
3530000000.000000,0.307521184,-0.307521184,-0.325568856,-0.326464775,-1.672898088037,-1.672898088037,-0.018047672,-0.018943591
3531000000.000000,0.314253072,-0.314253072,-0.322320616,-0.323268018,-1.689391449468,-1.689391449468,-0.008067544,-0.009014946
3532000000.000000,0.295837769,-0.295837769,-0.318957401,-0.319956010,-1.705884810899,-1.705884810899,-0.023119632,-0.024118241
3533000000.000000,0.294224839,-0.294224839,-0.315483202,-0.316532737,-1.722378172331,-1.722378172331,-0.021258363,-0.022307898
3534000000.000000,0.293877858,-0.293877858,-0.311902017,-0.313002185,-1.738871533762,-1.738871533762,-0.018024159,-0.019124327
3535000000.000000,0.292222115,-0.292222115,-0.308217844,-0.309368346,-1.755364895193,-1.755364895193,-0.015995729,-0.017146231
3536000000.000000,0.295793278,-0.295793278,-0.304434681,-0.305635210,-1.771858256625,-1.771858256625,-0.008641403,-0.009841932
3537000000.000000,0.257978061,-0.257978061,-0.300556523,-0.301806765,-1.788351618056,-1.788351618056,-0.042578462,-0.043828704
3538000000.000000,0.282513694,-0.282513694,-0.296587361,-0.297886993,-1.804844979487,-1.804844979487,-0.014073667,-0.015373299
3539000000.000000,0.268421081,-0.268421081,-0.292531174,-0.293879867,-1.821338340919,-1.821338340919,-0.024110093,-0.025458786
3540000000.000000,0.264366940,-0.264366940,-0.288391934,-0.289789351,-1.837831702350,-1.837831702350,-0.024024994,-0.025422411
3541000000.000000,0.259884767,-0.259884767,-0.284173597,-0.285619395,-1.854325063781,-1.854325063781,-0.024288830,-0.025734628
3542000000.000000,0.268320112,-0.268320112,-0.279880105,-0.281373934,-1.870818425213,-1.870818425213,-0.011559993,-0.013053822
3543000000.000000,0.247414499,-0.247414499,-0.275515382,-0.277056887,-1.887311786644,-1.887311786644,-0.028100883,-0.029642388
3544000000.000000,0.244932981,-0.244932981,-0.271083331,-0.272672149,-1.903805148075,-1.903805148075,-0.026150350,-0.027739168
3545000000.000000,0.265245013,-0.265245013,-0.266587835,-0.268223596,-1.920298509507,-1.920298509507,-0.001342822,-0.002978583
3546000000.000000,0.245134451,-0.245134451,-0.262032751,-0.263715081,-1.936791870938,-1.936791870938,-0.016898300,-0.018580630
3547000000.000000,0.246635045,-0.246635045,-0.257421908,-0.259150427,-1.953285232369,-1.953285232369,-0.010786863,-0.012515382
3548000000.000000,0.247277721,-0.247277721,-0.252759110,-0.254533433,-1.969778593801,-1.969778593801,-0.005481389,-0.007255712
3549000000.000000,0.233482322,-0.233482322,-0.248048128,-0.249867863,-1.986271955232,-1.986271955232,-0.014565806,-0.016385541
3550000000.000000,0.234840983,-0.234840983,-0.243292703,-0.245157455,-2.002765316663,-2.002765316663,-0.008451720,-0.010316472
3551000000.000000,0.244274976,-0.244274976,-0.238496540,-0.240405907,-2.019258678095,-2.019258678095,0.005778436,0.003869069
3552000000.000000,0.221875094,-0.221875094,-0.233663309,-0.235616886,-2.035752039526,-2.035752039526,-0.011788215,-0.013741792
3553000000.000000,0.215546963,-0.215546963,-0.228796644,-0.230794020,-2.052245400958,-2.052245400958,-0.013249681,-0.015247057
3554000000.000000,0.206624766,-0.206624766,-0.223900138,-0.225940898,-2.068738762389,-2.068738762389,-0.017275372,-0.019316132
3555000000.000000,0.195111605,-0.195111605,-0.218977345,-0.221061070,-2.085232123820,-2.085232123820,-0.023865740,-0.025949465
3556000000.000000,0.189037771,-0.189037771,-0.214031775,-0.216158042,-2.101725485252,-2.101725485252,-0.024994004,-0.027120271
3557000000.000000,0.197832243,-0.197832243,-0.209066896,-0.211235279,-2.118218846683,-2.118218846683,-0.011234653,-0.013403036
3558000000.000000,0.185507347,-0.185507347,-0.204086132,-0.206296200,-2.134712208114,-2.134712208114,-0.018578785,-0.020788853
3559000000.000000,0.179280281,-0.179280281,-0.199092859,-0.201344177,-2.151205569546,-2.151205569546,-0.019812578,-0.022063896
3560000000.000000,0.186995608,-0.186995608,-0.194090406,-0.196382537,-2.167698930977,-2.167698930977,-0.007094798,-0.009386929
3561000000.000000,0.178977644,-0.178977644,-0.189082055,-0.191414557,-2.184192292408,-2.184192292408,-0.010104411,-0.012436913
3562000000.000000,0.163484446,-0.163484446,-0.184071035,-0.186443465,-2.200685653840,-2.200685653840,-0.020586589,-0.022959019
3563000000.000000,0.172030295,-0.172030295,-0.179060527,-0.181472438,-2.217179015271,-2.217179015271,-0.007030232,-0.009442143
3564000000.000000,0.174336264,-0.174336264,-0.174053659,-0.176504601,-2.233672376702,-2.233672376702,0.000282605,-0.002168337
3565000000.000000,0.160114140,-0.160114140,-0.169053506,-0.171543027,-2.250165738134,-2.250165738134,-0.008939366,-0.011428887
3566000000.000000,0.169186889,-0.169186889,-0.164063090,-0.166590736,-2.266659099565,-2.266659099565,0.005123799,0.002596153
3567000000.000000,0.148007316,-0.148007316,-0.159085378,-0.161650690,-2.283152460996,-2.283152460996,-0.011078062,-0.013643374
3568000000.000000,0.148582588,-0.148582588,-0.154123280,-0.156725800,-2.299645822428,-2.299645822428,-0.005540692,-0.008143212
3569000000.000000,0.151986124,-0.151986124,-0.149179652,-0.151818919,-2.316139183859,-2.316139183859,0.002806472,0.000167205
3570000000.000000,0.157070928,-0.157070928,-0.144257291,-0.146932841,-2.332632545290,-2.332632545290,0.012813637,0.010138087
3571000000.000000,0.130327178,-0.130327178,-0.139358938,-0.142070307,-2.349125906722,-2.349125906722,-0.009031760,-0.011743129
3572000000.000000,0.147729774,-0.147729774,-0.134487275,-0.137233995,-2.365619268153,-2.365619268153,0.013242499,0.010495779
3573000000.000000,0.123429191,-0.123429191,-0.129644925,-0.132426528,-2.382112629584,-2.382112629584,-0.006215734,-0.008997337
3574000000.000000,0.135891322,-0.135891322,-0.124834450,-0.127650467,-2.398605991016,-2.398605991016,0.011056872,0.008240855
3575000000.000000,0.133347125,-0.133347125,-0.120058356,-0.122908316,-2.415099352447,-2.415099352447,0.013288769,0.010438809
3576000000.000000,0.121355517,-0.121355517,-0.115319085,-0.118202515,-2.431592713879,-2.431592713879,0.006036432,0.003153002
3577000000.000000,0.113738385,-0.113738385,-0.110619020,-0.113535448,-2.448086075310,-2.448086075310,0.003119365,0.000202937
3578000000.000000,0.101294044,-0.101294044,-0.105960481,-0.108909433,-2.464579436741,-2.464579436741,-0.004666437,-0.007615389
3579000000.000000,0.114563368,-0.114563368,-0.101345730,-0.104326731,-2.481072798173,-2.481072798173,0.013217638,0.010236637
3580000000.000000,0.092685139,-0.092685139,-0.096776964,-0.099789538,-2.497566159604,-2.497566159604,-0.004091825,-0.007104399
3581000000.000000,0.111766829,-0.111766829,-0.092256319,-0.095299990,-2.514059521035,-2.514059521035,0.019510510,0.016466839
3582000000.000000,0.099320028,-0.099320028,-0.087785870,-0.090860162,-2.530552882467,-2.530552882467,0.011534158,0.008459866
3583000000.000000,0.098002406,-0.098002406,-0.083367627,-0.086472063,-2.547046243898,-2.547046243898,0.014634779,0.011530343
3584000000.000000,0.109891195,-0.109891195,-0.079003541,-0.082137643,-2.563539605329,-2.563539605329,0.030887654,0.027753552
3585000000.000000,0.083891178,-0.083891178,-0.074695497,-0.077858788,-2.580032966761,-2.580032966761,0.009195681,0.006032390
3586000000.000000,0.087311897,-0.087311897,-0.070445320,-0.073637322,-2.596526328192,-2.596526328192,0.016866577,0.013674575
3587000000.000000,0.094302890,-0.094302890,-0.066254770,-0.069475006,-2.613019689623,-2.613019689623,0.028048120,0.024827884
3588000000.000000,0.063510981,-0.063510981,-0.062125547,-0.065373539,-2.629513051055,-2.629513051055,0.001385434,-0.001862558
3589000000.000000,0.076308885,-0.076308885,-0.058059286,-0.061334557,-2.646006412486,-2.646006412486,0.018249599,0.014974328
3590000000.000000,0.075206652,-0.075206652,-0.054057561,-0.057359634,-2.662499773917,-2.662499773917,0.021149091,0.017847018
3591000000.000000,0.056876786,-0.056876786,-0.050121882,-0.053450280,-2.678993135349,-2.678993135349,0.006754904,0.003426506
3592000000.000000,0.054734959,-0.054734959,-0.046253698,-0.049607945,-2.695486496780,-2.695486496780,0.008481261,0.005127014
3593000000.000000,0.046984997,-0.046984997,-0.042454395,-0.045834016,-2.711979858211,-2.711979858211,0.004530602,0.001150981
3594000000.000000,0.045303467,-0.045303467,-0.038725298,-0.042129818,-2.728473219643,-2.728473219643,0.006578169,0.003173649
3595000000.000000,0.041254529,-0.041254529,-0.035067670,-0.038496613,-2.744966581074,-2.744966581074,0.006186859,0.002757916
3596000000.000000,0.042456831,-0.042456831,-0.031482711,-0.034935604,-2.761459942505,-2.761459942505,0.010974120,0.007521227
3597000000.000000,0.039190590,-0.039190590,-0.027971561,-0.031447931,-2.777953303937,-2.777953303937,0.011219029,0.007742659
3598000000.000000,0.044076475,-0.044076475,-0.024535298,-0.028034674,-2.794446665368,-2.794446665368,0.019541177,0.016041801
3599000000.000000,0.055318316,-0.055318316,-0.021174942,-0.024696851,-2.810940026799,-2.810940026799,0.034143374,0.030621465
3600000000.000000,0.037307265,-0.037307265,-0.017891449,-0.021435422,-2.827433388231,-2.827433388231,0.019415816,0.015871843
