subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,-3.904253304380e+01,3.904253304380e+01,-4.175034567200e+01,3.921196534275e+01,-4.051539944076e+01,3.796982627852e+01,-4.051574804088e+01,3.797001075306e+01
1,19389,3550231933.593750,1.171275991314e+02,-1.952126652190e+02,1.279644339600e+02,-1.985413884747e+02,1.242739070679e+02,-1.923588300125e+02,1.242750009111e+02,-1.923597344171e+02
2,19390,3550415039.062500,-1.171275991314e+02,1.952126652190e+02,-1.281394374699e+02,1.984844189027e+02,-1.244560844077e+02,1.923228294826e+02,-1.244570620177e+02,1.923235521594e+02
3,19391,3550598144.531250,3.904253304380e+01,-1.952126652190e+02,4.730973511070e+01,-2.011502538315e+02,4.608839600119e+01,-1.950120793637e+02,4.608894603701e+01,-1.950127784551e+02
4,19392,3550781250.000000,1.171275991314e+02,-2.732977313066e+02,1.312739307340e+02,-2.793887530195e+02,1.276059434941e+02,-2.708218557853e+02,1.276068436335e+02,-2.708224535007e+02
5,19393,3550964355.468750,1.171275991314e+02,3.904253304380e+01,1.201260101491e+02,4.478553557154e+01,1.164666072213e+02,4.356456691294e+01,1.164667762390e+02,4.356487825313e+01
6,19394,3551147460.937500,1.171275991314e+02,-2.732977313066e+02,1.311229371689e+02,-2.794111039419e+02,1.274854012992e+02,-2.708986676997e+02,1.274860624105e+02,-2.708987584458e+02
7,19395,3551330566.406250,-3.904253304380e+01,2.732977313066e+02,-4.960974093547e+01,2.821087731809e+02,-4.842322933059e+01,2.736287035800e+02,-4.842375428557e+01,2.736286897718e+02
8,19396,3551513671.875000,-2.732977313066e+02,1.171275991314e+02,-2.869939921682e+02,1.127765464411e+02,-2.785664901976e+02,1.091177091711e+02,-2.785665123969e+02,1.091171173742e+02
9,19397,3551696777.343750,-2.732977313066e+02,-1.171275991314e+02,-2.796819129871e+02,-1.295080992857e+02,-2.712459036598e+02,-1.259577241231e+02,-2.712452387554e+02,-1.259580316052e+02
10,19398,3551879882.812500,-1.171275991314e+02,-3.904253304380e+01,-1.202141936935e+02,-4.371963613332e+01,-1.166126141433e+02,-4.255247432575e+01,-1.166122415775e+02,-4.255258533035e+01
11,19399,3552062988.281250,-1.952126652190e+02,1.171275991314e+02,-2.053457921116e+02,1.158759233293e+02,-1.994138091928e+02,1.122447333558e+02,-1.994133328146e+02,1.122439744574e+02
12,19400,3552246093.750000,-2.732977313066e+02,1.171275991314e+02,-2.863911820555e+02,1.131009842573e+02,-2.780955947032e+02,1.094778488060e+02,-2.780945848167e+02,1.094768509694e+02
13,19401,3552429199.218750,-1.171275991314e+02,-2.732977313066e+02,-1.124820424876e+02,-2.865907223267e+02,-1.088880413561e+02,-2.783171460525e+02,-1.088869449896e+02,-2.783158767275e+02
14,19402,3552612304.687500,1.952126652190e+02,2.732977313066e+02,1.926596851291e+02,2.894553894959e+02,1.867342022166e+02,2.812108500835e+02,1.867325161076e+02,2.812094513339e+02
15,19403,3552795410.156250,2.732977313066e+02,-3.904253304380e+01,2.841494007941e+02,-3.046280168599e+01,2.759179660149e+02,-2.927893267815e+01,2.759160516248e+02,-2.927820806889e+01
16,19404,3552978515.625000,3.904253304380e+01,-2.732977313066e+02,5.090361942745e+01,-2.811687979945e+02,4.972325064596e+01,-2.729667893131e+02,4.972336019181e+01,-2.729644972244e+02
