metric,value
input_csv,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\full_combined_20260605_090952\l1_09_fix_group_delay\group_delay_analysis.csv
design_model,fs_based_time_domain_iir
fs_hz,12000000000.000000
section_count,8
target_delay_ns,9.813229332
target_margin_ns,0.087111678
smooth_window,31
original_group_delay_ripple_pp_ns,2.994723831
original_group_delay_rms_around_mean_ns,0.467371597
compensated_group_delay_ripple_pp_ns,2.108406025
compensated_group_delay_rms_to_target_ns,0.364910258
optimizer_cost,1.074328017773e+00
optimizer_success,True
optimizer_message,`ftol` termination condition is satisfied.
