freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
3500000000.000000,1.832595714594,-34.730744785277,-0.195160041493,-34.925904826770,5.264056122,5.109035530,10.373091652,9.813229332
3501000000.000000,1.833119313370,-34.763819825356,-0.227261058472,-34.991080883828,4.436279279,5.123901662,9.560180941,9.813229332
3502000000.000000,1.833642912145,-34.786492714841,-0.259548888771,-35.046041603612,4.355409109,5.153393892,9.508803001,9.813229332
3503000000.000000,1.834166510921,-34.818551510393,-0.292020516035,-35.110572026428,4.334299131,5.182395983,9.516695114,9.813229332
3504000000.000000,1.834690109696,-34.840959124072,-0.324672797358,-35.165631921430,3.527794140,5.210888018,8.738682158,9.813229332
3505000000.000000,1.835213708472,-34.862883079013,-0.357502466101,-35.220385545114,3.857981670,5.238850560,9.096832230,9.813229332
3506000000.000000,1.835737307248,-34.889439951560,-0.390506135091,-35.279946086651,4.107390745,5.266264709,9.373655454,9.813229332
3507000000.000000,1.836260906023,-34.914498073370,-0.423680300189,-35.338178373559,4.077422486,5.293112163,9.370534649,9.813229332
3508000000.000000,1.836784504799,-34.940678353665,-0.457021344236,-35.397699697901,3.912818975,5.319375278,9.232194253,9.813229332
3509000000.000000,1.837308103574,-34.963668006756,-0.490525541373,-35.454193548129,4.825037050,5.345037126,10.170074176,9.813229332
3510000000.000000,1.837831702350,-35.001311557465,-0.524189061709,-35.525500619174,4.575079396,5.370081550,9.945160946,9.813229332
3511000000.000000,1.838355301126,-35.021160150033,-0.558007976359,-35.579168126392,3.518540641,5.394493222,8.913033863,9.813229332
3512000000.000000,1.838878899901,-35.045526843176,-0.591978262818,-35.637505105994,4.391167630,5.418257697,9.809425327,9.813229332
3513000000.000000,1.839402498677,-35.076341189897,-0.626095810662,-35.702437000559,4.508434985,5.441361460,9.949796445,9.813229332
3514000000.000000,1.839926097452,-35.102181508088,-0.660356427577,-35.762537935665,4.075258785,5.463791982,9.539050767,9.813229332
3515000000.000000,1.840449696228,-35.127552402138,-0.694755845670,-35.822308247808,4.864188675,5.485537759,10.349726434,9.813229332
3516000000.000000,1.840973295004,-35.163306705710,-0.729289728080,-35.892596433790,4.298410902,5.506588361,9.804999263,9.813229332
3517000000.000000,1.841496893779,-35.181567826587,-0.763953675835,-35.945521502422,3.903400600,5.526934467,9.430335067,9.813229332
3518000000.000000,1.842020492555,-35.212358284300,-0.798743234951,-36.011101519251,3.527653142,5.546567904,9.074221046,9.813229332
3519000000.000000,1.842544091330,-35.225897623370,-0.833653903749,-36.059551527119,3.656629221,5.565481678,9.222110899,9.813229332
3520000000.000000,1.843067690106,-35.258308842296,-0.868681140359,-36.126989982655,4.744818367,5.583670002,10.328488369,9.813229332
3521000000.000000,1.843591288882,-35.285522769468,-0.903820370383,-36.189343139851,4.200158171,5.601128321,9.801286492,9.813229332
3522000000.000000,1.844114887657,-35.311089586516,-0.939066994698,-36.250156581214,4.523197078,5.617853328,10.141050406,9.813229332
3523000000.000000,1.844638486433,-35.342362940316,-0.974416397363,-36.316779337679,4.225351708,5.633842983,9.859194691,9.813229332
3524000000.000000,1.845162085208,-35.364186922050,-1.009863953602,-36.374050875652,3.483435216,5.649096517,9.132531733,9.813229332
3525000000.000000,1.845685683984,-35.386137078257,-1.045405037836,-36.431542116093,4.145869392,5.663614444,9.809483836,9.813229332
3526000000.000000,1.846209282760,-35.416285453351,-1.081035031726,-36.497320485077,4.435272485,5.677398555,10.112671040,9.813229332
3527000000.000000,1.846732881535,-35.441872356083,-1.116749332207,-36.558621688290,3.527802756,5.690451917,9.218254673,9.813229332
3528000000.000000,1.847256480311,-35.460617130239,-1.152543359475,-36.613160489714,4.059575162,5.702778860,9.762354022,9.813229332
3529000000.000000,1.847780079086,-35.492886482103,-1.188412564896,-36.681299046999,4.548696586,5.714384968,10.263081554,9.813229332
3530000000.000000,1.848303677862,-35.517777737347,-1.224352438813,-36.742130176160,3.578075093,5.725277053,9.303352146,9.813229332
3531000000.000000,1.848827276638,-35.537849899803,-1.260358518214,-36.798208418017,4.035374027,5.735463137,9.770837164,9.813229332
3532000000.000000,1.849350875413,-35.568487742936,-1.296426394242,-36.864914137178,4.262289430,5.744952422,10.007241852,9.813229332
3533000000.000000,1.849874474189,-35.591411408452,-1.332551719508,-36.923963127960,4.088212563,5.753755254,9.841967817,9.813229332
3534000000.000000,1.850398072964,-35.619861737150,-1.368730215193,-36.988591952343,4.546094443,5.761883094,10.307977537,9.813229332
3535000000.000000,1.850921671740,-35.648539316068,-1.404957677902,-37.053496993970,4.703988181,5.769348469,10.473336650,9.813229332
3536000000.000000,1.851445270516,-35.678973795993,-1.441229986257,-37.120203782250,4.055509506,5.776164935,9.831674441,9.813229332
3537000000.000000,1.851968869291,-35.699502351547,-1.477543107204,-37.177045458751,3.868975726,5.782347026,9.651322752,9.813229332
3538000000.000000,1.852492468067,-35.727592778869,-1.513893102004,-37.241485880873,4.214431568,5.787910204,10.002341772,9.813229332
3539000000.000000,1.853016066842,-35.752462460559,-1.550276131912,-37.302738592471,3.939505310,5.792870808,9.732376118,9.813229332
