tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
0,-6.003517960711287e-01,1.291218217525666e+00,1.423961644257312e+00,2.006012815351130e+00
1,6.171982808285755e-01,8.889993055472962e-01,1.082244650308480e+00,9.639318768396501e-01
2,-1.275188361540310e+00,1.131793249262636e-01,1.280201123651524e+00,3.053069626669406e+00
3,2.410578593286366e-01,-5.345941477723095e-01,5.864297011377465e-01,-1.147179664730754e+00
4,-1.099379283904240e-01,-1.732549500161150e-01,2.051916806399921e-01,-2.136229485850655e+00
5,7.246741596360167e-01,-5.671077635013255e-02,7.268897783009483e-01,-7.809776401004501e-02
6,-3.741481578351858e-01,8.001923345067375e-01,8.833428644726835e-01,2.008167302905898e+00
7,-4.236976403681598e-01,-5.951455021383285e-01,7.305599627470901e-01,-2.189479417751500e+00
8,3.884547982263830e-01,-4.511860808530452e-02,3.910662591692809e-01,-1.156308094112665e-01
9,1.396520831735432e-02,2.494832555870620e-03,1.418630441055507e-02,1.767813962878034e-01
10,1.874052287112602e-01,2.901868465634212e-01,3.454404806428197e-01,9.973730899373455e-01
11,-5.637991111263281e-01,4.031506143586314e-02,5.652386592276001e-01,3.070208079234612e+00
12,2.715643728660028e-01,-5.758167260563601e-01,6.366412731015565e-01,-1.130112661123825e+00
13,3.295745405770075e-01,4.631007794423716e-01,5.684027706799798e-01,9.522815721914755e-01
14,-3.919936472123370e-01,4.526356417394281e-02,3.945982890187928e-01,3.026631640882783e+00
15,5.434299628584262e-02,-1.536588019491317e-01,1.629852406255413e-01,-1.230864515525088e+00
16,-3.050090207364499e-02,-7.448971492956634e-02,8.049237639425326e-02,-1.959435129137973e+00
17,2.848543324100990e-01,-8.146530163173682e-03,2.849707996383185e-01,-2.859114049833324e-02
18,-1.910516829910143e-01,3.795020369260436e-01,4.248794436127914e-01,2.037182009362946e+00
19,-2.717954843856850e-01,-3.995995369805140e-01,4.832727752392952e-01,-2.168088995949017e+00
20,4.574344015613783e-01,-4.093497802488269e-02,4.592623478554647e-01,-8.925045638997051e-02
21,-1.465014704799287e-01,3.342014257138345e-01,3.649017317058676e-01,1.983930719450671e+00
22,-1.390271477576439e-01,-1.725200178428886e-01,2.215664784441373e-01,-2.249100823740103e+00
23,5.219518616966727e-02,-2.396624846084943e-02,5.743447157042009e-02,-4.304500756738113e-01
24,6.533368120918068e-02,-9.045418818136068e-02,1.115815847704802e-01,-9.452701907480894e-01
25,1.254069362813469e-01,2.133558923437559e-01,2.474825983079905e-01,1.039408454251639e+00
26,-3.401109841888466e-01,1.421046824690389e-02,3.404077246093310e-01,3.099835085104981e+00
27,1.688691513251331e-01,-3.407034032587593e-01,3.802572803528835e-01,-1.110635925167162e+00
28,2.086734399905885e-01,3.001746865526579e-01,3.655809718851518e-01,9.633170810283159e-01
29,-3.005991386284026e-01,3.325623863429954e-02,3.024331654303791e-01,3.031407559755389e+00
30,7.250643423529096e-02,-1.894641776578088e-01,2.028641358670041e-01,-1.205299055472727e+00
31,6.302515602630927e-02,5.503724176496413e-02,8.367358169240600e-02,7.178427086099737e-01
32,4.579488053377741e-02,1.936223090657300e-02,4.971988604957171e-02,4.000086319834844e-01
33,-8.768764521850497e-02,1.322356975890016e-01,1.586675859803013e-01,2.156336948085864e+00
34,-1.229399813931313e-01,-2.120443344478292e-01,2.451061786172807e-01,-2.096218720441462e+00
35,2.967956714839937e-01,-1.032528444425282e-02,2.969752213745945e-01,-3.477517677540361e-02
36,-1.383062663786506e-01,2.771481499356079e-01,3.097413765261794e-01,2.033670596080214e+00
37,-1.632084724129802e-01,-2.326001113348266e-01,2.841475272817841e-01,-2.182642079992984e+00
38,2.237990750680991e-01,-2.850364304267952e-02,2.256069229169201e-01,-1.266806146375858e-01
39,-4.516241961953724e-02,1.360715771786815e-01,1.433705627448852e-01,1.891258069007123e+00
40,-4.490915830023775e-02,-2.507037023873806e-02,5.143302405209338e-02,-2.632440383902379e+00
41,-5.291658308955947e-02,-2.114773812200280e-02,5.698588942493625e-02,-2.761394136426770e+00
42,8.173265796925852e-02,-1.137967935551206e-01,1.401068792106460e-01,-9.479377101248982e-01
43,9.829620846966144e-02,1.809265137376426e-01,2.059042203860050e-01,1.073116596245007e+00
44,-2.455289007924736e-01,3.624510042979548e-03,2.455556519353851e-01,3.126831675213956e+00
45,1.171539000360693e-01,-2.271352239662421e-01,2.555688679394584e-01,-1.094597275989612e+00
46,1.344308154908758e-01,1.942516004834979e-01,2.362315145020715e-01,9.654293811644789e-01
47,-1.896645997037440e-01,2.449780253894958e-02,1.912401702310966e-01,3.013140029375245e+00
48,3.856381823057821e-02,-1.212674120100150e-01,1.272515355197249e-01,-1.262902807207821e+00
49,4.739143763423392e-02,2.754254716475549e-02,5.481368684336299e-02,5.264598662397738e-01
50,3.157283306757697e-02,2.462055081817600e-02,4.003767364000397e-02,6.623030295318768e-01
51,-6.905662440509450e-02,8.048830454736559e-02,1.060527441565553e-01,2.279899755411339e+00
52,-7.046991179245422e-02,-1.472420541950992e-01,1.632367329727865e-01,-2.017177091411621e+00
53,2.013528916017283e-01,4.394529307457790e-03,2.014008412202180e-01,2.182154783795725e-02
54,-1.046777505363847e-01,1.897873787109273e-01,2.167410449714648e-01,2.074830886111227e+00
55,-1.148620073593072e-01,-1.739865875843858e-01,2.084816859915247e-01,-2.154292873051544e+00
56,1.774902997426973e-01,-1.953323347013959e-02,1.785619044268724e-01,-1.096113000567081e-01
57,-4.310236197307910e-02,1.240954810779409e-01,1.313678120074469e-01,1.905092552495678e+00
58,-5.813990488536884e-02,-4.562536871543210e-02,7.390482264709702e-02,-2.476219076006610e+00
59,3.064818915840659e-03,-2.770927624664849e-02,2.787825505837790e-02,-1.460637845327633e+00
60,5.203340301180326e-02,-3.970930960620394e-02,6.545459722884327e-02,-6.518643450268933e-01
61,4.006270344543329e-02,1.099146267856312e-01,1.169882275649192e-01,1.221272221812718e+00
62,-1.559491180659534e-01,-1.333694900649549e-02,1.565183747499012e-01,-3.056279083241018e+00
63,9.383493778437679e-02,-1.523461706046234e-01,1.789255466580747e-01,-1.018744143637309e+00
64,9.428947391750647e-02,1.559396562378243e-01,1.822297486120500e-01,1.026962088643770e+00
65,-1.663179751134589e-01,1.214641845566762e-02,1.667609196638748e-01,3.068690775756270e+00
66,4.992082092038100e-02,-1.253824679022058e-01,1.349549984943589e-01,-1.191887230530082e+00
67,6.547591052024682e-02,6.361727176478181e-02,9.129212520940387e-02,7.710015057946660e-01
68,-3.430984934965049e-02,2.789854110515866e-02,4.422097192726477e-02,2.458893692670669e+00
69,-3.501281936617199e-02,4.369429921706762e-03,3.528440785685506e-02,3.017439366046868e+00
70,-1.450087151101150e-02,-7.619913923662901e-02,7.756664292711166e-02,-1.758850025043242e+00
71,1.163960842969466e-01,2.031262162226297e-02,1.181551989411855e-01,1.727730299317960e-01
72,-8.452397297318430e-02,1.205813873651165e-01,1.472554684419830e-01,2.182173211869916e+00
73,-7.727715922416017e-02,-1.418622960075646e-01,1.615446389277406e-01,-2.069587247048319e+00
74,1.598429599472724e-01,-5.561961286906378e-03,1.599396988182183e-01,-3.478237720764646e-02
75,-5.832976623499794e-02,1.308055036698344e-01,1.432216513637116e-01,1.990258370404221e+00
76,-7.576010164546493e-02,-8.508602988557469e-02,1.139264038009630e-01,-2.298278898684962e+00
77,7.073598182713571e-02,-2.929231541115394e-02,7.656120993816255e-02,-3.926087272084040e-01
78,1.634153454106830e-02,3.755553236909335e-02,4.095685245087746e-02,1.160376956552199e+00
79,-1.769701733585625e-02,3.652264616938642e-02,4.058433325557774e-02,2.022007032754477e+00
80,-6.595471505795018e-02,-3.115526436549436e-02,7.294295672687831e-02,-2.700289426608749e+00
81,7.286882530168109e-02,-7.456175123865016e-02,1.042560331521455e-01,-7.968805273340657e-01
82,4.670189144067988e-02,1.170488496284454e-01,1.260218229652288e-01,1.191156734642161e+00
83,-1.350958516114644e-01,-8.649316034460279e-03,1.353724484172861e-01,-3.077656366726495e+00
