tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
0,-6.003517960711287e-01,1.291218217525666e+00,-19672,42311,-6.003417968750000e-01,1.291229248046875e+00,1.423967430837799e+00,9.999196128651633e-06,1.103052120932091e-05
1,6.171982808285755e-01,8.889993055472962e-01,20224,29131,6.171875000000000e-01,8.890075683593750e-01,1.082245289551541e+00,-1.078082857552953e-05,8.262812078774218e-06
2,-1.275188361540310e+00,1.131793249262636e-01,-41785,3709,-1.275177001953125e+00,1.131896972656250e-01,1.280190725586326e+00,1.135958718512242e-05,1.037233936135307e-05
3,2.410578593286366e-01,-5.345941477723095e-01,7899,-17518,2.410583496093750e-01,-5.346069335937500e-01,5.864415583524993e-01,4.902807384243868e-07,-1.278582144048634e-05
4,-1.099379283904240e-01,-1.732549500161150e-01,-3602,-5677,-1.099243164062500e-01,-1.732482910156250e-01,2.051787651712917e-01,1.361198417400289e-05,6.659000489961375e-06
5,7.246741596360167e-01,-5.671077635013255e-02,23746,-1858,7.246704101562500e-01,-5.670166015625000e-02,7.268853290722701e-01,-3.749479766668173e-06,9.116193882552359e-06
6,-3.741481578351858e-01,8.001923345067375e-01,-12260,26221,-3.741455078125000e-01,8.002014160156250e-01,8.833499687041851e-01,2.650022685846132e-06,9.081508887454071e-06
7,-4.236976403681598e-01,-5.951455021383285e-01,-13884,-19502,-4.237060546875000e-01,-5.951538085937500e-01,7.305716095376912e-01,-8.414319340233067e-06,-8.306455421491776e-06
8,3.884547982263830e-01,-4.511860808530452e-02,12729,-1478,3.884582519531250e-01,-4.510498046875000e-02,3.910681178178091e-01,3.453726741986518e-06,1.362761655451794e-05
9,1.396520831735432e-02,2.494832555870620e-03,458,82,1.397705078125000e-02,2.502441406250000e-03,1.419930144525975e-02,1.184246389568377e-05,7.608850379379854e-06
10,1.874052287112602e-01,2.901868465634212e-01,6141,9509,1.874084472656250e-01,2.901916503906250e-01,3.454462621927574e-01,3.218554364803339e-06,4.803827203803124e-06
11,-5.637991111263281e-01,4.031506143586314e-02,-18475,1321,-5.638122558593750e-01,4.031372070312500e-02,5.652516748618857e-01,-1.314473304692143e-05,-1.340732738136508e-06
12,2.715643728660028e-01,-5.758167260563601e-01,8899,-18868,2.715759277343750e-01,-5.758056640625000e-01,6.366361969690720e-01,1.155486837223219e-05,1.106199386013973e-05
13,3.295745405770075e-01,4.631007794423716e-01,10799,15175,3.295593261718750e-01,4.631042480468750e-01,5.683967751719936e-01,-1.521440513252426e-05,3.468604503398254e-06
14,-3.919936472123370e-01,4.526356417394281e-02,-12845,1483,-3.919982910156250e-01,4.525756835937500e-02,3.946022144552335e-01,-4.643803287962545e-06,-5.995814567810731e-06
15,5.434299628584262e-02,-1.536588019491317e-01,1781,-5035,5.435180664062500e-02,-1.536560058593750e-01,1.629855423703470e-01,8.810354782375074e-06,2.796089756729181e-06
16,-3.050090207364499e-02,-7.448971492956634e-02,-999,-2441,-3.048706054687500e-02,-7.449340820312500e-02,8.049055054170168e-02,1.384152676998929e-05,-3.693273558660892e-06
17,2.848543324100990e-01,-8.146530163173682e-03,9334,-267,2.848510742187500e-01,-8.148193359375000e-03,2.849675903301945e-01,-3.258191348998185e-06,-1.663196201318051e-06
18,-1.910516829910143e-01,3.795020369260436e-01,-6260,12436,-1.910400390625000e-01,3.795166015625000e-01,4.248872172548274e-01,1.164392851427110e-05,1.456463645638228e-05
19,-2.717954843856850e-01,-3.995995369805140e-01,-8906,-13094,-2.717895507812500e-01,-3.995971679687500e-01,4.832674793140120e-01,5.933604435015560e-06,2.369011763980744e-06
20,4.574344015613783e-01,-4.093497802488269e-02,14989,-1341,4.574279785156250e-01,-4.092407226562500e-02,4.592549784375703e-01,-6.423045753267687e-06,1.090575925769000e-05
21,-1.465014704799287e-01,3.342014257138345e-01,-4801,10951,-1.465148925781250e-01,3.341979980468750e-01,3.649039814056824e-01,-1.342209819632512e-05,-3.427666959487929e-06
22,-1.390271477576439e-01,-1.725200178428886e-01,-4556,-5653,-1.390380859375000e-01,-1.725158691406250e-01,2.215701118077727e-01,-1.093817985606260e-05,4.148702263617743e-06
23,5.219518616966727e-02,-2.396624846084943e-02,1710,-785,5.218505859375000e-02,-2.395629882812500e-02,5.742111627246151e-02,-1.012757591727087e-05,9.949632724434027e-06
24,6.533368120918068e-02,-9.045418818136068e-02,2141,-2964,6.533813476562500e-02,-9.045410156250000e-02,1.115841222761108e-01,4.453556444322659e-06,8.661886068128677e-08
25,1.254069362813469e-01,2.133558923437559e-01,4109,6991,1.253967285156250e-01,2.133483886718750e-01,2.474709568238398e-01,-1.020776572194237e-05,-7.503671880931817e-06
26,-3.401109841888466e-01,1.421046824690389e-02,-11145,466,-3.401184082031250e-01,1.422119140625000e-02,3.404155899538691e-01,-7.424014278389901e-06,1.072315934610990e-05
27,1.688691513251331e-01,-3.407034032587593e-01,5534,-11164,1.688842773437500e-01,-3.406982421875000e-01,3.802593738010584e-01,1.512601861691776e-05,5.161071259307537e-06
28,2.086734399905885e-01,3.001746865526579e-01,6838,9836,2.086791992187500e-01,3.001708984375000e-01,3.655811489332494e-01,5.759228161483776e-06,-3.788115157887795e-06
