metric,value
float_coefficients_csv,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\full_combined_20260605_090952\plan_b_complex_fir\complex_fir_coefficients.csv
fs_hz,12000000000.000000
coeff_total_bits,1.800000000000e+01
coeff_frac_bits,1.500000000000e+01
coeff_lsb,3.051757812500e-05
coeff_range_min,-4.000000000000e+00
coeff_range_max,3.999969482422e+00
saturation_count,0.000000000000e+00
max_abs_coeff_fixed,1.423967430838e+00
max_abs_coeff_error,2.055343925997e-05
rms_coeff_error,1.221124625090e-05
fixed_total_magnitude_ripple_db,7.424010105787e-02
fixed_vs_float_magnitude_error_rms_db,1.265896979190e-03
fixed_total_group_delay_mean_ns,1.062603752511e+01
fixed_total_group_delay_ripple_pp_ns,2.143516530137e+00
fixed_phase_error_rms_rad,3.300045348870e-03
fixed_phase_error_max_abs_rad,1.236343490083e-02
