freq_hz,h1_abs_db,fixed_fir_abs_db,fixed_fir_phase_rad,fixed_total_abs_db,fixed_total_phase_rad,target_phase_rad,fixed_phase_error_rad,fixed_total_group_delay_ns
3500000000.000000,3.855451010000e-01,-3.821042709701e-01,9.617363195725e-01,3.440830029893e-03,-1.174984684711e+00,-1.178097245096e+00,3.112560385621e-03,1.168658822603e+01
3501000000.000000,3.901036270000e-01,-3.868119581141e-01,9.048889987867e-01,3.291668885915e-03,-1.248413684143e+00,-1.244856088985e+00,-3.557595158445e-03,1.086208517930e+01
3502000000.000000,3.883351440000e-01,-3.898504120231e-01,8.480005382657e-01,-1.515268023137e-03,-1.311481672718e+00,-1.311614932874e+00,1.332601554072e-04,1.078732090858e+01
3503000000.000000,4.117424110000e-01,-3.914556746081e-01,7.910764884885e-01,2.028673639192e-02,-1.383971156617e+00,-1.378373776763e+00,-5.597379854090e-03,1.077147186028e+01
3504000000.000000,3.700561730000e-01,-3.918414968633e-01,7.341219171753e-01,-2.178532386326e-02,-1.446839980177e+00,-1.445132620651e+00,-1.707359525526e-03,9.969460855768e+00
3505000000.000000,3.897230390000e-01,-3.912003734001e-01,6.771413943065e-01,-1.477334400135e-03,-1.509251096556e+00,-1.511891464540e+00,2.640367984532e-03,1.030345511125e+01
3506000000.000000,3.782674160000e-01,-3.897046536334e-01,6.201389862649e-01,-1.143723763337e-02,-1.576317015713e+00,-1.578650308429e+00,2.333292715631e-03,1.055606364150e+01
3507000000.000000,3.848970540000e-01,-3.875077050837e-01,5.631182578526e-01,-2.610651083698e-03,-1.641902504503e+00,-1.645409152318e+00,3.506647814186e-03,1.052876670142e+01
3508000000.000000,3.696106070000e-01,-3.847451076852e-01,5.060822810246e-01,-1.513450068521e-02,-1.708625400195e+00,-1.712167996206e+00,3.542596010957e-03,1.036638366832e+01
3509000000.000000,3.639486300000e-01,-3.815358611281e-01,4.490336492699e-01,-1.758723112807e-02,-1.772170323610e+00,-1.778926840095e+00,6.756516485057e-03,1.128044601209e+01
3510000000.000000,3.586430510000e-01,-3.779835901232e-01,3.919744966785e-01,-1.934053912321e-02,-1.850379665479e+00,-1.845685683984e+00,-4.693981494575e-03,1.103202771220e+01
3511000000.000000,3.815279570000e-01,-3.741777350269e-01,3.349065208246e-01,7.350221973146e-03,-1.910802872470e+00,-1.912444527873e+00,1.641655403256e-03,9.976790807770e+00
3512000000.000000,3.594855170000e-01,-3.701947175297e-01,2.778310086951e-01,-1.070920052974e-02,-1.975751716311e+00,-1.979203371762e+00,3.451655450616e-03,1.085054523951e+01
3513000000.000000,3.651309390000e-01,-3.660990730937e-01,2.207488649780e-01,-9.681340936964e-04,-2.047154845317e+00,-2.045962215650e+00,-1.192629666715e-03,1.096882408359e+01
3514000000.000000,3.488386020000e-01,-3.619445435426e-01,1.636606421061e-01,-1.310594154264e-02,-2.113590024949e+00,-2.112721059539e+00,-8.689654098717e-04,1.053659699332e+01
3515000000.000000,3.538469780000e-01,-3.577751247048e-01,1.065665715248e-01,-3.928146704806e-03,-2.179561628149e+00,-2.179479903428e+00,-8.172472134449e-05,1.132646215170e+01
3516000000.000000,3.542196210000e-01,-3.536260652713e-01,4.946659571726e-02,5.935557286603e-04,-2.255922546097e+00,-2.246238747317e+00,-9.683798780094e-03,1.076164922128e+01
3517000000.000000,3.793897400000e-01,-3.495248141241e-01,-7.639599425450e-03,2.986492587591e-02,-2.314796500686e+00,-2.312997591205e+00,-1.798909480035e-03,1.036767159678e+01
3518000000.000000,3.464402270000e-01,-3.454919143005e-01,-6.475255224783e-02,9.483126994714e-04,-2.386206549790e+00,-2.379756435094e+00,-6.450114695664e-03,9.993057793231e+00
3519000000.000000,3.442667680000e-01,-3.415418425375e-01,-1.218729933059e-01,2.724925462461e-03,-2.440372968486e+00,-2.446515278983e+00,6.142310497066e-03,1.012329659398e+01
3520000000.000000,3.343393590000e-01,-3.376837939914e-01,-1.790018139539e-01,-3.344434991383e-03,-2.513419646629e+00,-2.513274122872e+00,-1.455237571220e-04,1.121290068890e+01
3521000000.000000,3.529102790000e-01,-3.339224122583e-01,-2.361400357886e-01,1.898786674175e-02,-2.581278434205e+00,-2.580032966761e+00,-1.245467444079e-03,1.066982605284e+01
