freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
3500000000.000000,3.855451010000e-01,-2.136721004283e+00,-3.797449096031e-01,9.617007483951e-01,5.800191396915e-03,-1.175020255888e+00,-1.178097245096e+00,3.076989208231e-03,1.168685427332e+01
3501000000.000000,3.901036270000e-01,-2.153302682930e+00,-3.844229453976e-01,9.048517559849e-01,5.680681602409e-03,-1.248450926945e+00,-1.244856088985e+00,-3.594837960278e-03,1.086233807884e+01
3502000000.000000,3.883351440000e-01,-2.159482210984e+00,-3.874370300738e-01,8.479617890590e-01,8.981139262387e-04,-1.311520421925e+00,-1.311614932874e+00,9.451094866142e-05,1.078754595865e+01
3503000000.000000,4.117424110000e-01,-2.175047645105e+00,-3.890230985582e-01,7.910364176240e-01,2.271931244178e-02,-1.384011227481e+00,-1.378373776763e+00,-5.637450718520e-03,1.077166603731e+01
3504000000.000000,3.700561730000e-01,-2.180961897352e+00,-3.893947740459e-01,7.340807278681e-01,-1.933860104589e-02,-1.446881169484e+00,-1.445132620651e+00,-1.748548832718e-03,9.969621309488e+00
3505000000.000000,3.897230390000e-01,-2.186392490862e+00,-3.887444043705e-01,6.770993071212e-01,9.786346294707e-04,-1.509293183741e+00,-1.511891464540e+00,2.598280799201e-03,1.030357917388e+01
3506000000.000000,3.782674160000e-01,-2.196456001978e+00,-3.872441748905e-01,6.200962379407e-01,-8.976758890499e-03,-1.576359764037e+00,-1.578650308429e+00,2.290544391489e-03,1.055614883678e+01
3507000000.000000,3.848970540000e-01,-2.205020762356e+00,-3.850472733669e-01,5.630751000719e-01,-1.502193669084e-04,-1.641945662284e+00,-1.645409152318e+00,3.463490033415e-03,1.052881075370e+01
3508000000.000000,3.696106070000e-01,-2.214707681220e+00,-3.822890857354e-01,5.060389791232e-01,-1.267847873535e-02,-1.708668702097e+00,-1.712167996206e+00,3.499294109571e-03,1.036638451166e+01
3509000000.000000,3.639486300000e-01,-2.221203972880e+00,-3.790884048181e-01,4.489904808913e-01,-1.513977481806e-02,-1.772213491989e+00,-1.778926840095e+00,6.713348106475e-03,1.128040179944e+01
3510000000.000000,3.586430510000e-01,-2.242354162157e+00,-3.755486368788e-01,3.919317503696e-01,-1.690558587885e-02,-1.850422411787e+00,-1.845685683984e+00,-4.736727803451e-03,1.103193682447e+01
3511000000.000000,3.815279570000e-01,-2.245709393294e+00,-3.717589934746e-01,3.348644945749e-01,9.768963525411e-03,-1.910844898719e+00,-1.912444527873e+00,1.599629153582e-03,9.976651862809e+00
3512000000.000000,3.594855170000e-01,-2.253582725006e+00,-3.677956583229e-01,2.777900084201e-01,-8.310141322918e-03,-1.975792716586e+00,-1.979203371762e+00,3.410655175606e-03,1.085035710082e+01
3513000000.000000,3.651309390000e-01,-2.267903710295e+00,-3.637229208822e-01,2.207092029488e-01,1.408018117809e-03,-2.047194507346e+00,-2.045962215650e+00,-1.232291695898e-03,1.096858586860e+01
3514000000.000000,3.488386020000e-01,-2.277250667055e+00,-3.595942700630e-01,1.636226353288e-01,-1.075566806303e-02,-2.113628031726e+00,-2.112721059539e+00,-9.069721871193e-04,1.053630808112e+01
3515000000.000000,3.538469780000e-01,-2.286128199674e+00,-3.554534429779e-01,1.065305400735e-01,-1.606464977863e-03,-2.179597659601e+00,-2.179479903428e+00,-1.177561727066e-04,1.132612218995e+01
3516000000.000000,3.542196210000e-01,-2.305389141814e+00,-3.513354249021e-01,4.943286102544e-02,2.884196097925e-03,-2.255956280789e+00,-2.246238747317e+00,-9.717533471917e-03,1.076125813226e+01
3517000000.000000,3.793897400000e-01,-2.307156901260e+00,-3.472673977054e-01,-7.670716307295e-03,3.212234229461e-02,-2.314827617567e+00,-2.312997591205e+00,-1.830026361880e-03,1.036722958236e+01
3518000000.000000,3.464402270000e-01,-2.321453997542e+00,-3.432696349259e-01,-6.478073242270e-02,3.170592074091e-03,-2.386234729965e+00,-2.379756435094e+00,-6.478294870532e-03,9.992565338538e+00
3519000000.000000,3.442667680000e-01,-2.318499975180e+00,-3.393563424301e-01,-1.218979218196e-01,4.910425569901e-03,-2.440397897000e+00,-2.446515278983e+00,6.117381983413e-03,1.012275446969e+01
