tap,h1_real,h1_imag,h1_abs,h1_phase_rad,h3_real,h3_imag,h3_abs,h3_phase_rad
0,-1.815188600124640e+02,6.900017331407521e+01,1.941909381449015e+02,2.778334896420157e+00,-4.526358771101800e-01,-6.766926637211749e-01,8.141205060562969e-01,-2.160339564577728e+00
1,-4.102379807369955e+01,2.238127560810881e+02,2.275414287399205e+02,1.752079182502752e+00,-3.652682293964242e+00,5.176426952718904e-01,3.689179027996368e+00,3.000814319618101e+00
2,-1.341663340077581e+02,-1.084025819941630e+02,1.724868834551849e+02,-2.462009870725581e+00,-1.446910792356547e+00,4.913600887386463e+00,5.122208949424349e+00,1.857172549896231e+00
3,-2.817743276418607e-01,-5.280555953688596e+00,5.288068451878635e+00,-1.624106498623832e+00,5.834909584724757e-01,-3.704671433265603e-01,6.911639479195009e-01,-5.656974299800478e-01
4,2.470948305589146e+01,-1.204679247006197e+02,1.229759303057454e+02,-1.368489722835118e+00,-3.665194334246600e+00,6.844665655229131e-01,3.728557896440943e+00,2.956971564945734e+00
5,1.198274025768799e+02,1.004733938558714e+02,1.563761787525156e+02,6.977704908332512e-01,9.877221277739624e-01,-8.005188960045871e-01,1.271387236271753e+00,-6.810924059967285e-01
6,-1.063745315775664e+02,4.229518390623371e+01,1.144745541594672e+02,2.763151512770305e+00,-1.735837538445140e+00,-1.767483249222713e+00,2.477322949507827e+00,-2.347161674753939e+00
7,9.919230974919928e-01,-3.524930502514472e+01,3.526325872898067e+01,-1.542663533941332e+00,2.579115462228216e+00,9.440171762920235e-02,2.580842546881930e+00,3.658602926900054e-02
8,-3.117460122062726e+01,-3.260448905331562e+01,4.510995973942909e+01,-2.333778862575110e+00,-4.058654587380712e-01,-3.835923222519226e-01,5.584530779638409e-01,-2.384400215879314e+00
9,9.394918672303845e+01,-3.094246986493133e+01,9.891352853509235e+01,-3.181642114472212e-01,1.367458526248395e+00,1.964669793359338e+00,2.393714731948662e+00,9.627433954305860e-01
10,-2.041966416741006e+01,1.142031361033579e+02,1.160143050686074e+02,1.747727899165082e+00,-2.034868080818352e+00,-3.550341075658077e-01,2.065608221291833e+00,-2.968856194084992e+00
11,-7.673362253815118e+01,-6.114259654413947e+01,9.811455518926272e+01,-2.468796046033460e+00,2.474254958069506e-01,3.898349664098313e-01,4.617257595273082e-01,1.005257161349696e+00
12,5.079112373921914e+01,-2.324187270210092e+01,5.585626999176846e+01,-4.291537159465599e-01,-1.001586469683312e+00,-1.831585590335896e+00,2.087553886964064e+00,-2.071211124182005e+00
13,4.551966241643288e+00,4.199534746972681e+00,6.193261560445435e+00,7.451489351198746e-01,1.954696152546676e+00,4.762649695452295e-01,2.011881052646178e+00,2.389948915448297e-01
14,3.127147317027786e+01,3.228666490848431e+01,4.494812304370629e+01,8.013694528081819e-01,-3.848639601354292e-01,-5.616934583789942e-02,3.889412079260602e-01,-2.996669861331762e+00
15,-7.406955658792832e+01,2.380149730410311e+01,7.779981032785069e+01,2.830674823953930e+00,6.823790151031195e-01,1.543503664626102e+00,1.687615087325101e+00,1.154533575012394e+00
16,1.631809882024211e+01,-8.860093257261066e+01,9.009109612965916e+01,-1.388662136034626e+00,-2.011425813850120e+00,-5.919805899822477e-01,2.096729554219701e+00,-2.855365162579833e+00
17,6.342837585210201e+01,5.106340611575309e+01,8.142868233846012e+01,6.778163851518660e-01,7.277204770634315e-01,-3.807248576439606e-01,8.212968464358318e-01,-4.820149290844140e-01
18,-5.127763093223478e+01,2.241959299511270e+01,5.596457436708500e+01,2.729417462127466e+00,-4.086399170803319e-01,-1.061595814308443e+00,1.137529012723907e+00,-1.938244072845619e+00
19,-9.366680417104991e-01,-2.096865836608479e+01,2.098956837798099e+01,-1.615436558937908e+00,1.982626419468668e+00,7.192079678196530e-01,2.109044243288990e+00,3.479924957647694e-01
20,-9.694695687755145e+00,-1.412096457537421e+01,1.712859495163428e+01,-2.172435765109084e+00,-1.189928167151093e+00,7.734311972955262e-01,1.419198668238366e+00,2.565230496090424e+00
21,4.593514449574032e+01,-1.283989309178302e+01,4.769591549024884e+01,-2.725655933309545e-01,1.822283688045526e-01,3.689984040893665e-01,4.115422221566913e-01,1.112084063749665e+00
22,-1.360000251101165e+01,6.571745071273510e+01,6.710993515479127e+01,1.774862292827428e+00,-1.727022442643121e+00,-7.571643734261684e-01,1.885710583779721e+00,-2.728408724897988e+00
23,-5.537065346708155e+01,-4.641518219234511e+01,7.225149412517516e+01,-2.443951982021856e+00,1.644837343714707e+00,-1.017337026662239e+00,1.934028053854550e+00,-5.539137532206039e-01
24,5.872582139085650e+01,-2.349101412843125e+01,6.324989994310612e+01,-3.805164409655064e-01,-7.058007260595571e-02,4.967555485476238e-01,5.017445781091338e-01,1.711933759255718e+00
25,-3.979402264262083e+00,4.271166684307245e+01,4.289664470438719e+01,1.663697115108975e+00,1.191629305055899e+00,6.376531124157617e-01,1.351510966452552e+00,4.913397552837940e-01
26,-1.461869217132001e+01,-6.675512222777309e+00,1.607073813601175e+01,-2.713228793472847e+00,-1.928314011223156e+00,1.046346123328883e+00,2.193908643422720e+00,2.644431368080797e+00
27,-1.373290680458077e+01,5.102032902321919e-01,1.374238104189608e+01,3.104457853681174e+00,9.905557690248071e-02,-1.382963569038120e+00,1.386506487760565e+00,-1.499292849645038e+00
28,9.826829678636791e+00,-3.648957559347325e+01,3.778962435014056e+01,-1.307732267028200e+00,-4.206603941160511e-01,-2.705118875007809e-01,5.001318310776736e-01,-2.570108261258988e+00
