freq_hz,h1_effective_abs_db,h1_effective_phase_rad,h1_effective_group_delay_ns,plan_c_effective_abs_db,plan_c_effective_phase_rad,plan_c_effective_group_delay_ns
3550048828.125000,2.353018652118e-01,-2.615159083907e+00,8.185145735113e-01,-3.961851867010e-01,-1.062211474674e+00,2.059406780374e+00
3550231933.593750,2.370299557375e-01,-2.616100773130e+00,8.185145735111e-01,-3.880712975892e-01,-1.064580792500e+00,2.343130629079e+00
3550415039.062500,2.387577025214e-01,-2.617042462353e+00,8.185145735109e-01,-3.745846298159e-01,-1.067602950726e+00,2.477716198808e+00
3550598144.531250,2.404851057003e-01,-2.617984151575e+00,8.185145735109e-01,-3.598305691737e-01,-1.070281946070e+00,2.272219324708e+00
3550781250.000000,2.422121654109e-01,-2.618925840798e+00,8.185145735109e-01,-3.489127558860e-01,-1.072831261911e+00,2.103670188260e+00
3550964355.468750,2.439388817896e-01,-2.619867530021e+00,1.679059044681e+00,-3.247237647581e-01,-1.075122430550e+00,3.145556544927e+00
3551147460.937500,2.409754973020e-01,-2.622789307273e+00,2.747615921132e+00,-3.234427237570e-01,-1.080069096872e+00,4.536634494541e+00
3551330566.406250,2.368767172996e-01,-2.626189715074e+00,2.955628326412e+00,-3.136000315594e-01,-1.085561095784e+00,4.740162434677e+00
3551513671.875000,2.327760022128e-01,-2.629590122876e+00,2.955628326412e+00,-2.989827444424e-01,-1.090976074031e+00,4.388916043692e+00
3551696777.343750,2.286733502136e-01,-2.632990530678e+00,2.955628326412e+00,-2.950582024917e-01,-1.095659865120e+00,4.297213784846e+00
3551879882.812500,2.245687594715e-01,-2.636390938479e+00,2.385522232255e+00,-2.870633911502e-01,-1.100863839112e+00,3.926584567581e+00
3552062988.281250,2.214766319299e-01,-2.638479548588e+00,7.282370748198e-01,-2.777329252943e-01,-1.104694823053e+00,2.285727586244e+00
3552246093.750000,2.203182081445e-01,-2.638066591002e+00,-3.589419884580e-01,-2.684969117217e-01,-1.106123232418e+00,1.309912227522e+00
3552429199.218750,2.191596298412e-01,-2.637653633416e+00,-3.589419884580e-01,-2.584409873155e-01,-1.107708893339e+00,1.097563694281e+00
3552612304.687500,2.180008969789e-01,-2.637240675831e+00,-3.589419884551e-01,-2.489135941776e-01,-1.108648694849e+00,1.050746757576e+00
3552795410.156250,2.168420095164e-01,-2.636827718245e+00,-3.589419884547e-01,-2.366630751000e-01,-1.110126631348e+00,1.289423693107e+00
3552978515.625000,2.156829674122e-01,-2.636414760659e+00,7.910507561125e-01,-2.264847363096e-01,-1.111615621608e+00,2.271686538504e+00
3553161621.093750,2.141055685413e-01,-2.638647903238e+00,2.093912626851e+00,-2.192170570531e-01,-1.115353716607e+00,3.544239327220e+00
3553344726.562500,2.124722797223e-01,-2.641232793271e+00,2.246781753017e+00,-2.111441019186e-01,-1.119770814161e+00,3.723434846872e+00
3553527832.031250,2.108386837230e-01,-2.643817683304e+00,2.246781753017e+00,-2.006422830699e-01,-1.123921232887e+00,3.600729676006e+00
3553710937.500000,2.092047804278e-01,-2.646402573336e+00,2.246781753020e+00,-1.942968264020e-01,-1.128055989379e+00,3.565872100338e+00
3553894042.968750,2.075705697212e-01,-2.648987463369e+00,2.131657832730e+00,-1.775604319764e-01,-1.132126201828e+00,3.502192334245e+00
3554077148.437500,2.057370866704e-01,-2.651307456579e+00,1.858420680143e+00,-1.786125448208e-01,-1.136114433014e+00,3.509386674327e+00
3554260253.906250,2.036298895753e-01,-2.653263635798e+00,1.700307447847e+00,-1.634702051829e-01,-1.140201199432e+00,3.155630111595e+00
3554443359.375000,2.015221811502e-01,-2.655219815017e+00,1.700307447848e+00,-1.611106301526e-01,-1.143375446961e+00,2.964098063458e+00
3554626464.843750,1.994139611467e-01,-2.657175994236e+00,1.700307447847e+00,-1.529634947045e-01,-1.147021503656e+00,3.024392253359e+00
3554809570.312500,1.973052293165e-01,-2.659132173454e+00,1.700307447847e+00,-1.446203784711e-01,-1.150334486378e+00,2.887780317185e+00
3554992675.781250,1.951959854109e-01,-2.661088352673e+00,1.468833688378e+00,-1.388626741243e-01,-1.153666202945e+00,3.116991081997e+00
3555175781.250000,1.940442464988e-01,-2.662511917442e+00,1.227715188934e+00,-1.334232017183e-01,-1.157506593032e+00,2.844185936128e+00
3555358886.718750,1.929322752361e-01,-2.663913289943e+00,1.218070448960e+00,-1.277877627872e-01,-1.160210592820e+00,2.533752763529e+00
3555541992.187500,1.918201616002e-01,-2.665314662443e+00,1.218070448957e+00,-1.172249359928e-01,-1.163336685123e+00,2.709153005577e+00
3555725097.656250,1.907079055546e-01,-2.666716034943e+00,1.218070448957e+00,-1.147645774879e-01,-1.166444275813e+00,2.549170100745e+00
3555908203.125000,1.895955070627e-01,-2.668117407443e+00,1.140182284760e+00,-1.034690084599e-01,-1.169202252062e+00,2.350388509494e+00
3556091308.593750,1.898411513785e-01,-2.669339561522e+00,9.839894421104e-01,-9.457513225797e-02,-1.171852452039e+00,2.385963966706e+00
3556274414.062500,1.914519844071e-01,-2.670381538793e+00,9.056847636649e-01,-8.403850256705e-02,-1.174692286390e+00,2.327813886230e+00
3556457519.531250,1.930625187557e-01,-2.671423516063e+00,9.056847636680e-01,-7.797726983441e-02,-1.177208684708e+00,2.402229522921e+00
3556640625.000000,1.946727545350e-01,-2.672465493334e+00,9.056847636647e-01,-7.131330345802e-02,-1.180219747295e+00,2.374381325014e+00
3556823730.468750,1.962826918557e-01,-2.673507470604e+00,9.312650903934e-01,-5.615246134223e-02,-1.182672067712e+00,2.354455031153e+00
3557006835.937500,1.977480501200e-01,-2.674608307469e+00,1.616452413466e+00,-4.876962785465e-02,-1.185637280470e+00,3.044946536105e+00
3557189941.406250,1.954925799486e-01,-2.677226881025e+00,2.276059409809e+00,-4.651845070810e-02,-1.189678401942e+00,3.644171073697e+00
3557373046.875000,1.932365239457e-01,-2.679845454580e+00,2.276059409812e+00,-3.881046315318e-02,-1.194022413093e+00,3.679239463682e+00
3557556152.343750,1.909798818070e-01,-2.682464028135e+00,2.276059409813e+00,-3.518567740522e-02,-1.198144225919e+00,3.426538761439e+00
3557739257.812500,1.887226532279e-01,-2.685082601690e+00,2.276059409813e+00,-2.641738497819e-02,-1.201906780036e+00,3.801026250960e+00
3557922363.281250,1.864648379034e-01,-2.687701175245e+00,2.058376197064e+00,-2.471222338009e-02,-1.206890277783e+00,3.906067891339e+00
3558105468.750000,1.848507966851e-01,-2.689818866000e+00,1.680453952707e+00,-2.378323765507e-02,-1.210894529688e+00,2.916240776722e+00
3558288574.218750,1.837108345053e-01,-2.691567851362e+00,1.520214921097e+00,-1.559199733659e-02,-1.213600463770e+00,2.501458235639e+00
3558471679.687500,1.825707226938e-01,-2.693316836724e+00,1.520214921097e+00,-1.169759664261e-02,-1.216650313001e+00,2.912773057294e+00
3558654785.156250,1.814304612113e-01,-2.695065822086e+00,1.520214921099e+00,-6.774259452069e-03,-1.220302670634e+00,2.741710335813e+00
3558837890.625000,1.802900500186e-01,-2.696814807448e+00,1.513416423910e+00,-1.363679599992e-03,-1.222958909473e+00,2.725645999351e+00
3559020996.093750,1.794423431838e-01,-2.698548149663e+00,1.454127204223e+00,8.566327978838e-04,-1.226574303530e+00,2.915103664750e+00
3559204101.562500,1.808555480257e-01,-2.700160712239e+00,1.401636481725e+00,1.090498576007e-02,-1.229666478997e+00,2.828578155789e+00
3559387207.031250,1.822685229748e-01,-2.701773274815e+00,1.401636481725e+00,1.666043426303e-02,-1.233082780352e+00,2.684735914291e+00
3559570312.500000,1.836812681060e-01,-2.703385837391e+00,1.401636481729e+00,2.581395150728e-02,-1.235843978967e+00,2.407815571277e+00
3559753417.968750,1.850937834939e-01,-2.704998399967e+00,1.401636481729e+00,2.977752871301e-02,-1.238623094593e+00,2.696527061767e+00
3559936523.437500,1.865060692134e-01,-2.706610962543e+00,1.233736863630e+00,3.660626268439e-02,-1.242048610027e+00,2.743278644770e+00
3560119628.906250,1.860368173948e-01,-2.707837192936e+00,9.767476522571e-01,4.425958827308e-02,-1.244935299698e+00,2.488027538524e+00
3560302734.375000,1.845690757519e-01,-2.708858430743e+00,8.876580589832e-01,5.097578347180e-02,-1.247773489693e+00,2.041495549757e+00
3560485839.843750,1.831010860480e-01,-2.709879668549e+00,8.876580589834e-01,5.518499411985e-02,-1.249632722126e+00,2.239029990065e+00
3560668945.312500,1.816328481993e-01,-2.710900906356e+00,8.876580589832e-01,5.748055954887e-02,-1.252925433175e+00,2.277805557093e+00
3560852050.781250,1.801643621220e-01,-2.711922144162e+00,9.536563612773e-01,5.743085573746e-02,-1.254873887071e+00,1.817787877859e+00
3561035156.250000,1.784334297014e-01,-2.713095242161e+00,1.297397519050e+00,6.056333097319e-02,-1.257108110697e+00,2.520552707268e+00
3561218261.718750,1.755984288219e-01,-2.714907418465e+00,1.575140374531e+00,6.117098856211e-02,-1.260673606213e+00,2.998109359985e+00
3561401367.187500,1.727625023199e-01,-2.716719594770e+00,1.575140374531e+00,6.236992552333e-02,-1.264006673934e+00,2.826649429342e+00
3561584472.656250,1.699256495909e-01,-2.718531771074e+00,1.575140374531e+00,6.470579165727e-02,-1.267177645091e+00,2.794420607796e+00
3561767578.125000,1.670878700296e-01,-2.720343947379e+00,1.575140374531e+00,6.665514326214e-02,-1.270436555223e+00,3.049696998236e+00
3561950683.593750,1.642491630303e-01,-2.722156123683e+00,1.435457760756e+00,7.026615322347e-02,-1.274194909997e+00,2.903856602168e+00
3562133789.062500,1.646282744465e-01,-2.723646894319e+00,1.244286300300e+00,7.159463455283e-02,-1.277118245580e+00,2.195014148846e+00
3562316894.531250,1.661934889793e-01,-2.725019190602e+00,1.192797453616e+00,8.155298481177e-02,-1.279245574297e+00,2.359031889051e+00
3562500000.000000,1.677584215082e-01,-2.726391486886e+00,1.192797453616e+00,8.306699985273e-02,-1.282546309974e+00,2.496265677310e+00
3562683105.468750,1.693230721348e-01,-2.727763783169e+00,1.192797453616e+00,8.968466815274e-02,-1.284989409683e+00,2.447230362184e+00
3562866210.937500,1.708874409605e-01,-2.729136079452e+00,1.107692570433e+00,9.473523977704e-02,-1.288177316513e+00,2.764603797612e+00
3563049316.406250,1.721440314564e-01,-2.730312551852e+00,7.917090932758e-01,1.003650699333e-01,-1.291350683350e+00,1.992787300326e+00
3563232421.875000,1.725663072500e-01,-2.730957779260e+00,5.608304992981e-01,1.030854126902e-01,-1.292762662662e+00,1.531983184016e+00
3563415527.343750,1.729885625151e-01,-2.731603006668e+00,5.608304992950e-01,1.066373581992e-01,-1.294875732508e+00,1.831690814009e+00
3563598632.812500,1.734107972537e-01,-2.732248234077e+00,5.608304992979e-01,1.096721240782e-01,-1.296977330439e+00,1.856575871933e+00
3563781738.281250,1.738330114679e-01,-2.732893461485e+00,5.608304992983e-01,1.159389411983e-01,-1.299147660086e+00,1.593483487169e+00
3563964843.750000,1.742552051595e-01,-2.733538688894e+00,1.131565380558e+00,1.186978693480e-01,-1.300643890022e+00,2.257988031454e+00
3564147949.218750,1.722335790874e-01,-2.735497160816e+00,1.837920431622e+00,1.188810206600e-01,-1.304343225475e+00,3.368229355113e+00
3564331054.687500,1.696305412544e-01,-2.737767690841e+00,1.973540601424e+00,1.159013574403e-01,-1.308394088702e+00,3.116913999023e+00
3564514160.156250,1.670267230941e-01,-2.740038220866e+00,1.973540601427e+00,1.186136607351e-01,-1.311515154763e+00,2.615462992982e+00
3564697265.625000,1.644221241385e-01,-2.742308750891e+00,1.973540601427e+00,1.201480027474e-01,-1.314412193676e+00,3.395442471253e+00
3564880371.093750,1.618167439191e-01,-2.744579280916e+00,1.888435699815e+00,1.216077381729e-01,-1.319327970039e+00,3.543687667536e+00
