metric,value
run_dir,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\full_combined_20260605_090952
fs_hz,1.200000000000e+10
samples,65536
qam_order,64
qam_seed,703592441
memory_taps,64
nonlinear_order,3
regularization,1.000000000000e-05
reference_delay_samples,31
complex_coefficient_count,128
estimated_real_multiplier_count_direct,768
max_abs_h1_coeff,2.275414287399e+02
max_abs_h3_coeff,1.317185628769e+01
training_rms_error_percent,2.456918426661e+00
after_h1_evm_percent,1.173326847650e+01
after_float_plan_c_evm_percent,2.457536344321e+00
after_h1_magnitude_only_evm_percent,1.633122744398e+00
after_float_plan_c_magnitude_only_evm_percent,1.440120776893e+00
