subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_plan_c_equalized_i,after_float_plan_c_equalized_q
0,19388,3550048828.125000,-3.904253304380e+01,3.904253304380e+01,-4.175034567200e+01,3.921196534275e+01,-3.775635035390e+01,3.689053112210e+01
1,19389,3550231933.593750,1.171275991314e+02,-1.952126652190e+02,1.279644339600e+02,-1.985413884747e+02,1.143533539484e+02,-1.854227584257e+02
2,19390,3550415039.062500,-1.171275991314e+02,1.952126652190e+02,-1.281394374699e+02,1.984844189027e+02,-1.145217778997e+02,1.857166074445e+02
3,19391,3550598144.531250,3.904253304380e+01,-1.952126652190e+02,4.730973511070e+01,-2.011502538315e+02,3.981181297563e+01,-1.869315747340e+02
4,19392,3550781250.000000,1.171275991314e+02,-2.732977313066e+02,1.312739307340e+02,-2.793887530195e+02,1.159599224346e+02,-2.612370991160e+02
5,19393,3550964355.468750,1.171275991314e+02,3.904253304380e+01,1.201260101491e+02,4.478553557154e+01,1.123826920386e+02,3.916048129749e+01
6,19394,3551147460.937500,1.171275991314e+02,-2.732977313066e+02,1.311229371689e+02,-2.794111039419e+02,1.159614913731e+02,-2.621544607950e+02
7,19395,3551330566.406250,-3.904253304380e+01,2.732977313066e+02,-4.960974093547e+01,2.821087731809e+02,-4.006930074053e+01,2.634257649275e+02
8,19396,3551513671.875000,-2.732977313066e+02,1.171275991314e+02,-2.869939921682e+02,1.127765464411e+02,-2.649649499104e+02,1.114886202180e+02
9,19397,3551696777.343750,-2.732977313066e+02,-1.171275991314e+02,-2.796819129871e+02,-1.295080992857e+02,-2.637831581321e+02,-1.145831194346e+02
10,19398,3551879882.812500,-1.171275991314e+02,-3.904253304380e+01,-1.202141936935e+02,-4.371963613332e+01,-1.132922575365e+02,-3.810027516798e+01
11,19399,3552062988.281250,-1.952126652190e+02,1.171275991314e+02,-2.053457921116e+02,1.158759233293e+02,-1.893974245402e+02,1.131728484541e+02
12,19400,3552246093.750000,-2.732977313066e+02,1.171275991314e+02,-2.863911820555e+02,1.131009842573e+02,-2.655306182653e+02,1.127463661758e+02
13,19401,3552429199.218750,-1.171275991314e+02,-2.732977313066e+02,-1.124820424876e+02,-2.865907223267e+02,-1.125082591708e+02,-2.659944659370e+02
14,19402,3552612304.687500,1.952126652190e+02,2.732977313066e+02,1.926596851291e+02,2.894553894959e+02,1.880169894890e+02,2.670289710422e+02
15,19403,3552795410.156250,2.732977313066e+02,-3.904253304380e+01,2.841494007941e+02,-3.046280168599e+01,2.664297905216e+02,-3.581655345069e+01
16,19404,3552978515.625000,3.904253304380e+01,-2.732977313066e+02,5.090361942745e+01,-2.811687979945e+02,4.065827019366e+01,-2.660528753934e+02
17,19405,3553161621.093750,-2.732977313066e+02,1.171275991314e+02,-2.870696050165e+02,1.107576236496e+02,-2.676756169489e+02,1.118824405927e+02
18,19406,3553344726.562500,-1.952126652190e+02,-1.171275991314e+02,-1.975096495428e+02,-1.283312775501e+02,-1.897804886455e+02,-1.158230574306e+02
19,19407,3553527832.031250,1.952126652190e+02,-3.904253304380e+01,2.032215469645e+02,-3.331889629387e+01,1.911179230545e+02,-3.696083703818e+01
20,19408,3553710937.500000,1.171275991314e+02,3.904253304380e+01,1.196960706529e+02,4.447387119573e+01,1.144109172060e+02,3.879897789048e+01
21,19409,3553894042.968750,1.171275991314e+02,3.904253304380e+01,1.197130766983e+02,4.435898464802e+01,1.146741957380e+02,3.874792333608e+01
22,19410,3554077148.437500,-3.904253304380e+01,1.171275991314e+02,-4.427480339800e+01,1.197155064377e+02,-3.862671563072e+01,1.146996100288e+02
23,19411,3554260253.906250,1.171275991314e+02,3.904253304380e+01,1.196980259201e+02,4.423279662140e+01,1.149427977320e+02,3.856602986636e+01
24,19412,3554443359.375000,-1.171275991314e+02,1.952126652190e+02,-1.274156562503e+02,1.977486361292e+02,-1.153886326636e+02,1.915459591445e+02
25,19413,3554626464.843750,1.171275991314e+02,-1.171275991314e+02,1.247763975831e+02,-1.171063365547e+02,1.152836978711e+02,-1.150316925600e+02
26,19414,3554809570.312500,1.171275991314e+02,-1.171275991314e+02,1.247155201275e+02,-1.171104925405e+02,1.153552440615e+02,-1.151815516183e+02
27,19415,3554992675.781250,1.952126652190e+02,-1.952126652190e+02,2.077577483622e+02,-1.951910411894e+02,1.923171591286e+02,-1.921656945308e+02
28,19416,3555175781.250000,-1.171275991314e+02,-1.952126652190e+02,-1.145303909805e+02,-2.052482830728e+02,-1.155083288686e+02,-1.923071153672e+02
29,19417,3555358886.718750,2.732977313066e+02,3.904253304380e+01,2.807065350978e+02,4.923737848948e+01,2.694893246202e+02,3.844183500036e+01
30,19418,3555541992.187500,-3.904253304380e+01,-1.952126652190e+02,-3.382431098470e+01,-2.026814024537e+02,-3.861353306408e+01,-1.927070563977e+02
31,19419,3555725097.656250,1.952126652190e+02,1.952126652190e+02,1.948508423494e+02,2.078750554200e+02,1.928709734518e+02,1.926800516118e+02
32,19420,3555908203.125000,-3.904253304380e+01,-2.732977313066e+02,-3.106851561330e+01,-2.831834146506e+02,-3.868119610208e+01,-2.702260957864e+02
33,19421,3556091308.593750,2.732977313066e+02,1.952126652190e+02,2.752071705351e+02,2.106698693269e+02,2.705058597905e+02,1.932352619898e+02
34,19422,3556274414.062500,-2.732977313066e+02,-2.732977313066e+02,-2.724011729014e+02,-2.914369350667e+02,-2.707951588114e+02,-2.708891411072e+02
35,19423,3556457519.531250,-3.904253304380e+01,2.732977313066e+02,-4.998448611577e+01,2.805788039882e+02,-3.888930782954e+01,2.710067997030e+02
36,19424,3556640625.000000,-1.171275991314e+02,1.171275991314e+02,-1.251002768975e+02,1.166233819936e+02,-1.163140121716e+02,1.161767245706e+02
37,19425,3556823730.468750,-1.952126652190e+02,1.952126652190e+02,-2.086660098607e+02,1.942721217750e+02,-1.942961702647e+02,1.938651473696e+02
38,19426,3557006835.937500,1.952126652190e+02,1.952126652190e+02,1.941808727402e+02,2.088166183738e+02,1.940286335228e+02,1.944627507315e+02
