freq_hz,after_h1_error_percent,after_float_plan_c_error_percent
3550048828.125000,4.913762280735e+00,4.540594539117e+00
3550231933.593750,4.979703666893e+00,4.469654281644e+00
3550415039.062500,5.046053644611e+00,4.325446959819e+00
3550598144.531250,5.112796965410e+00,4.177618111401e+00
3550781250.000000,5.179919074083e+00,4.075154272565e+00
3550964355.468750,5.247406075326e+00,3.844358349663e+00
3551147460.937500,5.136320919381e+00,3.768128752879e+00
3551330566.406250,4.983709392759e+00,3.595150779812e+00
3551513671.875000,4.833127541431e+00,3.383839657826e+00
3551696777.343750,4.684762315075e+00,3.312357442260e+00
3551879882.812500,4.538822014827e+00,3.198837849965e+00
3552062988.281250,4.484915240295e+00,3.089134216207e+00
3552246093.750000,4.607068905762e+00,2.999128469482e+00
3552429199.218750,4.735793268882e+00,2.906287015589e+00
3552612304.687500,4.870563013744e+00,2.841489088230e+00
3552795410.156250,5.010886095445e+00,2.748502128765e+00
3552978515.625000,5.156304942085e+00,2.688729248696e+00
3553161621.093750,5.103162948189e+00,2.585917752448e+00
3553344726.562500,5.023703679834e+00,2.453985674510e+00
3553527832.031250,4.944725280255e+00,2.307386736756e+00
3553710937.500000,4.866250266278e+00,2.209220860757e+00
3553894042.968750,4.788302475310e+00,2.001427266402e+00
3554077148.437500,4.727951859573e+00,1.995198268742e+00
3554260253.906250,4.691178204768e+00,1.811193815712e+00
3554443359.375000,4.654409653275e+00,1.782595117659e+00
3554626464.843750,4.617646217159e+00,1.685281372646e+00
3554809570.312500,4.580887908840e+00,1.589060615919e+00
3554992675.781250,4.544134741117e+00,1.522546387649e+00
3555175781.250000,4.553487896220e+00,1.461112530457e+00
3555358886.718750,4.564957949827e+00,1.396550166815e+00
3555541992.187500,4.576626356253e+00,1.276917187672e+00
3555725097.656250,4.588491526030e+00,1.249417666637e+00
3555908203.125000,4.600551860685e+00,1.120291541987e+00
3556091308.593750,4.637305393255e+00,1.018651765446e+00
3556274414.062500,4.698909009745e+00,8.986649529229e-01
3556457519.531250,4.760734005263e+00,8.316840095632e-01
3556640625.000000,4.822772353018e+00,7.554984685001e-01
3556823730.468750,4.885016404904e+00,5.902989700324e-01
3557006835.937500,4.941828768241e+00,5.076696827050e-01
3557189941.406250,4.853762372561e+00,4.695136738091e-01
3557373046.875000,4.766103496486e+00,4.033588768813e-01
3557556152.343750,4.678873639488e+00,4.197966732742e-01
3557739257.812500,4.592095816603e+00,4.040937068873e-01
3557922363.281250,4.505794682590e+00,5.706775779027e-01
3558105468.750000,4.461539990760e+00,6.636273508088e-01
3558288574.218750,4.447981234229e+00,6.144215416928e-01
3558471679.687500,4.434430147235e+00,6.155142189311e-01
3558654785.156250,4.420886797635e+00,6.798630031838e-01
3558837890.625000,4.407351254082e+00,6.502131548220e-01
3559020996.093750,4.397424661651e+00,7.166857794954e-01
3559204101.562500,4.415310285362e+00,7.498379619029e-01
3559387207.031250,4.433204910270e+00,8.116842817235e-01
3559570312.500000,4.451108435438e+00,8.323855821462e-01
3559753417.968750,4.469020761500e+00,8.365612300279e-01
3559936523.437500,4.486941790620e+00,9.162191737525e-01
3560119628.906250,4.516965969370e+00,9.596753456301e-01
3560302734.375000,4.554059033072e+00,9.983327237175e-01
3560485839.843750,4.591920894276e+00,9.524049182894e-01
3560668945.312500,4.630532160012e+00,9.938287495782e-01
3560852050.781250,4.669873711161e+00,9.266540877695e-01
3561035156.250000,4.696156924369e+00,9.131070770609e-01
3561218261.718750,4.664815445851e+00,9.526398581465e-01
3561401367.187500,4.633542574857e+00,9.853815116899e-01
3561584472.656250,4.602339679970e+00,1.019087106722e+00
3561767578.125000,4.571208163966e+00,1.054576430853e+00
3561950683.593750,4.540149464773e+00,1.136641241619e+00
3562133789.062500,4.559047061962e+00,1.145551927904e+00
3562316894.531250,4.596354168045e+00,1.190948473284e+00
3562500000.000000,4.633675238064e+00,1.223580398284e+00
3562683105.468750,4.671010058613e+00,1.262321800408e+00
3562866210.937500,4.708358422905e+00,1.324383153566e+00
3563049316.406250,4.758835750830e+00,1.391812111603e+00
3563232421.875000,4.845422512693e+00,1.354633069948e+00
3563415527.343750,4.932801556167e+00,1.364723034027e+00
3563598632.812500,5.020931756315e+00,1.375266742204e+00
3563781738.281250,5.109774479240e+00,1.430523653492e+00
3563964843.750000,5.199293425431e+00,1.444957593292e+00
3564147949.218750,5.163214376947e+00,1.453742863943e+00
3564331054.687500,5.097224705475e+00,1.436122799715e+00
3564514160.156250,5.031265033859e+00,1.470124207385e+00
3564697265.625000,4.965335956561e+00,1.486229409758e+00
3564880371.093750,4.899438099224e+00,1.551979515313e+00
3565063476.562500,4.860198119099e+00,1.569374209438e+00
3565246582.031250,4.871185338724e+00,1.629536326161e+00
3565429687.500000,4.882227066486e+00,1.669618240425e+00
3565612792.968750,4.893322933533e+00,1.721092367277e+00
3565795898.437500,4.904472572549e+00,1.787463103301e+00
3565979003.906250,4.915675617778e+00,1.834149686668e+00
3566162109.375000,4.871593460770e+00,1.818367809338e+00
3566345214.843750,4.820427354688e+00,1.838104859742e+00
3566528320.312500,4.769348869473e+00,1.815367346227e+00
3566711425.781250,4.718360617512e+00,1.791851343085e+00
3566894531.250000,4.667465320197e+00,1.841584611926e+00
3567077636.718750,4.599020907855e+00,1.849655101138e+00
3567260742.187500,4.507364238691e+00,1.936880916516e+00
3567443847.656250,4.416784752991e+00,2.018194939156e+00
3567626953.125000,4.327350325184e+00,2.106346784318e+00
3567810058.593750,4.239133661282e+00,2.201900929890e+00
3567993164.062500,4.152212611935e+00,2.234561816146e+00
3568176269.531250,4.202379432638e+00,2.245626590494e+00
3568359375.000000,4.258164414349e+00,2.212776485097e+00
3568542480.468750,4.314271922523e+00,2.183042149057e+00
3568725585.937500,4.370689732060e+00,2.201900927643e+00
3568908691.406250,4.427406173567e+00,2.212168847185e+00
3569091796.875000,4.456965479515e+00,2.161695381327e+00
3569274902.343750,4.459321022359e+00,2.261827024991e+00
3569458007.812500,4.461709226183e+00,2.264717662707e+00
3569641113.281250,4.464130041058e+00,2.296767737552e+00
3569824218.750000,4.466583416444e+00,2.300874575254e+00
3570007324.218750,4.465994566250e+00,2.309564456921e+00
3570190429.687500,4.391662874509e+00,2.273514728718e+00
3570373535.156250,4.317400665936e+00,2.271398032348e+00
3570556640.625000,4.243210684802e+00,2.296836503806e+00
3570739746.093750,4.169095866919e+00,2.276782504504e+00
3570922851.562500,4.095059356457e+00,2.299051066569e+00
3571105957.031250,4.164481580512e+00,2.280267996039e+00
3571289062.500000,4.339692936812e+00,2.192029984167e+00
3571472167.968750,4.516481451844e+00,2.119718556241e+00
3571655273.437500,4.694676867061e+00,2.059934078677e+00
3571838378.906250,4.874132473088e+00,2.085951521541e+00
3572021484.375000,5.020919613339e+00,2.023639862815e+00
3572204589.843750,4.913919328574e+00,2.008370583197e+00
3572387695.312500,4.806964712207e+00,1.949237444648e+00
3572570800.781250,4.700056166204e+00,1.975447462147e+00
3572753906.250000,4.593194126903e+00,2.033374540672e+00
3572937011.718750,4.486379069064e+00,1.984058284781e+00
3573120117.187500,4.442833098124e+00,2.006642676590e+00
3573303222.656250,4.432723779210e+00,2.077039696144e+00
3573486328.125000,4.422949540876e+00,2.087932587994e+00
3573669433.593750,4.413512775614e+00,2.116796871524e+00
3573852539.062500,4.404415819198e+00,2.187672225960e+00
3574035644.531250,4.405928671759e+00,2.239096136551e+00
3574218750.000000,4.450251487080e+00,2.145923971867e+00
3574401855.468750,4.494892339275e+00,2.146910682931e+00
3574584960.937500,4.539841710869e+00,2.124560203257e+00
3574768066.406250,4.585090393780e+00,2.090100643076e+00
3574951171.875000,4.630629480349e+00,2.030996735140e+00
3575134277.343750,4.587389430897e+00,2.009846635344e+00
3575317382.812500,4.511877612021e+00,2.021888629774e+00
3575500488.281250,4.436457886122e+00,2.042367366490e+00
3575683593.750000,4.361134141708e+00,2.078516074295e+00
3575866699.218750,4.285910533699e+00,2.065276084933e+00
3576049804.687500,4.256506709623e+00,2.072768270772e+00
3576232910.156250,4.350490783649e+00,1.961175510488e+00
3576416015.625000,4.445960279698e+00,1.906898781137e+00
3576599121.093750,4.542819773591e+00,1.822602649426e+00
3576782226.562500,4.640980494452e+00,1.746334737929e+00
3576965332.031250,4.740359897585e+00,1.710415714771e+00
3577148437.500000,4.741687904846e+00,1.629128161210e+00
3577331542.968750,4.720023158869e+00,1.676165876146e+00
3577514648.437500,4.698435349161e+00,1.610856117736e+00
3577697753.906250,4.676925525866e+00,1.606299578467e+00
3577880859.375000,4.655494754653e+00,1.580307566189e+00
3578063964.843750,4.674204274117e+00,1.565026334380e+00
3578247070.312500,4.767608516990e+00,1.547865102017e+00
3578430175.781250,4.861088235873e+00,1.524871081841e+00
3578613281.250000,4.954640463200e+00,1.514890603712e+00
3578796386.718750,5.048262446843e+00,1.510487313168e+00
3578979492.187500,5.141951630884e+00,1.574120401000e+00
3579162597.656250,5.037207820998e+00,1.513099962956e+00
3579345703.125000,4.907506306426e+00,1.469570218031e+00
3579528808.593750,4.777885979454e+00,1.459604487711e+00
3579711914.062500,4.648349475323e+00,1.456869447724e+00
3579895019.531250,4.518899722015e+00,1.395686328854e+00
3580078125.000000,4.483225902631e+00,1.415918106245e+00
3580261230.468750,4.573488696912e+00,1.410124104451e+00
3580444335.937500,4.663779273387e+00,1.384415870226e+00
3580627441.406250,4.754097613704e+00,1.399647919181e+00
3580810546.875000,4.844443699524e+00,1.434265945248e+00
3580993652.343750,4.934817512517e+00,1.479578616494e+00
3581176757.812500,4.921022352143e+00,1.433079017343e+00
3581359863.281250,4.903576433813e+00,1.405647524669e+00
3581542968.750000,4.886223717741e+00,1.344923616999e+00
3581726074.218750,4.868965195844e+00,1.285710817297e+00
3581909179.687500,4.851801868704e+00,1.289543481855e+00
3582092285.156250,4.811554411930e+00,1.256773325175e+00
3582275390.625000,4.748641178127e+00,1.293209432207e+00
3582458496.093750,4.685896451780e+00,1.286163994764e+00
3582641601.562500,4.623327037389e+00,1.283799733190e+00
3582824707.031250,4.560940092654e+00,1.276936410424e+00
3583007812.500000,4.506868289512e+00,1.277984607764e+00
3583190917.968750,4.635383481759e+00,1.266666253969e+00
3583374023.437500,4.764237121565e+00,1.236598487336e+00
3583557128.906250,4.893404928146e+00,1.075687770604e+00
3583740234.375000,5.022865050265e+00,1.239432586460e+00
3583923339.843750,5.152597774611e+00,1.263829230275e+00
3584106445.312500,5.173038658266e+00,1.216931642246e+00
3584289550.781250,5.114831993540e+00,1.182929361694e+00
3584472656.250000,5.056878182793e+00,1.093949028100e+00
3584655761.718750,4.999185580937e+00,1.017834812151e+00
