tone_index,freq_hz,input_amp,after_h1_amp,after_plan_b_amp,after_plan_b_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_plan_b_phase_rad,after_plan_b_fixed_phase_rad,h1_phase_delta_rad,plan_b_phase_delta_rad,plan_b_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.632210264801e-02,4.759412620409e-02,4.634854756283e-02,4.634903602051e-02,0.235301865,0.004957289,0.005048828,0.558757009532,-2.056402074375,2.323017619094,2.322914288496,-2.615159083907,-1.903765613710,-1.903868944309,1.764260609562,1.764157278964
1,3567993164.062500,4.632210264801e-02,4.712129283613e-02,4.629640287734e-02,4.629293164750e-02,0.148578656,-0.004820319,-0.005471598,2.726198465358,-0.055323428663,3.286537854638,3.286516034159,-2.781521894022,-2.941324023878,-2.941345844357,0.560339389280,0.560317568801
2,3586120605.468750,4.632210264801e-02,4.679463153877e-02,4.637017852877e-02,4.636376351885e-02,0.088155347,0.009010067,0.007808348,1.938448275284,-1.001439803340,1.291381467045,1.291381132578,-2.939888078624,-3.990364036795,-3.990364371262,-0.647066808239,-0.647067142706
3,3604064941.406250,4.632210264801e-02,4.654769658221e-02,4.640342118081e-02,4.639454436391e-02,0.042198602,0.015234726,0.013572986,4.752623172862,1.657758915941,2.912286073733,2.912244316198,-3.094864256921,-5.028658149388,-5.028699906922,-1.840337099129,-1.840378856664
4,3622009277.343750,4.632210264802e-02,4.619665978006e-02,4.623156645378e-02,4.622178404456e-02,-0.023553786,-0.016993117,-0.018831210,3.694555371231,0.435644118016,0.651568592559,0.651492502662,-3.258911253214,-6.067260832637,-6.067336922534,-3.042986778671,-3.043062868569
5,3639953613.281250,4.632210264801e-02,4.620321114442e-02,4.638013310209e-02,4.637350836889e-02,-0.022322087,0.010874521,0.009633778,6.722893926478,3.310020044216,2.488953241210,2.488877228083,-3.412873882262,-7.104252110186,-7.104328123313,-4.233940685269,-4.234016698395
6,3658081054.687500,4.632210264802e-02,4.606144620583e-02,4.633014643476e-02,4.633034628343e-02,-0.049013902,0.001508165,0.001545632,7.654737731293,4.066604609627,2.201732319161,2.201647182324,-3.588133121667,-8.148057597645,-8.148142734482,-5.453005412132,-5.453090548969
7,3676025390.625000,4.632210264801e-02,4.601772770559e-02,4.623876072097e-02,4.624425384049e-02,-0.057261893,-0.015641578,-0.014609764,10.376978843755,6.625920419771,3.732773629158,3.732658917386,-3.751058423984,-9.176332097793,-9.176446809565,-6.644205214597,-6.644319926369
8,3693969726.562500,4.632210264801e-02,4.622459208214e-02,4.625980292989e-02,4.626551477194e-02,-0.018303546,-0.011689726,-0.010617318,12.644813474731,8.716966315871,4.802900936983,4.802814089704,-3.927847158860,-10.197250686068,-10.197337533347,-7.841912537748,-7.841999385027
9,3712097167.968750,4.632210264800e-02,4.641143524407e-02,4.624743589013e-02,4.625076408783e-02,0.016734686,-0.014012112,-0.013387054,14.175442803885,10.059792813340,5.124387092855,5.124443488966,-4.115649990545,-11.218591027665,-11.218534631554,-9.051055711031,-9.050999314920
10,3730041503.906250,4.632210264801e-02,4.661351925511e-02,4.631531369853e-02,4.631833461407e-02,0.054472564,-0.001273094,-0.000706575,14.126825225871,9.807142385487,3.870212760196,3.870430643007,-4.319682840384,-12.220114932470,-12.219897049659,-10.256612465675,-10.256394582864
11,3747985839.843750,4.632210264802e-02,4.677101281227e-02,4.634887633216e-02,4.635240281446e-02,0.083770198,0.005018902,0.005679748,16.416263325308,11.891049808181,4.959544766091,4.959787219422,-4.525213517128,-13.214690349269,-13.214447895938,-11.456718559217,-11.456476105887
12,3765930175.781250,4.632210264801e-02,4.682568429335e-02,4.630702692358e-02,4.630628362403e-02,0.093917362,-0.002827320,-0.002966743,16.373976836079,11.653840121979,3.732176041545,3.732306465758,-4.720136714100,-14.204849387613,-14.204718963400,-12.641800794533,-12.641670370320
13,3784057617.187500,4.632210264801e-02,4.668406141595e-02,4.624755335475e-02,4.623788162309e-02,0.067607342,-0.013990050,-0.015806717,16.669922378960,11.728848115017,2.807823582334,2.807878387738,-4.941074263944,-15.204209839862,-15.204155034458,-13.862098796626,-13.862043991222
14,3802001953.125000,4.632210264802e-02,4.647995651177e-02,4.633350358967e-02,4.631902436709e-02,0.029548969,0.002137535,-0.000577230,15.000372309940,9.853209211066,-0.060852305991,-0.060734951022,-5.147163098873,-16.197246824237,-16.197129469268,-15.061224615931,-15.061107260962
15,3819946289.062500,4.632210264801e-02,4.618766123252e-02,4.636256948473e-02,4.635311472992e-02,-0.025245857,0.007584652,0.005813151,16.110474712086,10.770190424162,-0.144063911070,-0.143865263830,-5.340284287924,-17.197439642412,-17.197240995172,-16.254538623156,-16.254339975916
16,3837890625.000000,4.632210264801e-02,4.593627692052e-02,4.632589130063e-02,4.632593905114e-02,-0.072649427,0.000710384,0.000719337,18.225419005928,12.699082558385,0.774548934745,0.774698134654,-5.526336447543,-18.207718930819,-18.207569730911,-17.450870071183,-17.450720871274
17,3856018066.406250,4.632210264801e-02,4.574524308096e-02,4.626963269886e-02,4.627423232139e-02,-0.108846499,-0.009844253,-0.008980839,20.600446078800,14.901128661631,1.941018951498,1.941026092365,-5.699317417169,-19.243295017312,-19.243287876445,-18.659427127302,-18.659419986435
18,3873962402.343750,4.632210264801e-02,4.574450966298e-02,4.634696057027e-02,4.634937254785e-02,-0.108985758,0.004659876,0.005111893,20.825885674909,14.966208181591,0.963458012062,0.963401879035,-5.859677493318,-20.285935476708,-20.285991609736,-19.862427662846,-19.862483795874
19,3891906738.281250,4.632210264801e-02,4.573020190815e-02,4.628782255348e-02,4.628759041884e-02,-0.111702915,-0.006430264,-0.006473824,18.102028417588,12.108760765311,3.332553583716,3.332577145257,-5.993267652277,-21.342577795955,-21.342554234414,-21.052660141052,-21.052636579511
20,3910034179.687500,4.632210264801e-02,4.600224677947e-02,4.634859538035e-02,4.634977372054e-02,-0.060184424,0.004966251,0.005187073,19.362986119700,13.236646335136,3.381322357771,3.381469322251,-6.126339784564,-22.421694591724,-22.421547627245,-22.264849069108,-22.264702104629
21,3927978515.625000,4.632210264801e-02,4.629123676824e-02,4.629097544149e-02,4.629470615386e-02,-0.005789612,-0.005838646,-0.005138655,18.654655442909,12.417046027391,1.472873329433,1.473066216145,-6.237609415518,-23.510543312317,-23.510350425605,-23.464967420655,-23.464774533943
