tap,coeff_real,coeff_imag,coeff_abs,coeff_phase_rad
0,-1.527533601286559e+00,3.604101129183194e+00,3.914448090400364e+00,1.971677301660570e+00
1,2.361818644316481e+00,3.084976316685695e+00,3.885262691653240e+00,9.173937629186651e-01
2,-3.577760782946898e+00,4.487029688073549e-01,3.605787926959839e+00,3.016829587326828e+00
3,3.429530705617656e-01,-7.603549111675978e-01,8.341201349592449e-01,-1.147075040440276e+00
4,-1.013615219935879e+00,-1.289062452012472e+00,1.639846888972891e+00,-2.237139788941005e+00
5,2.767593454873607e+00,-3.714292732558553e-01,2.792406352322420e+00,-1.334094347927407e-01
6,-1.003763802662912e+00,2.404875784621757e+00,2.605948831231423e+00,1.966201034023592e+00
7,-9.154385921352453e-01,-1.224103791739635e+00,1.528547646925640e+00,-2.212916123064973e+00
8,1.273960428142444e-01,9.265418983317335e-03,1.277325319316313e-01,7.260142322689675e-02
9,4.052962605925536e-01,-1.047436529088124e+00,1.123115462149143e+00,-1.201598048636132e+00
10,1.178755541495197e+00,1.502022301266636e+00,1.909328578351028e+00,9.054056435802214e-01
11,-2.099631731839491e+00,2.869857149424985e-01,2.119154126043776e+00,3.005750600917464e+00
12,6.903036717943616e-01,-1.660629908641814e+00,1.798391184578177e+00,-1.176839520482776e+00
13,6.584752328502069e-01,8.823683694454505e-01,1.100983002445977e+00,9.296938362486906e-01
14,-2.317863394789527e-01,5.793353591971335e-03,2.318587287873672e-01,3.116603486187409e+00
15,-2.059960649779443e-01,5.749681231378384e-01,6.107558607259090e-01,1.914822993886566e+00
16,-7.890457947329395e-01,-9.799715848154616e-01,1.258148470265518e+00,-2.248683051231115e+00
17,1.594470517255760e+00,-2.338632072321967e-01,1.611529779462602e+00,-1.456330045299560e-01
18,-6.140592603420151e-01,1.518295582858250e+00,1.637769902073748e+00,1.955124304153741e+00
19,-8.326464569521329e-01,-1.083355687534239e+00,1.366367325424508e+00,-2.226083523839347e+00
20,8.683201544853345e-01,-1.022086145583563e-01,8.743148698125714e-01,-1.171692916071972e-01
21,-1.233150458193546e-01,2.366585926450747e-01,2.668593074977468e-01,2.051155353993793e+00
22,2.362074550291959e-01,2.566586193445531e-01,3.488088426276229e-01,8.268687372611174e-01
23,-8.538102364777964e-01,1.468227792013607e-01,8.663422236083625e-01,2.971296381345192e+00
24,4.353888915138079e-01,-1.134234258780163e+00,1.214928327369236e+00,-1.204279372146306e+00
25,8.431616427174142e-01,1.058524899462544e+00,1.353290995511356e+00,8.981662656911003e-01
26,-1.263504876082289e+00,1.798630110960862e-01,1.276242639408460e+00,3.000190235688179e+00
27,3.868678306400988e-01,-9.341210739888364e-01,1.011063251856299e+00,-1.178150049233904e+00
28,3.606266313617078e-01,4.922591679051699e-01,6.102218085532369e-01,9.385277562229549e-01
29,-1.427030654723362e-01,-6.904262700455112e-03,1.428699889362310e-01,-3.093248330926972e+00
30,-9.332352041387046e-02,3.140233538085204e-01,3.275972316726581e-01,1.859669989570715e+00
31,-4.705167228881422e-01,-5.511048122683516e-01,7.246395660069438e-01,-2.277474968298083e+00
32,9.884746961564733e-01,-1.668687176110658e-01,1.002460669482246e+00,-1.672375889208711e-01
33,-4.044243796735287e-01,1.054723944432510e+00,1.129602442381209e+00,1.936946691783574e+00
34,-6.833065624549509e-01,-8.587528421147191e-01,1.097435329363015e+00,-2.242907620708142e+00
35,9.105152548046724e-01,-1.257712715136241e-01,9.191607269515878e-01,-1.372633591321704e-01
36,-2.477016165090951e-01,5.753469804531989e-01,6.264026171224322e-01,1.977337900616873e+00
37,-1.425519578413932e-01,-2.224526446273092e-01,2.642087049778986e-01,-2.140690561738369e+00
38,-1.140236644187466e-01,4.862041498493551e-02,1.239570119064924e-01,2.738531415183167e+00
39,1.432910387750294e-01,-4.509991554701995e-01,4.732151308105650e-01,-1.263163795392654e+00
40,4.897608948665275e-01,5.691863201448524e-01,7.508920036732980e-01,8.602621280539393e-01
41,-9.094903068405763e-01,1.586509902228925e-01,9.232241087274908e-01,2.968890930720225e+00
42,3.444121147384304e-01,-9.103423072962112e-01,9.733153760379969e-01,-1.209107186027648e+00
43,5.621768349303082e-01,7.033358505285991e-01,9.004021947835572e-01,8.964819348597434e-01
44,-7.122948335872767e-01,9.687038105329460e-02,7.188517237097903e-01,3.006424320740135e+00
45,1.857180680388894e-01,-4.161176862445352e-01,4.556809515457091e-01,-1.151014071967567e+00
46,6.757731303319041e-02,1.316098694448888e-01,1.479454324137331e-01,1.096433323172003e+00
47,1.654204858546370e-01,-5.978918908861740e-02,1.758939574637474e-01,-3.468276903960218e-01
48,-1.342799719723305e-01,4.404676373213762e-01,4.604811075390230e-01,1.866703790847841e+00
49,-4.512029875105500e-01,-5.123285048089014e-01,6.826892651698648e-01,-2.292840344437689e+00
50,8.038513502527116e-01,-1.483689405127412e-01,8.174291013977792e-01,-1.825184865187386e-01
51,-2.951244476547667e-01,7.992218000954538e-01,8.519706129622950e-01,1.924529386875047e+00
52,-4.942352383084225e-01,-6.110369432788630e-01,7.858973322498045e-01,-2.250908390545778e+00
53,6.245017940875763e-01,-8.672554772977589e-02,6.304948940694376e-01,-1.379890373862614e-01
54,-1.667764155001953e-01,3.713199188431167e-01,4.070538722291591e-01,1.992938851132287e+00
55,-6.526956972814649e-02,-1.299642756399161e-01,1.454332481762869e-01,-2.036211668080877e+00
56,-1.237962072626101e-01,5.644237056704420e-02,1.360560256946919e-01,2.713818522175046e+00
57,1.013946289467771e-01,-3.699892421302570e-01,3.836312162368654e-01,-1.303315857708496e+00
58,3.939577809112677e-01,4.301414525814440e-01,5.832875811890778e-01,8.292769163469540e-01
59,-6.981319864019827e-01,1.400858355552034e-01,7.120479701261549e-01,2.943564388721560e+00
60,2.530697728916560e-01,-7.138792134592473e-01,7.574086356522667e-01,-1.230118745266743e+00
61,4.570138292408983e-01,5.521721985622640e-01,7.167675892383202e-01,8.794123920885596e-01
62,-5.906655666994213e-01,8.815115474632110e-02,5.972071983553600e-01,2.993445691430876e+00
63,1.652804780937102e-01,-3.800693322314936e-01,4.144518473137487e-01,-1.160596093745789e+00
64,9.642205539981857e-02,1.655733568595865e-01,1.916031034959446e-01,1.043454017330041e+00
65,4.454889645395747e-02,-4.514775883770084e-02,6.342652681120589e-02,-7.920745939034444e-01
66,-6.106529702445659e-02,2.769557056324249e-01,2.836078866728489e-01,1.787811667559344e+00
67,-3.314024015492448e-01,-3.416137572479483e-01,4.759490633394156e-01,-2.341023127509395e+00
68,5.982073771769737e-01,-1.337026639208869e-01,6.129669391153945e-01,-2.198915410402852e-01
69,-2.154176011613754e-01,6.458155655620736e-01,6.807954814864612e-01,1.892749977093346e+00
70,-4.385501412457270e-01,-5.115200160551820e-01,6.737796028463171e-01,-2.279540258184035e+00
71,5.863951587212127e-01,-9.828972507095324e-02,5.945756068206969e-01,-1.660730634852247e-01
72,-1.708901460539899e-01,4.201788435124381e-01,4.536008185109501e-01,1.957072153262613e+00
73,-1.505377545500878e-01,-2.217065482478989e-01,2.679839716867045e-01,-2.167285797869487e+00
74,6.075853525509532e-02,2.473765528203584e-02,6.560145726428261e-02,3.866523587554367e-01
75,1.678778168129472e-02,-1.607609292565656e-01,1.616351013524392e-01,-1.466746453644876e+00
76,2.538955892712652e-01,2.410072141029581e-01,3.500677755822036e-01,7.593618131443800e-01
77,-4.839231484334047e-01,1.217886580592338e-01,4.990131168832819e-01,2.895043389932019e+00
78,1.755587941123719e-01,-5.655932430674053e-01,5.922133119017970e-01,-1.269827942594458e+00
79,4.126402620117914e-01,4.638502643525008e-01,6.208293272494823e-01,8.437580079919489e-01
80,-5.733858842034780e-01,1.064892962414302e-01,5.831906570048936e-01,2.957964685934228e+00
81,1.734897467065226e-01,-4.525953963790972e-01,4.847074220969239e-01,-1.204749742060542e+00
82,2.000023084460562e-01,2.715678964388889e-01,3.372685069199235e-01,9.360091306240442e-01
83,-1.588469022536004e-01,-5.246089974473761e-03,1.589335075293601e-01,-3.108578576476136e+00
84,2.547175912939540e-02,5.076352947694826e-02,5.679565509880957e-02,1.105731471050765e+00
85,-1.808633819215542e-01,-1.437834397182097e-01,2.310524625648946e-01,-2.469917927074162e+00
86,3.733433158907262e-01,-1.132895550642122e-01,3.901535015951155e-01,-2.946153034080453e-01
87,-1.324655904827082e-01,4.898318548123930e-01,5.074272151263487e-01,1.834909589434123e+00
88,-3.933350256295539e-01,-4.136348075987605e-01,5.707943556520733e-01,-2.331044229499404e+00
89,5.609853077521088e-01,-1.239278153693477e-01,5.745107648564536e-01,-2.174190649131863e-01
90,-1.665158665664077e-01,4.918088321669202e-01,5.192335324454224e-01,1.897260024846279e+00
91,-2.631646710244750e-01,-3.166733532947958e-01,4.117495073007262e-01,-2.264172997421183e+00
92,2.624893506149412e-01,-3.098644842311830e-02,2.643119731910231e-01,-1.175045903535805e-01
93,-5.594857447936934e-02,7.690751669514392e-02,9.510525280176368e-02,2.199727268110003e+00
94,8.270527299598752e-02,4.493701175791841e-02,9.412490216235085e-02,4.977149263209463e-01
95,-2.440192977911781e-01,8.253190211808939e-02,2.575983939424498e-01,2.815451686247195e+00
96,9.752091135777710e-02,-3.826173314164689e-01,3.948497821353222e-01,-1.321231480349331e+00
97,3.413849653621481e-01,3.515137945975914e-01,4.900057574842491e-01,8.000151730465417e-01
98,-5.199903550309715e-01,1.206742939787423e-01,5.338091930198502e-01,2.913558916636776e+00
99,1.605762732254211e-01,-4.973194015196211e-01,5.226005421455274e-01,-1.258479838386760e+00
100,3.014425395677588e-01,3.454123919064138e-01,4.584510062630137e-01,8.532685858091976e-01
101,-3.436547950037035e-01,5.974984976843588e-02,3.488103534535467e-01,2.969447600163418e+00
102,7.818234926773074e-02,-1.902680234817699e-01,2.057046438383947e-01,-1.180923378557464e+00
103,1.862954811496732e-02,4.144247708162714e-02,4.543719808294822e-02,1.148335100449495e+00
104,1.159444496796575e-01,-3.225880065511363e-02,1.203484342699355e-01,-2.713632386306334e-01
105,-8.653053008122523e-02,2.539494881376445e-01,2.682869269299372e-01,1.899197233173743e+00
106,-2.439170318015429e-01,-3.000486698777578e-01,3.866842674563921e-01,-2.253368761887876e+00
107,4.601695555717693e-01,-5.823272269818264e-02,4.638394871806011e-01,-1.258771461422669e-01
108,-2.083075038059109e-01,4.465640298695351e-01,4.927590170815432e-01,2.007259735797864e+00
109,-2.498888720557778e-01,-4.001546518863633e-01,4.717713363522688e-01,-2.129022152622269e+00
110,4.045786932685097e-01,1.896586522239982e-02,4.050229908171746e-01,4.684376858571303e-02
111,-2.002948711199332e-01,2.279017482528401e-01,3.034093641495785e-01,2.291811167473249e+00
112,6.762498582691456e-03,-1.905131702278333e-01,1.906331540350216e-01,-1.535314997546905e+00
113,1.090987218754962e-02,1.393110481850927e-01,1.397375878480014e-01,1.492642792879896e+00
114,-7.747491062156156e-02,-2.054813261055569e-01,2.196017694690030e-01,-1.931355275686592e+00
115,3.005606167941179e-01,1.424556868895313e-01,3.326113454090657e-01,4.426048188162173e-01
116,-3.790510374306256e-01,1.944080647415360e-01,4.259978692596746e-01,2.667693447723156e+00
117,6.270105858686495e-02,-4.777992280891012e-01,4.818957616647551e-01,-1.440313053979025e+00
118,3.713004708531185e-01,3.233765602227027e-01,4.923783498055279e-01,7.165199688607707e-01
119,-4.391836468327970e-01,1.219296068351420e-01,4.557950248393759e-01,2.870785006724311e+00
120,1.203965715204608e-01,-3.562798900992290e-01,3.760727250453031e-01,-1.244917243184384e+00
121,1.481601831267695e-01,2.169107693294599e-01,2.626817879398114e-01,9.715392693248196e-01
122,-1.298374249979180e-01,-3.526166346682401e-02,1.345404840207494e-01,-2.876405780314148e+00
123,6.782786519509482e-02,5.533905865306829e-02,8.753873833641702e-02,6.843461332228395e-01
124,-1.890746185077917e-01,-6.989815528058116e-02,2.015811585329720e-01,-2.787489343814672e+00
125,2.792129866148119e-01,-1.583815721162563e-01,3.210056296708518e-01,-5.159850400415606e-01
126,-3.786043801586728e-02,4.101840088234817e-01,4.119275832731470e-01,1.662836645809479e+00
127,-3.618339521711166e-01,-2.883899442818595e-01,4.627013820021115e-01,-2.468669657038492e+00
128,4.434504366870434e-01,-1.492035339888247e-01,4.678781725542279e-01,-3.245623151993826e-01
129,-1.068412443513551e-01,4.136391813124882e-01,4.272147279898147e-01,1.823567390339889e+00
130,-2.281289958613053e-01,-2.595765442915969e-01,3.455760713635347e-01,-2.291803027345298e+00
131,2.328109467778832e-01,-1.416692812970832e-02,2.332415888992499e-01,-6.077669769912235e-02
132,-8.798875915912562e-02,6.981230988615332e-02,1.123199908743003e-01,2.470874931074891e+00
133,9.720655119702468e-02,-1.790693206861296e-02,9.884215604553404e-02,-1.821729083570723e-01
134,-1.659075921811839e-01,1.361916725661933e-01,2.146473871719273e-01,2.454243825672097e+00
135,-3.542087272583455e-03,-3.260963127684622e-01,3.261155494352168e-01,-1.581657988946191e+00
136,3.386578535726369e-01,2.269353531975836e-01,4.076626010775793e-01,5.903772400753875e-01
137,-4.132023870445856e-01,1.758023688239612e-01,4.490464180276462e-01,2.739329821057249e+00
138,7.544833605758350e-02,-4.392891093090269e-01,4.457211829960253e-01,-1.400704863171021e+00
139,2.918552595390464e-01,2.708850248407024e-01,3.981936579147791e-01,7.481508991846355e-01
140,-3.043689682552903e-01,6.837739169146205e-02,3.119550232506563e-01,2.920608547066788e+00
141,8.817974631581442e-02,-1.773034285533676e-01,1.980206389170091e-01,-1.109280522334942e+00
142,-3.679378501111961e-03,8.445042306494695e-02,8.453053757076769e-02,1.614337293582909e+00
143,6.177575010157956e-02,-9.893494115262347e-02,1.166377549573288e-01,-1.012622968097245e+00
144,2.968193590444465e-02,2.343158626499444e-01,2.361883587487393e-01,1.444792552093649e+00
145,-2.969727246314494e-01,-1.690528446031148e-01,3.417186905093597e-01,-2.624087537051465e+00
146,3.714940642779995e-01,-1.851690322457975e-01,4.150848230140818e-01,-4.624021311469575e-01
147,-5.019037529528592e-02,4.447847286051634e-01,4.476075608975462e-01,1.683162950865365e+00
148,-3.374368006137147e-01,-2.757673450959428e-01,4.357880482868761e-01,-2.456426683531282e+00
149,3.637216514943916e-01,-1.136947394651153e-01,3.810773327657369e-01,-3.029643255399748e-01
150,-8.900032192499993e-02,2.759461008663820e-01,2.899436288075893e-01,1.882790691780051e+00
151,-8.857572880952717e-02,-1.510754536299558e-01,1.751269608702093e-01,-2.101082326424551e+00
152,4.979902892680208e-02,5.949767068439445e-02,7.758811828444559e-02,8.739031682602584e-01
153,-5.970176699813429e-02,-1.264639710486945e-01,1.398479065131279e-01,-2.011863749555803e+00
154,2.380848540722255e-01,9.356792801062024e-02,2.558111703792341e-01,3.744594783948655e-01
155,-2.991704443857660e-01,1.881897256585512e-01,3.534378695576034e-01,2.580094522618221e+00
156,1.188581345114123e-02,-4.168111274701579e-01,4.169805613506936e-01,-1.542287986863791e+00
157,3.609295290982001e-01,2.494441949480189e-01,4.387397079913257e-01,6.047386724627605e-01
158,-3.850082426569756e-01,1.581394691808077e-01,4.162204207227226e-01,2.751859449293566e+00
159,7.015045648915581e-02,-3.449147479111897e-01,3.519762348117789e-01,-1.370148170272170e+00
