tap,coeff_real_float,coeff_imag_float,coeff_real_int,coeff_imag_int,coeff_real_fixed,coeff_imag_fixed,coeff_abs_fixed,coeff_real_error,coeff_imag_error
0,-1.527533601286559e+00,3.604101129183194e+00,-50054,118099,-1.527526855468750e+00,3.604095458984375e+00,3.914440237332796e+00,6.745817809461485e-06,-5.670198818918948e-06
1,2.361818644316481e+00,3.084976316685695e+00,77392,101089,2.361816406250000e+00,3.084991455078125e+00,3.885273351353378e+00,-2.238066480586554e-06,1.513839242983650e-05
2,-3.577760782946898e+00,4.487029688073549e-01,-117236,14703,-3.577758789062500e+00,4.486999511718750e-01,3.605785573061106e+00,1.993884397588630e-06,-3.017635479940495e-06
3,3.429530705617656e-01,-7.603549111675978e-01,11238,-24915,3.429565429687500e-01,-7.603454589843750e-01,8.341129464066818e-01,3.472406984394993e-06,9.452183222791177e-06
4,-1.013615219935879e+00,-1.289062452012472e+00,-33214,-42240,-1.013610839843750e+00,-1.289062500000000e+00,1.639844219294931e+00,4.380092129441238e-06,-4.798752750723168e-08
5,2.767593454873607e+00,-3.714292732558553e-01,90689,-12171,2.767608642578125e+00,-3.714294433593750e-01,2.792421427698081e+00,1.518770451758300e-05,-1.701035197143597e-07
6,-1.003763802662912e+00,2.404875784621757e+00,-32891,78803,-1.003753662109375e+00,2.404876708984375e+00,2.605945778333367e+00,1.014055353687482e-05,9.243626184485265e-07
7,-9.154385921352453e-01,-1.224103791739635e+00,-29997,-40111,-9.154357910156250e-01,-1.224090576171875e+00,1.528535385964354e+00,2.801119620254866e-06,1.321556775968347e-05
8,1.273960428142444e-01,9.265418983317335e-03,4175,304,1.274108886718750e-01,9.277343750000000e-03,1.277482041330233e-01,1.484585763056323e-05,1.192476668266523e-05
9,4.052962605925536e-01,-1.047436529088124e+00,13281,-34322,4.053039550781250e-01,-1.047424316406250e+00,1.123106849147075e+00,7.694485571418941e-06,1.221268187379110e-05
10,1.178755541495197e+00,1.502022301266636e+00,38625,49218,1.178741455078125e+00,1.502014160156250e+00,1.909313477465023e+00,-1.408641707234537e-05,-8.141110386050698e-06
