metric,value
float_coefficients_csv,D:\桌面\Rigol\data\plan_b_pipeline_data_20260611_032526\plan_b_complex_fir\complex_fir_coefficients.csv
fs_hz,12000000000.000000
coeff_total_bits,1.800000000000e+01
coeff_frac_bits,1.500000000000e+01
coeff_lsb,3.051757812500e-05
coeff_range_min,-4.000000000000e+00
coeff_range_max,3.999969482422e+00
saturation_count,0.000000000000e+00
max_abs_coeff_fixed,3.914440237333e+00
max_abs_coeff_error,2.123801989930e-05
rms_coeff_error,1.281448504498e-05
fixed_total_magnitude_ripple_db,7.499709349259e-02
fixed_vs_float_magnitude_error_rms_db,1.097538593220e-03
fixed_total_group_delay_mean_ns,1.062616324195e+01
fixed_total_group_delay_ripple_pp_ns,2.095121533314e+00
fixed_phase_error_rms_rad,3.278693877251e-03
fixed_phase_error_max_abs_rad,1.251754993195e-02
