freq_hz,h1_abs_db,fixed_fir_abs_db,fixed_fir_phase_rad,fixed_total_abs_db,fixed_total_phase_rad,target_phase_rad,fixed_phase_error_rad,fixed_total_group_delay_ns
3500000000.000000,3.855451010000e-01,-3.844662411360e-01,9.608485230595e-01,1.078859863973e-03,-1.175872481224e+00,-1.178097245096e+00,2.224763872597e-03,1.163707809266e+01
3501000000.000000,3.901036270000e-01,-3.861914491193e-01,9.043122836162e-01,3.912177880721e-03,-1.248990399314e+00,-1.244856088985e+00,-4.134310328905e-03,1.081761039224e+01
3502000000.000000,3.883351440000e-01,-3.871142982918e-01,8.476716284099e-01,1.220845708163e-03,-1.311810582574e+00,-1.311614932874e+00,-1.956497004305e-04,1.075225710676e+01
3503000000.000000,4.117424110000e-01,-3.873137966357e-01,7.909403980468e-01,2.442861436435e-02,-1.384107247058e+00,-1.378373776763e+00,-5.733470295712e-03,1.074456429630e+01
3504000000.000000,3.700561730000e-01,-3.868654688252e-01,7.341311377408e-01,-1.680929582517e-02,-1.446830759611e+00,-1.445132620651e+00,-1.698138960016e-03,9.949578474882e+00
3505000000.000000,3.897230390000e-01,-3.858411051125e-01,6.772551532318e-01,3.881933887547e-03,-1.509137337630e+00,-1.511891464540e+00,2.754126909828e-03,1.028957978367e+01
3506000000.000000,3.782674160000e-01,-3.843085573186e-01,6.203225693392e-01,-6.041141318610e-03,-1.576133432639e+00,-1.578650308429e+00,2.516875789946e-03,1.054728037665e+01
3507000000.000000,3.848970540000e-01,-3.823315817847e-01,5.633423905393e-01,2.565472215318e-03,-1.641678371817e+00,-1.645409152318e+00,3.730780500894e-03,1.052425474639e+01
3508000000.000000,3.696106070000e-01,-3.799697282937e-01,5.063225629981e-01,-1.035912129373e-02,-1.708385118222e+00,-1.712167996206e+00,3.782877984470e-03,1.036540840180e+01
3509000000.000000,3.639486300000e-01,-3.772782732218e-01,4.492700375172e-01,-1.332964322180e-02,-1.771933935363e+00,-1.778926840095e+00,6.992904732309e-03,1.128235155448e+01
3510000000.000000,3.586430510000e-01,-3.743081945958e-01,3.921908329001e-01,-1.566514359576e-02,-1.850163329257e+00,-1.845685683984e+00,-4.477645272980e-03,1.103623018128e+01
3511000000.000000,3.815279570000e-01,-3.711061862570e-01,3.350900992878e-01,1.042177074304e-02,-1.910619294006e+00,-1.912444527873e+00,1.825233866480e-03,9.982772157706e+00
3512000000.000000,3.594855170000e-01,-3.677147079924e-01,2.779721810566e-01,-8.229190992427e-03,-1.975610543949e+00,-1.979203371762e+00,3.592827812138e-03,1.085784762810e+01
3513000000.000000,3.651309390000e-01,-3.641720682508e-01,2.208406789199e-01,9.588707491546e-04,-2.047063031375e+00,-2.045962215650e+00,-1.100815724820e-03,1.097704471894e+01
3514000000.000000,3.488386020000e-01,-3.605125359087e-01,1.636985109170e-01,-1.167393390874e-02,-2.113552156138e+00,-2.112721059539e+00,-8.310965989073e-04,1.054538341666e+01
3515000000.000000,3.538469780000e-01,-3.567664774893e-01,1.065479720146e-01,-2.919499489279e-03,-2.179580227659e+00,-2.179479903428e+00,-1.003242315334e-04,1.133550791732e+01
3516000000.000000,3.542196210000e-01,-3.529605162553e-01,4.939079208504e-02,1.259104744710e-03,-2.255998349729e+00,-2.246238747317e+00,-9.759602412319e-03,1.077068993852e+01
3517000000.000000,3.793897400000e-01,-3.491177096545e-01,-7.771807939138e-03,3.027203034554e-02,-2.314928709199e+00,-2.312997591205e+00,-1.931117993723e-03,1.037648130197e+01
3518000000.000000,3.464402270000e-01,-3.452577417006e-01,-6.493906190044e-02,1.182485299445e-03,-2.386393059443e+00,-2.379756435094e+00,-6.636624348275e-03,1.000144562196e+01
3519000000.000000,3.442667680000e-01,-3.413971270486e-01,-1.221106063840e-01,2.869640951378e-03,-2.440610581564e+00,-2.446515278983e+00,5.904697418947e-03,1.013110372635e+01
3520000000.000000,3.343393590000e-01,-3.375494237158e-01,-1.792864309253e-01,-3.210064715770e-03,-2.513704263600e+00,-2.513274122872e+00,-4.301407285632e-04,1.121999754225e+01
3521000000.000000,3.529102790000e-01,-3.337254515447e-01,-2.364668305561e-01,1.918482745531e-02,-2.581605228972e+00,-2.580032966761e+00,-1.572262211615e-03,1.067610969790e+01
3522000000.000000,3.239275430000e-01,-3.299335138222e-01,-2.936523607517e-01,-6.005970822183e-03,-2.647864214784e+00,-2.646791810649e+00,-1.072404134416e-03,1.100002669914e+01
3523000000.000000,3.205464110000e-01,-3.261796196392e-01,-3.508437948403e-01,-5.633208639199e-03,-2.719835641241e+00,-2.713550654538e+00,-6.284986703227e-03,1.070319664745e+01
3524000000.000000,3.210700520000e-01,-3.224677047937e-01,-4.080420839100e-01,-1.397652793744e-03,-2.782364550614e+00,-2.780309498427e+00,-2.055052187099e-03,9.962458001463e+00
3525000000.000000,3.164875000000e-01,-3.187998493444e-01,-4.652483192387e-01,-2.312349344422e-03,-2.845027580718e+00,-2.847068342316e+00,2.040761597927e-03,1.062625207301e+01
3526000000.000000,3.211735800000e-01,-3.151764901182e-01,-5.224636972630e-01,5.997089881777e-03,-2.915897972405e+00,-2.913827186205e+00,-2.070786200507e-03,1.091721126345e+01
3527000000.000000,3.029541520000e-01,-3.115966266642e-01,-5.796894870875e-01,-8.642474664199e-03,-2.982217303530e+00,-2.980586030093e+00,-1.631273436296e-03,1.001150301499e+01
3528000000.000000,2.998203890000e-01,-3.080580194437e-01,-6.369270005311e-01,-8.237630443656e-03,-3.041706229698e+00,-3.047344873982e+00,5.638644283889e-03,1.054524689977e+01
3529000000.000000,3.076300770000e-01,-3.045573791775e-01,-6.941775646919e-01,3.072697822488e-03,-3.114732784292e+00,-3.114103717871e+00,-6.290664211179e-04,1.103655024832e+01
3530000000.000000,3.075211840000e-01,-3.010905465202e-01,-7.514424970105e-01,6.430637479817e-03,-3.180395610423e+00,-3.180862561760e+00,4.669513370628e-04,1.006831780042e+01
3531000000.000000,3.142530720000e-01,-2.976526613743e-01,-8.087230827981e-01,1.660041062565e-02,-3.241254997235e+00,-3.247621405648e+00,6.366408413213e-03,1.052820619175e+01
3532000000.000000,2.958377690000e-01,-2.942383213498e-01,-8.660205551934e-01,1.599447650170e-03,-3.312696951333e+00,-3.314380249537e+00,1.683298204698e-03,1.075790175478e+01
3533000000.000000,2.942248390000e-01,-2.908417290137e-01,-9.233360774955e-01,3.383109986307e-03,-3.376442777719e+00,-3.381139093426e+00,4.696315707457e-03,1.058678341306e+01
3534000000.000000,2.938778580000e-01,-2.874568277287e-01,-9.806707278248e-01,6.421030271310e-03,-3.445734395315e+00,-3.447897937315e+00,2.163541999873e-03,1.104778758835e+01
