freq_hz,h1_abs_db,h1_phase_rad,fir_abs_db,fir_phase_rad,total_abs_db,total_phase_rad,target_phase_rad,phase_error_rad,total_group_delay_ns
3500000000.000000,3.855451010000e-01,-2.136721004283e+00,-3.841029107235e-01,9.609233726342e-01,1.442190276508e-03,-1.175797631649e+00,-1.178097245096e+00,2.299613447284e-03,1.163650988701e+01
3501000000.000000,3.901036270000e-01,-2.153302682930e+00,-3.858970248716e-01,9.043907033323e-01,4.206602128379e-03,-1.248911979598e+00,-1.244856088985e+00,-4.055890612849e-03,1.081703727084e+01
3502000000.000000,3.883351440000e-01,-2.159482210984e+00,-3.868884987366e-01,8.477536800405e-01,1.446645263427e-03,-1.311728530944e+00,-1.311614932874e+00,-1.135980698224e-04,1.075167496795e+01
3503000000.000000,4.117424110000e-01,-2.175047645105e+00,-3.871560458466e-01,7.910261331349e-01,2.458636515343e-02,-1.384021511970e+00,-1.378373776763e+00,-5.647735207656e-03,1.074397481779e+01
3504000000.000000,3.700561730000e-01,-2.180961897352e+00,-3.867749055367e-01,7.342205969769e-01,-1.671873253666e-02,-1.446741300375e+00,-1.445132620651e+00,-1.608679723938e-03,9.948983430876e+00
3505000000.000000,3.897230390000e-01,-2.186392490862e+00,-3.858165930095e-01,6.773483658634e-01,3.906445990508e-03,-1.509044124999e+00,-1.511891464540e+00,2.847339541392e-03,1.028898103980e+01
3506000000.000000,3.782674160000e-01,-2.196456001978e+00,-3.843486963929e-01,6.204195526126e-01,-6.081280392911e-03,-1.576036449365e+00,-1.578650308429e+00,2.613859063356e-03,1.054667988453e+01
3507000000.000000,3.848970540000e-01,-2.205020762356e+00,-3.824347206497e-01,5.634431491774e-01,2.462333350275e-03,-1.641577613179e+00,-1.645409152318e+00,3.831539138942e-03,1.052365453768e+01
3508000000.000000,3.696106070000e-01,-2.214707681220e+00,-3.801339773549e-01,5.064270887166e-01,-1.052337035493e-02,-1.708280592503e+00,-1.712167996206e+00,3.887403702928e-03,1.036481058166e+01
3509000000.000000,3.639486300000e-01,-2.221203972880e+00,-3.775015186007e-01,4.493783085847e-01,-1.355288860065e-02,-1.771825664295e+00,-1.778926840095e+00,7.101175799815e-03,1.128175829426e+01
3510000000.000000,3.586430510000e-01,-2.242354162157e+00,-3.745881127112e-01,3.923028137463e-01,-1.594506171116e-02,-1.850051348411e+00,-1.845685683984e+00,-4.365664426755e-03,1.103564371046e+01
3511000000.000000,3.815279570000e-01,-2.245709393294e+00,-3.714402589691e-01,3.352057401650e-01,1.008769803094e-02,-1.910503653129e+00,-1.912444527873e+00,1.940874743657e-03,9.982194754930e+00
3512000000.000000,3.594855170000e-01,-2.253582725006e+00,-3.681002382173e-01,2.780914177601e-01,-8.614721217327e-03,-1.975491307246e+00,-1.979203371762e+00,3.712064515635e-03,1.085728161136e+01
3513000000.000000,3.651309390000e-01,-2.267903710295e+00,-3.646061959591e-01,2.209634325732e-01,5.247430409264e-04,-2.046940277722e+00,-2.045962215650e+00,-9.780620715190e-04,1.097649243488e+01
3514000000.000000,3.488386020000e-01,-2.277250667055e+00,-3.609922544205e-01,1.638246878267e-01,-1.215365242051e-02,-2.113425979228e+00,-2.112721059539e+00,-7.049196892415e-04,1.054484722904e+01
3515000000.000000,3.538469780000e-01,-2.286128199674e+00,-3.572886499847e-01,1.066774636003e-01,-3.441671984746e-03,-2.179450736074e+00,-2.179479903428e+00,2.916735411818e-05,1.133499019468e+01
3516000000.000000,3.542196210000e-01,-2.305389141814e+00,-3.535218924174e-01,4.952347488916e-02,6.977285825623e-04,-2.255865666925e+00,-2.246238747317e+00,-9.626919608197e-03,1.077019304118e+01
3517000000.000000,3.793897400000e-01,-2.307156901260e+00,-3.497149423661e-01,-7.636072157322e-03,2.967479763393e-02,-2.314792973417e+00,-2.312997591205e+00,-1.795382211907e-03,1.037600756829e+01
3518000000.000000,3.464402270000e-01,-2.321453997542e+00,-3.458874037184e-01,-6.480042598342e-02,5.528232815702e-04,-2.386254423525e+00,-2.379756435094e+00,-6.497988431259e-03,1.000099735425e+01
3519000000.000000,3.442667680000e-01,-2.318499975180e+00,-3.420557275791e-01,-1.219692375041e-01,2.211040420894e-03,-2.440469212684e+00,-2.446515278983e+00,6.046066298875e-03,1.013068317627e+01
3520000000.000000,3.343393590000e-01,-2.334417832675e+00,-3.382334248178e-01,-1.791425102200e-01,-3.894065817833e-03,-2.513560342895e+00,-2.513274122872e+00,-2.862200232858e-04,1.121960689597e+01
3521000000.000000,3.529102790000e-01,-2.345138398416e+00,-3.344312842899e-01,-2.363205526703e-01,1.847899471011e-02,-2.581458951086e+00,-2.580032966761e+00,-1.425984325772e-03,1.067575106125e+01
3522000000.000000,3.239275430000e-01,-2.354211854032e+00,-3.306575941405e-01,-2.935039332854e-01,-6.730051140457e-03,-2.647715787317e+00,-2.646791810649e+00,-9.239766680573e-04,1.099970208268e+01
3523000000.000000,3.205464110000e-01,-2.368991846401e+00,-3.269183637838e-01,-3.506934377038e-01,-6.371952783759e-03,-2.719685284105e+00,-2.713550654538e+00,-6.134629566711e-03,1.070290795184e+01
3524000000.000000,3.210700520000e-01,-2.374322466704e+00,-3.232175443594e-01,-4.078900285876e-01,-2.147492359385e-03,-2.782212495292e+00,-2.780309498427e+00,-1.902996864701e-03,9.962207003095e+00
3525000000.000000,3.164875000000e-01,-2.379779261479e+00,-3.195572457779e-01,-4.650948079637e-01,-3.069745777942e-03,-2.844874069443e+00,-2.847068342316e+00,2.194272872959e-03,1.062604041021e+01
3526000000.000000,3.211735800000e-01,-2.393434275142e+00,-3.159379486605e-01,-5.223089821075e-01,5.235631339511e-03,-2.915743257250e+00,-2.913827186205e+00,-1.916071045006e-03,1.091704042332e+01
3527000000.000000,3.029541520000e-01,-2.402527816442e+00,-3.123587096678e-01,-5.795338289721e-01,-9.404557667829e-03,-2.982061645414e+00,-2.980586030093e+00,-1.475615320892e-03,1.001137432100e+01
3528000000.000000,2.998203890000e-01,-2.404779229167e+00,-3.088173590165e-01,-6.367706681592e-01,-8.996970016465e-03,-3.041549897326e+00,-3.047344873982e+00,5.794976655779e-03,1.054516150031e+01
3529000000.000000,3.076300770000e-01,-2.420555219600e+00,-3.053106891002e-01,-6.940208334153e-01,2.319387899815e-03,-3.114576053015e+00,-3.114103717871e+00,-4.723351445612e-04,1.103650910633e+01
3530000000.000000,3.075211840000e-01,-2.428953113412e+00,-3.018346333971e-01,-7.512856476332e-01,5.686550602852e-03,-3.180238761045e+00,-3.180862561760e+00,6.238007144193e-04,1.006832168409e+01
3531000000.000000,3.142530720000e-01,-2.432531914437e+00,-2.983844349783e-01,-8.085664003252e-01,1.586863702170e-02,-3.241098314762e+00,-3.247621405648e+00,6.523090886130e-03,1.052825566655e+01
3532000000.000000,2.958377690000e-01,-2.446676396139e+00,-2.949548041252e-01,-8.658643275347e-01,8.829648748167e-04,-3.312540723674e+00,-3.314380249537e+00,1.839525863392e-03,1.075799717679e+01
3533000000.000000,2.942248390000e-01,-2.453106700223e+00,-2.915400647109e-01,-9.231805941310e-01,2.684774289088e-03,-3.376287294354e+00,-3.381139093426e+00,4.851799071993e-03,1.058692492372e+01
3534000000.000000,2.938778580000e-01,-2.465063667490e+00,-2.881342891461e-01,-9.805162784417e-01,5.743568853872e-03,-3.445579945932e+00,-3.447897937315e+00,2.317991383064e-03,1.104797511067e+01
3535000000.000000,2.922221150000e-01,-2.477247884977e+00,-2.847314218032e-01,-1.037872359156e+00,7.490693196840e-03,-3.515120244133e+00,-3.514656781204e+00,-4.634629293343e-04,1.120918412249e+01
3536000000.000000,2.957932780000e-01,-2.491189003470e+00,-2.813253909547e-01,-1.095249704430e+00,1.446788704530e-02,-3.586438707900e+00,-3.581415625092e+00,-5.023082807235e-03,1.056414939926e+01
3537000000.000000,2.579780610000e-01,-2.495224197593e+00,-2.779102093698e-01,-1.152649063116e+00,-1.993214836981e-02,-3.647873260709e+00,-3.648174468981e+00,3.012082717331e-04,1.038116872619e+01
3538000000.000000,2.825136940000e-01,-2.506821263484e+00,-2.744800637742e-01,-1.210071058039e+00,8.033630225759e-03,-3.716892321523e+00,-3.714933312870e+00,-1.959008653098e-03,1.073026638962e+01
3539000000.000000,2.684210810000e-01,-2.515197583742e+00,-2.710293934903e-01,-1.267516181210e+00,-2.608312490274e-03,-3.782713764952e+00,-3.781692156759e+00,-1.021608193454e-03,1.045904961776e+01
3540000000.000000,2.643669400000e-01,-2.523339824389e+00,-2.675529585899e-01,-1.324984790905e+00,-3.186018589855e-03,-3.848324615294e+00,-3.848451000648e+00,1.263853537115e-04,1.027546057070e+01
3541000000.000000,2.598847670000e-01,-2.529361900240e+00,-2.640458980133e-01,-1.382477110477e+00,-4.161131013259e-03,-3.911839010717e+00,-3.915209844536e+00,3.370833819524e-03,1.080067340645e+01
3542000000.000000,2.683201120000e-01,-2.544056651388e+00,-2.605037780740e-01,-1.439993228816e+00,7.816333925969e-03,-3.984049880204e+00,-3.981968688425e+00,-2.081191778925e-03,1.105418237246e+01
3543000000.000000,2.474144990000e-01,-2.553216860927e+00,-2.569226318651e-01,-1.497533102321e+00,-9.508132865064e-03,-4.050749963248e+00,-4.048727532314e+00,-2.022430933931e-03,1.060538162233e+01
3544000000.000000,2.449329810000e-01,-2.562224477903e+00,-2.532989900987e-01,-1.555096558274e+00,-8.366009098741e-03,-4.117321036177e+00,-4.115486376203e+00,-1.834659974271e-03,1.072084592859e+01
3545000000.000000,2.652450130000e-01,-2.572788786990e+00,-2.496299038859e-01,-1.612683299496e+00,1.561510911408e-02,-4.185472086486e+00,-4.182245220091e+00,-3.226866394487e-03,1.028540530848e+01
3546000000.000000,2.451344510000e-01,-2.576278341058e+00,-2.459129600593e-01,-1.670292910144e+00,-7.785090593154e-04,-4.246571251202e+00,-4.249004063980e+00,2.432812777943e-03,1.065449831227e+01
3547000000.000000,2.466350450000e-01,-2.591435598449e+00,-2.421462895648e-01,-1.727924862539e+00,4.488755435216e-03,-4.319360460988e+00,-4.315762907869e+00,-3.597553118921e-03,1.060638279058e+01
3548000000.000000,2.472777210000e-01,-2.594276463352e+00,-2.383285695093e-01,-1.785578524874e+00,8.949151490701e-03,-4.379854988226e+00,-4.382521751758e+00,2.666763531339e-03,1.016394979227e+01
3549000000.000000,2.334823220000e-01,-2.603831251288e+00,-2.344590194259e-01,-1.843253169695e+00,-9.766974259035e-04,-4.447084420983e+00,-4.449280595647e+00,2.196174663205e-03,1.082261264852e+01
3550000000.000000,2.348409830000e-01,-2.614907966781e+00,-2.305373923119e-01,-1.900947983002e+00,4.303590688122e-03,-4.515855949783e+00,-4.516039439535e+00,1.834897519313e-04,1.047466308613e+01
3551000000.000000,2.442749760000e-01,-2.620050845523e+00,-2.265639609973e-01,-1.958662073861e+00,1.771101500272e-02,-4.578712919384e+00,-4.582798283424e+00,4.085364039931e-03,1.107401212925e+01
3552000000.000000,2.218750940000e-01,-2.638621605997e+00,-2.225395003729e-01,-2.016394484390e+00,-6.644063728705e-04,-4.655016090387e+00,-4.649557127313e+00,-5.458963074491e-03,1.048811877628e+01
3553000000.000000,2.155469630000e-01,-2.636366306969e+00,-2.184652660056e-01,-2.074144200005e+00,-2.918303005612e-03,-4.710510506974e+00,-4.716315971202e+00,5.805464227303e-03,1.013636525532e+01
3554000000.000000,2.066247660000e-01,-2.650483253068e+00,-2.143429696365e-01,-2.131910159800e+00,-7.718203636507e-03,-4.782393412868e+00,-4.783074815090e+00,6.814022222912e-04,1.116848803296e+01
3555000000.000000,1.951116050000e-01,-2.661166599842e+00,-2.101747520604e-01,-2.189691266956e+00,-1.506314706044e-02,-4.850857866799e+00,-4.849833658979e+00,-1.024207819309e-03,1.065645384030e+01
3556000000.000000,1.890377710000e-01,-2.668819962190e+00,-2.059631538237e-01,-2.247486399070e+00,-1.692538282366e-02,-4.916306361260e+00,-4.916592502868e+00,2.861416077495e-04,1.026128409279e+01
3557000000.000000,1.978322430000e-01,-2.674510547390e+00,-2.017110842050e-01,-2.305294418298e+00,-3.878841204973e-03,-4.979804965688e+00,-4.983351346757e+00,3.546381068974e-03,1.079223863127e+01
3558000000.000000,1.855073470000e-01,-2.688811450432e+00,-1.974217888716e-01,-2.363114181227e+00,-1.191444187164e-02,-5.051925631659e+00,-5.050110190646e+00,-1.815441013811e-03,1.110128210205e+01
3559000000.000000,1.792802810000e-01,-2.698363242488e+00,-1.930988166041e-01,-2.420944548389e+00,-1.381853560410e-02,-5.119307790877e+00,-5.116869034534e+00,-2.438756342338e-03,1.066566871326e+01
3560000000.000000,1.869956080000e-01,-2.707169984236e+00,-1.887459854461e-01,-2.478784393324e+00,-1.750377446085e-03,-5.185954377560e+00,-5.183627878423e+00,-2.326499137118e-03,1.035081079300e+01
3561000000.000000,1.789776440000e-01,-2.712747304310e+00,-1.843673486244e-01,-2.536632611151e+00,-5.389704624399e-03,-5.249379915461e+00,-5.250386722312e+00,1.006806851238e-03,1.043880975526e+01
