subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_plan_b_equalized_i,after_plan_b_equalized_q,after_plan_b_fixed_equalized_i,after_plan_b_fixed_equalized_q,plan_b_abs,plan_b_phase_rad,plan_b_fixed_abs,plan_b_fixed_phase_rad
0,19388,3550048828.125000,-3.904253304380e+01,3.904253304380e+01,-4.175034567200e+01,3.921196534275e+01,-3.907565400335e+01,3.905462969789e+01,-3.907117511396e+01,3.906019711476e+01,9.738291520280e-01,-1.903765613710,9.738394150103e-01,-1.903868944308
1,19389,3550231933.593750,1.171275991314e+02,-1.952126652190e+02,1.279644339600e+02,-1.985413884747e+02,1.174208790653e+02,-1.952653264101e+02,1.173974569703e+02,-1.952828576507e+02,9.739103457017e-01,-1.914332136476,9.739196994124e-01,-1.914434609077
2,19390,3550415039.062500,-1.171275991314e+02,1.952126652190e+02,-1.281394374699e+02,1.984844189027e+02,-1.175936939519e+02,1.952364545222e+02,-1.175703329149e+02,1.952537254536e+02,9.739917405497e-01,-1.924899298486,9.740001841288e-01,-1.925000909842
3,19391,3550598144.531250,3.904253304380e+01,-1.952126652190e+02,4.730973511070e+01,-2.011502538315e+02,3.957013331995e+01,-1.953963501842e+02,3.954594233245e+01,-1.954035054343e+02,9.740733361458e-01,-1.935467093919,9.740808688163e-01,-1.935567840899
4,19392,3550781250.000000,1.171275991314e+02,-2.732977313066e+02,1.312739307340e+02,-2.793887530195e+02,1.181837756666e+02,-2.733968935970e+02,1.181507468447e+02,-2.734144667279e+02,9.741551320016e-01,-1.946035516885,9.741617530689e-01,-1.946135396475
5,19393,3550964355.468750,1.171275991314e+02,3.904253304380e+01,1.201260101491e+02,4.478553557154e+01,1.172100288497e+02,3.957092846926e+01,1.172160298589e+02,3.955671884337e+01,9.742371275671e-01,-1.956604561425,9.742428364180e-01,-1.956703570730
6,19394,3551147460.937500,1.171275991314e+02,-2.732977313066e+02,1.311229371689e+02,-2.794111039419e+02,1.180353004639e+02,-2.734695136356e+02,1.180025080450e+02,-2.734863543456e+02,9.743193222309e-01,-1.967174221513,9.743241183328e-01,-1.967272357756
7,19395,3551330566.406250,-3.904253304380e+01,2.732977313066e+02,-4.960974093547e+01,2.821087731809e+02,-3.932154325589e+01,2.736339654558e+02,-3.928827710967e+01,2.736407970338e+02,9.744017153206e-01,-1.977744491060,9.744055982207e-01,-1.977841751583
8,19396,3551513671.875000,-2.732977313066e+02,1.171275991314e+02,-2.869939921682e+02,1.127765464411e+02,-2.734524079423e+02,1.174918611682e+02,-2.734398535389e+02,1.175259106966e+02,9.744843061034e-01,-1.988315363915,9.744872754278e-01,-1.988411746177
9,19397,3551696777.343750,-2.732977313066e+02,-1.171275991314e+02,-2.796819129871e+02,-1.295080992857e+02,-2.737661786153e+02,-1.164647310731e+02,-2.737817563199e+02,-1.164322698216e+02,9.745670937867e-01,-1.998886833865,9.745691492399e-01,-1.998982335448
10,19398,3551879882.812500,-1.171275991314e+02,-3.904253304380e+01,-1.202141936935e+02,-4.371963613332e+01,-1.173207015223e+02,-3.853199911620e+01,-1.173258581673e+02,-3.851809145008e+01,9.746500775188e-01,-2.009458894642,9.746512188820e-01,-2.009553513245
11,19399,3552062988.281250,-1.952126652190e+02,1.171275991314e+02,-2.053457921116e+02,1.158759233293e+02,-1.946253299377e+02,1.180637722166e+02,-1.946119604357e+02,1.180873884737e+02,9.747332563888e-01,-2.020031539920,9.747334835198e-01,-2.020125273364
12,19400,3552246093.750000,-2.732977313066e+02,1.171275991314e+02,-2.863911820555e+02,1.131009842573e+02,-2.729336462904e+02,1.178741054043e+02,-2.729204275173e+02,1.179067039723e+02,9.748166294278e-01,-2.030604763322,9.748159422598e-01,-2.030697609547
13,19401,3552429199.218750,-1.171275991314e+02,-2.732977313066e+02,-1.124820424876e+02,-2.865907223267e+02,-1.173051747898e+02,-2.731632304100e+02,-1.173374504000e+02,-2.731499258763e+02,9.749001956099e-01,-2.041178558417,9.748985941506e-01,-2.041270515484
14,19402,3552612304.687500,1.952126652190e+02,2.732977313066e+02,1.926596851291e+02,2.894553894959e+02,1.948031870141e+02,2.734958523610e+02,1.948352127671e+02,2.734733629104e+02,9.749839538506e-01,-2.051752918727,9.749814381815e-01,-2.051843984819
15,19403,3552795410.156250,2.732977313066e+02,-3.904253304380e+01,2.841494007941e+02,-3.046280168599e+01,2.733535852943e+02,-3.810336361119e+01,2.733491351263e+02,-3.813497510859e+01,9.750679030105e-01,-2.062327837726,9.750644732857e-01,-2.062418011144
16,19404,3552978515.625000,3.904253304380e+01,-2.732977313066e+02,5.090361942745e+01,-2.811687979945e+02,4.052072900980e+01,-2.729925568336e+02,4.048934881532e+01,-2.729969094722e+02,9.751520418937e-01,-2.072903308842,9.751476983391e-01,-2.072992588012
17,19405,3553161621.093750,-2.732977313066e+02,1.171275991314e+02,-2.870696050165e+02,1.107576236496e+02,-2.737510197779e+02,1.157459902362e+02,-2.737372798331e+02,1.157769372878e+02,9.752363692491e-01,-2.083479325462,9.752311121614e-01,-2.083567708930
18,19406,3553344726.562500,-1.952126652190e+02,-1.171275991314e+02,-1.975096495428e+02,-1.283312775501e+02,-1.946491453906e+02,-1.178338932799e+02,-1.946618863006e+02,-1.178115435723e+02,9.753208837707e-01,-2.094055880933,9.753147135167e-01,-2.094143367366
19,19407,3553527832.031250,1.952126652190e+02,-3.904253304380e+01,2.032215469645e+02,-3.331889629387e+01,1.952077692196e+02,-3.843329460764e+01,1.952026977379e+02,-3.845503577792e+01,9.754055840991e-01,-2.104632968560,9.753985011146e-01,-2.104719556748
20,19408,3553710937.500000,1.171275991314e+02,3.904253304380e+01,1.196960706529e+02,4.447387119573e+01,1.169625796935e+02,3.925533842147e+01,1.169663816526e+02,3.924213548951e+01,9.754904688212e-01,-2.115210581617,9.754824736100e-01,-2.115296270469
21,19409,3553894042.968750,1.171275991314e+02,3.904253304380e+01,1.197130766983e+02,4.435898464802e+01,1.169875824673e+02,3.914153179040e+01,1.169912277893e+02,3.912839357383e+01,9.755755364711e-01,-2.125788713338,9.755666296041e-01,-2.125873501889
22,19410,3554077148.437500,-3.904253304380e+01,1.171275991314e+02,-4.427480339800e+01,1.197155064377e+02,-3.905775908226e+01,1.169994900364e+02,-3.904468720087e+01,1.170029823150e+02,9.756607855314e-01,-2.136367356929,9.756509676459e-01,-2.136451244334
23,19411,3554260253.906250,1.171275991314e+02,3.904253304380e+01,1.196980259201e+02,4.423279662140e+01,1.169935061499e+02,3.901527482158e+01,1.169968502071e+02,3.900227119945e+01,9.757462144325e-01,-2.146946505565,9.757354862306e-01,-2.147029491101
24,19412,3554443359.375000,-1.171275991314e+02,1.952126652190e+02,-1.274156562503e+02,1.977486361292e+02,-1.169459586439e+02,1.949884792302e+02,-1.169239537056e+02,1.949994061149e+02,9.758318215548e-01,-2.157526152393,9.758201838032e-01,-2.157608235459
25,19413,3554626464.843750,1.171275991314e+02,-1.171275991314e+02,1.247763975831e+02,-1.171063365547e+02,1.169051652986e+02,-1.170198172546e+02,1.168915542669e+02,-1.170311949724e+02,9.759176052285e-01,-2.168106290533,9.759050587570e-01,-2.168187470651
26,19414,3554809570.312500,1.171275991314e+02,-1.171275991314e+02,1.247155201275e+02,-1.171104925405e+02,1.168504696748e+02,-1.170382799533e+02,1.168368525322e+02,-1.170494392123e+02,9.760035637346e-01,-2.178686913084,9.759901094351e-01,-2.178767189898
27,19415,3554992675.781250,1.952126652190e+02,-1.952126652190e+02,2.077577483622e+02,-1.951910411894e+02,1.946595562712e+02,-1.950946523323e+02,1.946368513328e+02,-1.951128872734e+02,9.760896953049e-01,-2.189268013121,9.760753341309e-01,-2.189347386396
28,19416,3555175781.250000,-1.171275991314e+02,-1.952126652190e+02,-1.145303909805e+02,-2.052482830728e+02,-1.170960232498e+02,-1.947635958437e+02,-1.171148730760e+02,-1.947490072234e+02,9.761759981243e-01,-2.199849583702,9.761607310894e-01,-2.199928053325
29,19417,3555358886.718750,2.732977313066e+02,3.904253304380e+01,2.807065350978e+02,4.923737848948e+01,2.728308471044e+02,3.879294265818e+01,2.728312512337e+02,3.876425331624e+01,9.762624703294e-01,-2.210431617864,9.762462985066e-01,-2.210509183846
30,19418,3555541992.187500,-3.904253304380e+01,-1.952126652190e+02,-3.382431098470e+01,-2.026814024537e+02,-3.905189220184e+01,-1.948370073382e+02,-3.907128969470e+01,-1.948302563151e+02,9.763491100110e-01,-2.221014108633,9.763320345316e-01,-2.221090771104
31,19419,3555725097.656250,1.952126652190e+02,1.952126652190e+02,1.948508423494e+02,2.078750554200e+02,1.948801898419e+02,1.948110926138e+02,1.948970305301e+02,1.947883800699e+02,9.764359152140e-01,-2.231597049018,9.764179372666e-01,-2.231672808232
32,19420,3555908203.125000,-3.904253304380e+01,-2.732977313066e+02,-3.106851561330e+01,-2.831834146506e+02,-3.895073322030e+01,-2.727756722626e+02,-3.897755628075e+01,-2.727673967230e+02,9.765228839380e-01,-2.242180432020,9.765040047675e-01,-2.242255288351
33,19421,3556091308.593750,2.732977313066e+02,1.952126652190e+02,2.752071705351e+02,2.106698693269e+02,2.727117839341e+02,1.949918168568e+02,2.727266236891e+02,1.949613263846e+02,9.766100141386e-01,-2.252764250627,9.765902350452e-01,-2.252838204572
34,19422,3556274414.062500,-2.732977313066e+02,-2.732977313066e+02,-2.724011729014e+02,-2.914369350667e+02,-2.725861030880e+02,-2.731741814122e+02,-2.726082495883e+02,-2.731423736418e+02,9.766973037277e-01,-2.263348497824,9.766766260658e-01,-2.263421549999
35,19423,3556457519.531250,-3.904253304380e+01,2.732977313066e+02,-4.998448611577e+01,2.805788039882e+02,-3.945071821882e+01,2.728896486993e+02,-3.942324825136e+01,2.728884031701e+02,9.767847505743e-01,-2.273933166588,9.767631757518e-01,-2.274005317732
36,19424,3556640625.000000,-1.171275991314e+02,1.171275991314e+02,-1.251002768975e+02,1.166233819936e+02,-1.172785580405e+02,1.167469209057e+02,-1.172649218342e+02,1.167560123980e+02,9.768723525053e-01,-2.284518249893,9.768498819821e-01,-2.284589500865
37,19425,3556823730.468750,-1.952126652190e+02,1.952126652190e+02,-2.086660098607e+02,1.942721217750e+02,-1.956341151003e+02,1.945150981227e+02,-1.956113840954e+02,1.945299178761e+02,9.769601073063e-01,-2.295103740712,9.769367425937e-01,-2.295174092492
38,19426,3557006835.937500,1.952126652190e+02,1.952126652190e+02,1.941808727402e+02,2.088166183738e+02,1.944602705955e+02,1.957892218969e+02,1.944747564061e+02,1.957664861350e+02,9.770480127223e-01,-2.305689632021,9.770237553818e-01,-2.305759085708
39,19427,3557189941.406250,1.952126652190e+02,-1.171275991314e+02,2.057310458646e+02,-1.137419509566e+02,1.953760186325e+02,-1.165823410869e+02,1.953606389860e+02,-1.165981809480e+02,9.771360664583e-01,-2.316275916794,9.771109181006e-01,-2.316344473608
40,19428,3557373046.875000,2.732977313066e+02,-1.171275991314e+02,2.861354134686e+02,-1.111255171805e+02,2.732522441245e+02,-1.166416207773e+02,2.732349710540e+02,-1.166644664540e+02,9.772242661805e-01,-2.326862588015,9.771982284643e-01,-2.326930249295
41,19429,3557556152.343750,1.171275991314e+02,1.171275991314e+02,1.167642181363e+02,1.248693228489e+02,1.169620061742e+02,1.170700009620e+02,1.169700255831e+02,1.170563308519e+02,9.773126095165e-01,-2.337449638669,9.772856841479e-01,-2.337516405876
42,19430,3557739257.812500,3.904253304380e+01,1.952126652190e+02,3.369646017158e+01,2.026284259823e+02,3.910024424874e+01,1.949733411370e+02,3.911715968997e+01,1.949648599543e+02,9.774010940565e-01,-2.348037061755,9.773732827874e-01,-2.348102936464
43,19431,3557922363.281250,3.904253304380e+01,1.171275991314e+02,3.642637627848e+01,1.220370531807e+02,3.916790890655e+01,1.169176611562e+02,3.917752031246e+01,1.169110611406e+02,9.774897173539e-01,-2.358624850276,9.774610219815e-01,-2.358689834185
44,19432,3558105468.750000,-1.171275991314e+02,3.904253304380e+01,-1.219989710282e+02,3.647118512670e+01,-1.168876648039e+02,3.922052024922e+01,-1.168809898652e+02,3.922999019517e+01,9.775784769258e-01,-2.369212997254,9.775488992913e-01,-2.369277092177
45,19433,3558288574.218750,-1.171275991314e+02,-2.732977313066e+02,-1.119313742050e+02,-2.854597778529e+02,-1.175330056132e+02,-2.726619543697e+02,-1.175540525096e+02,-2.726438964754e+02,9.776673702545e-01,-2.379801495719,9.776369122422e-01,-2.379864703588
46,19434,3558471679.687500,3.904253304380e+01,-2.732977313066e+02,4.901342259257e+01,-2.804008112671e+02,3.838144181660e+01,-2.729826054100e+02,3.835623627447e+01,-2.729781636480e+02,9.777563947875e-01,-2.390390338720,9.777250583234e-01,-2.390452661585
47,19435,3558654785.156250,-3.904253304380e+01,1.952126652190e+02,-4.648879030397e+01,1.999043151772e+02,-3.853012051329e+01,1.950088009494e+02,-3.851193051527e+01,1.950064014757e+02,9.778455479381e-01,-2.400979519322,9.778133349895e-01,-2.401040959351
